MR32 ASCII
Name	TYR30_slow
Frequency	1500
Date	31-08-2015 12:06:34
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	-0.230589	4.20732	-2.79563	4.33362	5.67794	5.60096	155.871	-5.71394	0.0636092	-9264.87
0.0007	1.61412	3.56004	-3.96048	0.969363	2.3243	-2.94288	140.601	-7.23491	0.0636092	-10342.1
0.0013	1.93695	4.20732	-3.64985	0.684256	2.3243	-2.94288	105.213	-6.6183	0.381655	-9527.17
0.0020	2.53648	4.20732	-3.64985	0.0570213	1.71002	-1.42397	70.7193	-6.6183	0.954139	-9863.82
0.0027	3.45884	4.53096	-3.64985	-1.16894	0.481463	-2.34164	39.8914	-11.2223	1.27218	-9844.51
0.0033	3.45884	5.71764	-3.0286	-0.85532	1.71002	-3.22767	9.98729	-13.0311	0.954139	-9789.15
0.0040	2.21365	7.22796	-1.2425	1.5966	5.3625	-4.77822	-0.69276	-8.46814	0.699702	-9815.86
0.0047	1.61412	7.5516	-1.55313	1.28298	5.97678	-8.13246	-2.22261	-6.33055	0.954139	-9814.9
0.0053	2.53648	5.394	-4.27111	-2.68	2.62314	-9.9678	-31.2031	-9.98911	0.0636092	-9810.07
0.0060	2.53648	5.394	-4.27111	-3.90596	2.3243	-7.49959	-66.3029	-10.6057	0.954139	-9788.5
0.0067	1.2913	7.22796	-1.55313	-1.76766	4.44938	-1.42397	-64.7731	-7.56377	4.32543	-9905.98
0.0073	1.01459	7.0122	-0.621252	-2.36639	4.44938	2.56315	-42.8068	-6.94716	6.1701	-9696.14
0.0080	1.93695	4.8546	-2.48501	-4.8183	2.3243	2.24671	-14.7212	-9.08475	6.1701	-9716.09
0.0087	2.21365	4.53096	-5.51361	-4.8183	0.796904	1.32904	20.9849	-8.46814	6.48814	-10545.8
0.0093	0.41506	4.8546	-9.16346	-3.59234	0.182624	1.32904	47.2232	-5.42618	7.37867	-6881.31
0.0100	0.41506	4.20732	-11.6485	-2.68	-0.730495	1.32904	58.8269	-5.71394	6.1701	-546.81
0.0107	1.93695	4.53096	-10.0953	-1.45404	-0.132817	3.48082	44.481	-7.23491	4.96152	110.07
0.0113	2.21365	5.71764	-3.64985	0.0570213	1.09574	7.11986	13.6531	-7.56377	5.27957	-286.118
0.0120	1.61412	6.36492	0.621252	0.684256	0.796904	10.5057	3.57926	-6.94716	5.85205	50.2074
0.0127	1.93695	6.36492	1.2425	0.0570213	-1.04594	10.1893	2.9731	-6.33055	7.37867	30.2532
0.0133	2.21365	6.04128	3.0286	-0.541703	-4.10073	7.11986	-8.31312	-6.94716	8.33281	-24.7818
0.0140	1.2913	6.36492	7.61033	1.5966	-4.69841	5.60096	-14.115	-7.23491	7.69672	1.93105
0.0147	-0.230589	6.68856	11.5708	3.7349	-4.10073	3.48082	16.1067	-5.71394	7.37867	0
0.0153	-0.507296	6.68856	13.1239	5.55958	-4.69841	1.64548	61.5691	-5.42618	5.85205	0
0.0160	0.0922356	5.17824	12.8133	6.1583	-6.22581	1.32904	71.0368	-5.71394	4.32543	-0.321842
0.0167	0.691767	2.37336	9.78471	5.55958	-6.54125	-0.506301	71.3254	-5.71394	4.00738	0
0.0173	0.691767	1.51032	6.98908	7.38426	-4.10073	0.126575	89.9434	-4.19296	3.11685	0
0.0180	0.41506	1.83396	10.6389	7.69788	-3.17101	-0.189863	98.8049	-2.95974	1.27218	0
0.0187	1.2913	1.83396	2.71798	5.55958	-5.01385	-3.22767	82.6116	-3.90521	-0.254437	0
0.0193	-1.42965	2.04972	-24.1512	7.38426	-1.64361	-1.42397	51.4952	-1.76762	2.22632	0
0.0200	-4.79625	2.697	-32.0721	8.92384	2.00886	1.32904	31.3474	0.369967	4.00738	0
0.0207	-2.67483	0.863039	-18.3269	5.55958	0.481463	-1.10753	30.1351	-1.76762	3.4349	0
0.0213	-0.230589	-2.1576	-11.8814	3.7349	-0.730495	-1.10753	22.1972	-2.34312	4.00738	0
0.0220	-0.230589	-3.12852	-10.7166	5.55958	-0.132817	1.32904	-9.84297	-0.822149	5.27957	0
0.0227	1.2913	-2.80488	-10.406	7.69788	-1.64361	1.04425	-62.0309	-1.15101	4.96152	0
0.0233	1.93695	-3.45216	-11.0272	8.61022	-4.69841	-0.506301	-88.5867	-2.67198	4.96152	0
0.0240	-4.47343	-4.3152	-11.6485	8.61022	-6.22581	-2.0252	-34.2628	-2.95974	5.85205	0
0.0247	-13.328	-3.12852	-11.3378	10.4349	-4.69841	-2.62644	54.5549	-3.2886	6.48814	0
0.0253	-17.617	-2.48124	-10.7166	11.9745	-4.39957	-2.94288	118.318	-5.09732	4.32543	0
0.0260	-18.8161	-4.3152	-11.6485	11.0621	-5.92697	-4.46178	152.811	-6.33055	1.59023	0.321842
0.0267	-19.1389	-3.66792	-9.78471	11.0621	-5.01385	-4.77822	140.601	-6.33055	1.59023	0
0.0273	-14.8499	-0.32364	-7.29971	13.2004	-7.13893	-4.14534	104.289	-5.71394	2.22632	0
0.0280	-8.76238	1.83396	-7.92096	12.5732	-12.9497	-2.94288	75.3088	-5.42618	3.11685	0
0.0287	-9.96145	3.02064	-8.23159	10.1498	-17.2164	-0.506301	49.9653	-7.56377	4.96152	0.321842
0.0293	-12.129	0	-7.61033	9.52256	-26.6797	1.32904	75.915	-11.2223	4.96152	0.321842
0.0300	1.61412	-4.96248	-7.06674	11.9745	-37.056	1.32904	207.741	-15.7853	3.4349	0
0.0307	7.70167	-5.50188	-6.13486	13.7992	-40.7085	0.41137	343.234	-20.0604	2.22632	0
0.0313	-29.8382	-3.66792	-4.58173	13.2004	-40.1108	-2.94288	368.577	-19.4438	2.22632	0.321842
0.0320	-77.109	-4.3152	-4.58173	12.8868	-38.268	-9.9678	334.401	-13.9765	2.22632	0.321842
0.0327	-89.9297	-7.98311	-6.44549	14.1128	-36.7406	-14.841	284.032	-5.71394	1.27218	0
0.0333	-81.7208	-11.9747	-8.85284	14.7115	-33.7024	-16.3599	190.047	4.02853	-1.14497	0
0.0340	-81.7208	-12.8377	-10.0953	14.7115	-32.7727	-18.1952	94.2154	6.16612	-2.67159	0.321842
0.0347	-90.2526	-11.0038	-9.78471	13.2004	-30.3322	-16.0751	17.6077	-2.95974	-1.78106	0
0.0353	-89.653	-7.33583	-7.06674	12.2596	-20.2712	-14.2397	-114.825	-11.5101	0.381655	0
0.0360	-53.9117	-5.28612	-4.89236	13.7992	-6.84009	-16.9611	-246.651	-14.8809	0.0636092	0.321842
0.0367	45.5644	-2.48124	-2.79563	15.0251	7.50418	-14.2397	-266.511	-16.4019	0.381655	0.321842
0.0373	155.417	0	-1.55313	14.3979	15.7389	-8.41726	-227.427	-20.677	0.381655	0
0.0380	202.734	-0.32364	-3.0286	15.6238	21.5496	-7.21479	-195.993	-26.4732	-2.67159	-0.965526
0.0387	204.855	-3.12852	-4.89236	19.3017	33.4368	-3.54411	-194.464	-27.7064	-3.88016	-0.321842
0.0393	183.826	-9.49343	-9.16346	17.4485	39.5464	-0.189863	-196.917	-28.6108	-1.78106	0.321842
0.0400	153.895	-14.1323	-12.5027	14.7115	37.1058	1.32904	-134.655	-30.1318	1.27218	0.321842
0.0407	134.064	-13.8086	-11.0272	17.4485	36.807	4.99972	-58.6826	-28.323	2.48076	0.321842
0.0413	114.511	-12.8377	-10.0953	17.1634	34.6653	4.08205	-27.5372	-28.8985	2.22632	0
0.0420	86.1481	-11.651	-9.16346	12.5732	27.0283	0.126575	23.1209	-33.1737	2.48076	0.321842
0.0427	58.6619	-6.4728	-4.27111	12.2596	23.0604	3.16438	103.366	-35.9279	3.75295	0
0.0433	38.5545	1.83396	3.64985	14.7115	26.4306	10.5057	147.009	-36.8323	4.32543	0
0.0440	3.45884	9.38555	10.6389	14.1128	26.1152	10.7905	132.981	-44.4783	2.79881	0.321842
0.0447	-30.4378	12.1904	13.1239	12.2596	20.321	8.67041	88.1249	-55.454	0.699702	0.321842
