MR32 ASCII
Name	CRYE30_Fast
Frequency	1500
Date	14-09-2015 10:19:35
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	2.15146	24.7921	36.6961	32.461	60.1189	18.2582	10.9601	11.7271	49.4289	-7298.57
0.0007	1.85808	23.8885	35.4423	31.5386	58.8902	17.6335	11.2691	11.9985	48.8155	-10553.9
0.0013	1.5647	23.2673	34.5228	30.6163	57.0684	17.0289	11.2691	11.7271	47.8952	-9662.4
0.0020	1.5647	22.9849	33.9376	30.0212	55.8398	16.7266	10.9601	11.4013	46.4054	-9725.85
0.0027	1.5647	22.3637	33.0181	29.0988	54.6112	16.1221	10.651	11.0756	45.1784	-9898.49
0.0033	1.5647	21.7425	32.0986	28.474	53.4249	15.7996	10.353	10.8041	44.2582	-9786.72
0.0040	1.5647	21.4601	31.5135	27.879	52.1962	15.4973	10.044	10.4784	43.0312	-9812.17
0.0047	1.5647	20.8389	30.594	27.2541	50.9676	14.8927	10.044	10.2069	41.8043	-9815.39
0.0053	1.27132	20.2177	29.9253	26.6591	49.7389	14.5905	9.43693	9.88114	40.884	-9816.68
0.0060	1.27132	19.653	29.0058	25.7367	48.5103	14.2882	9.12788	9.55539	39.6571	-9788.33
0.0067	1.27132	19.3141	28.4207	25.1416	47.324	13.6634	9.12788	9.28393	38.7369	-9856.29
0.0073	1.27132	18.6929	27.8355	24.5168	46.0954	13.3612	9.12788	8.95818	37.8605	-9846.96
0.0080	1.5647	18.4105	27.2504	24.2193	45.1633	13.3612	8.52083	8.95818	36.6335	-9533.88
0.0087	1.5647	18.1282	26.5817	23.5945	44.5702	13.0589	8.21178	8.36097	35.7133	-10417.4
0.0093	1.27132	17.507	25.6622	22.7019	43.0449	12.152	8.52083	8.68672	35.0998	-8985.04
0.0100	0.929039	16.8857	25.0771	22.077	41.8163	11.8497	8.52083	8.68672	34.4863	-2511.98
0.0107	0.929039	16.6034	24.4919	21.7795	41.1808	11.8497	7.90274	8.03521	33.2594	109.511
0.0113	1.27132	16.6034	24.1576	21.482	40.2911	11.5273	7.90274	7.76375	32.6459	-152.671
0.0120	0.929039	15.9822	23.2381	20.5596	39.0624	10.9227	7.60473	7.76375	31.7257	-88.2528
0.0127	0.929039	15.3609	22.6529	19.9348	38.1304	10.6204	7.29568	7.438	30.8054	83.7436
0.0133	0.929039	15.0786	21.9842	19.6373	37.2407	10.3181	7.29568	7.438	30.4987	-28.0219
0.0140	0.635658	14.4574	21.3991	19.0124	36.3086	10.3181	7.29568	7.438	29.8852	-3.22091
0.0147	0.635658	14.1185	20.814	18.4174	35.4189	9.71354	6.98664	7.11225	28.7021	0.644181
0.0153	0.635658	13.8361	20.4796	18.1198	34.4868	9.3911	6.68863	6.84079	28.0886	-0.322091
0.0160	0.635658	13.5538	19.8945	17.495	33.5547	9.3911	6.68863	6.51504	27.4751	-0.322091
0.0167	0.929039	13.2149	19.5601	17.495	32.9616	9.3911	6.08157	6.24358	26.5549	-0.644181
0.0173	0.929039	13.2149	19.3093	17.1975	32.0295	9.08881	6.08157	5.91783	25.6347	-0.644181
0.0180	0.635658	12.5937	18.6406	16.2751	31.1398	8.48423	5.16548	4.99486	24.7145	-1.28836
0.0187	0.635658	12.3113	18.3898	15.9776	30.8432	8.48423	5.16548	4.0719	23.7943	-1.61045
0.0193	0.929039	12.5937	18.3898	15.9776	30.2077	8.78652	5.77253	5.32061	24.101	-0.644181
0.0200	0.929039	12.029	17.4704	15.6801	29.318	8.18194	5.77253	5.59207	23.4875	-0.322091
0.0207	0.635658	11.4078	16.8016	15.0552	28.3859	7.87965	5.46348	5.32061	22.874	-0.322091
0.0213	0.635658	11.4078	16.2165	14.4602	27.7928	7.87965	5.77253	5.32061	22.5673	0
0.0220	0.635658	11.0689	15.8821	14.1329	26.8607	7.25492	5.16548	4.99486	21.9538	0
0.0227	0.342277	10.5042	15.6314	13.8353	26.2676	6.95264	4.85643	4.66911	21.3403	0
0.0233	0.342277	10.1653	14.9626	13.2403	25.6321	6.65035	5.16548	4.66911	21.0336	0.322091
0.0240	0.342277	10.1653	14.9626	12.913	25.3355	6.65035	4.85643	4.66911	20.4639	0
