MR32 ASCII
Name	CORE15_fast
Frequency	1500
Date	28-08-2015 13:22:01
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	444.205	20.4026	-11.6316	-34.9907	-24.7302	-95.0824	-26.7606	-16.5079	55.3463	-9311.03
0.0007	360.278	6.65303	-1.54868	-42.0246	-33.8799	-117.668	-31.3438	4.51795	54.4211	-10332
0.0013	142.687	-15.302	11.5657	-43.2224	-51.5833	-183.601	-12.7209	20.3887	49.2481	-9527.89
0.0020	-227.484	-34.2261	10.9725	-47.198	-33.5695	-242.194	31.8302	31.394	39.7854	-9867.99
0.0027	-232.667	-49.7498	11.2691	-49.9504	16.7847	-233.352	60.8263	24.0378	34.276	-9844.82
0.0033	170.465	-55.294	15.2232	-42.3049	55.5312	-164.07	54.1104	22.2422	39.7854	-9790.77
0.0040	291.309	-46.1276	3.03145	-27.9824	73.2346	-103.334	30.9136	49.6975	41.005	-9816.83
0.0047	73.4406	-34.2261	-17.1014	-21.2544	68.0453	-91.7335	10.1673	59.1388	33.6872	-9816.51
0.0053	-102.049	-29.3472	-22.6041	-16.9984	41.8005	-113.408	-1.13178	31.9732	28.4722	-9811.04
0.0060	-177.112	-37.2569	-12.5212	-13.6344	15.8661	-133.849	-6.931	-16.2183	26.6638	-9789.8
0.0067	-234.804	-46.719	0.593111	-20.6428	-0.918692	-144.539	-13.3382	-96.2092	26.6638	-9908.53
0.0073	-249.168	-38.2179	7.61159	-22.4777	-14.0411	-123.481	-14.5542	-163.921	27.2526	-9692.63
0.0080	-209.796	-21.4375	8.5342	-19.7253	-23.2032	-78.9273	-9.67159	-186.8	25.4442	-9725.45
0.0087	-183.839	-14.0453	9.12731	-33.7675	-25.9468	-59.0749	-20.9614	-190.159	24.8133	-10543
0.0093	-153.331	-15.302	10.3465	-49.3387	-15.8785	-41.982	-43.8495	-171.277	25.1498	-6811.61
0.0100	-110.913	-16.8543	10.0499	-49.0329	1.5146	1.95577	-42.3249	-136.465	22.0796	-500.655
0.0107	-100.823	-13.1582	9.12731	-43.834	1.21665	42.2231	-18.8287	-105.651	17.7899	108.754
0.0113	-94.1353	-10.4231	10.3465	-34.3791	-12.5141	48.6531	-2.34775	-86.7099	14.7618	-287.33
0.0120	-56.5841	-11.3101	10.3465	-21.866	-19.2305	21.4866	4.66743	-79.1221	11.1029	53.09
0.0127	-31.5763	-9.83169	9.12731	-12.717	-18.6221	-15.4318	17.1825	-70.26	5.59351	28.9582
0.0133	-62.3612	-7.02264	8.83076	-3.26206	-15.5681	-32.23	32.7468	-57.1116	-0.799073	-24.4536
0.0140	-50.1739	-4.28751	6.68897	4.99504	-14.9598	-32.5247	47.3945	-43.6735	-6.30847	1.60879
0.0147	28.8856	-0.369613	3.03145	6.80446	-14.6494	-39.2493	58.6843	-28.1503	-8.1169	-0.643515
0.0153	108.816	2.06983	0.296555	5.30086	-14.6494	-47.501	52.5858	-13.2063	-7.5281	-0.321758
0.0160	229.383	5.76595	-2.14179	6.21831	-22.5824	-24.5944	34.8795	-0.0579225	-6.60286	-0.321758
0.0167	319.68	14.9323	-8.56715	1.93685	-32.6632	29.4169	24.5064	14.5965	-3.53274	0
0.0173	280.032	22.5464	-17.7274	-13.0228	-39.6776	62.3702	18.0992	27.3973	0.126169	-0.321758
0.0180	110.042	24.9858	-19.8692	-24.0068	-50.975	56.878	16.2659	34.4059	4.37387	-0.321758
0.0187	-103.869	21.955	-14.9596	-25.8417	-58.2997	43.4555	28.7809	37.1862	5.8879	-0.321758
0.0193	-171.652	13.6757	-6.42537	-20.0311	-54.9353	44.6879	48.6105	35.6223	1.9346	-0.321758
0.0200	-73.678	4.50927	5.76635	-6.60058	-48.8272	43.1608	55.0271	30.1776	-1.72431	-0.321758
0.0207	-34.9001	-7.39225	12.4883	2.85431	-54.327	23.0138	45.8699	20.3887	-7.8225	0
0.0213	-79.4551	-15.5976	12.4883	8.63937	-63.1787	12.6187	46.7866	7.24031	-17.2852	0
0.0220	-56.9006	-11.3101	10.9725	14.1441	-49.7459	10.1807	45.5612	-7.06654	-19.1357	0
0.0227	5.65841	-7.68794	4.25063	9.55683	-28.3925	-5.38506	9.55	-17.4347	-16.9908	-0.321758
0.0233	26.7488	-5.83988	-2.14179	5.30086	3.66235	-34.9627	-21.5787	-18.3614	-17.5796	0
0.0240	-1.66191	-1.25668	-1.84523	11.0859	48.2065	-79.8382	8.63335	-14.7123	-18.2104	0.321758
0.0247	-30.0331	-1.55237	-3.98702	14.1441	60.1122	-73.435	69.3661	-15.2915	-20.0189	0.321758
0.0253	-29.7165	-5.83988	-4.28358	8.02774	42.7192	12.324	106.294	-15.6391	-18.7992	0
0.0260	-17.8062	-10.1274	0.889666	0.407758	33.8674	119.436	98.0535	-16.2183	-12.701	0
0.0267	2.33459	-14.4149	3.95407	3.46594	16.4744	243.962	64.4835	-19.5778	-10.5562	0.321758
0.0273	37.7095	-14.7106	7.61159	13.8383	-29.9071	358.388	32.4382	-18.651	-9.96738	0.321758
