MR32 ASCII
Name	TYR15_fast
Frequency	1500
Date	04-09-2015 10:40:37
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	129.871	-4.62428	14.3697	94.6104	-111.956	93.1171	40.361	8.83212	-184.321	-7738.34
0.0007	57.8772	-16.763	3.38316	42.1147	-205.041	129.433	43.1063	20.1356	-196.515	-10548.8
0.0013	38.047	-32.0809	-9.73095	-81.4808	-248.067	131.251	35.4741	34.1536	-209.946	-9616.19
0.0020	15.7297	-41.8112	-19.4968	-166.005	-244.71	106.236	30.8987	48.212	-180.045	-9757.52
0.0027	24.8717	-45.7611	-26.1934	-171.503	-236.169	88.2269	34.559	58.2596	-125.72	-9889.19
0.0033	102.109	-43.6416	-26.5073	-115.963	-202.598	87.9291	38.2194	57.976	-80.2673	-9785.2
0.0040	135.047	-34.4894	-16.7414	-41.5014	-130.271	63.2118	37.0025	41.8108	-22.5851	-9813.21
0.0047	113.066	-23.2177	-0.871949	18.9221	-82.6561	15.9087	33.6439	23.4983	21.3834	-9815.14
0.0053	77.3713	-15.896	6.45242	74.7797	-70.1414	-11.2537	36.0874	12.4784	50.0478	-9815.46
0.0060	-1.07553	-8.28517	8.26608	130.615	-21.6324	-24.0747	47.3799	-6.44177	99.4947	-9786.17
0.0067	-177.127	-2.40848	11.3353	166.028	44.8937	-29.2627	55.3139	-25.0378	169.371	-9866.97
0.0073	-388.604	-0.578035	13.7768	148.628	39.4111	-19.2002	45.2382	-32.0468	227.654	-9822.23
0.0080	-471.353	5.49133	20.1943	104.673	-16.7457	-13.0875	24.4931	-39.9876	255.435	-9549.23
0.0087	-447.221	7.03276	20.1943	77.2102	-26.817	-11.2537	11.0589	-46.9966	303.962	-10478
0.0093	-281.79	-6.06937	6.45242	43.9546	-12.4749	-13.401	-3.28067	-45.1734	387.587	-8632.68
0.0100	59.0872	-22.2543	-8.19632	18.0135	-22.2283	-26.8176	-27.6959	-43.6744	416.888	-2070.04
0.0107	228.417	-33.237	-20.4036	56.1529	-20.1028	-30.4852	-42.0354	-48.8602	365.921	109.458
0.0113	35.896	-43.6416	-37.8077	135.203	23.5394	-38.1183	-44.1771	-53.722	292.051	-198.956
0.0120	-235.139	-52.2158	-50.9218	185.859	66.5658	-55.2026	-42.6487	-52.5065	206.624	-56.9824
0.0127	-515.248	-51.2524	-48.1665	162.348	86.0926	-56.7229	-38.9884	-47.9284	138.868	75.3327
0.0133	-748.101	-42.3892	-35.0524	128.479	128.523	-71.989	-46.3091	-44.8898	119.641	-28.9741
0.0140	-596.115	-27.7457	-19.8107	147.106	178.562	-121.737	-53.0262	-44.8898	68.6743	-1.93161
0.0147	-253.423	-5.49133	0.941705	139.769	196.877	-168.115	-43.8656	-53.722	-46.9728	0.321935
0.0153	-60.2299	15.896	23.5426	90.0218	219.165	-187.958	-29.5261	-68.6717	-132.754	-0.321935
0.0160	247.037	21.9653	29.6463	64.694	247.531	-192.535	-14.2714	-73.574	-132.118	-0.321935
0.0167	884.896	15.5106	21.6941	42.4327	213.046	-194.667	0.0778795	-61.055	-75.3544	-0.321935
0.0173	1488.2	11.2717	17.7529	-20.444	153.235	-185.513	14.1157	-50.967	-25.9428	-0.321935
0.0180	1410.7	12.8131	23.5426	-48.8158	129.437	-156.517	27.2383	-62.2705	-6.99821	0
0.0187	597.123	7.03276	18.9736	-3.36191	95.8659	-119.59	29.0685	-61.3386	25.0239	0
0.0193	-165.834	-18.5935	-5.75487	9.15438	22.0098	-71.989	14.729	-14.6662	76.5915	0
0.0200	-421.878	-42.1002	-23.7519	-33.5736	-56.1171	-12.4762	-6.63923	36.9085	102.534	0
0.0207	-496.359	-44.894	-21.3104	-51.8824	-72.5848	23.5261	-22.2054	51.5747	84.544	0
0.0213	-638.531	-41.2332	-12.1724	-53.4043	-39.9276	36.6606	-29.2243	62.8377	37.2531	0
0.0220	-734.052	-38.4393	-0.558048	-72.9397	-15.5141	50.6885	-26.1675	99.4626	-1.83791	0
0.0227	-858.008	-24.3738	20.7873	-79.6408	18.0369	62.8983	-20.677	121.138	-2.12067	0
0.0233	-1013.02	5.49133	50.9916	-45.7719	90.9793	72.3652	-25.2524	101.002	19.2274	0
0.0240	-709.046	36.0308	75.1272	-1.52194	176.118	80.5938	-30.4411	59.1914	35.6979	0.321935
0.0247	37.3748	40.8478	71.1511	16.7868	221.608	95.5465	-19.4601	25.605	54.3245	0.321935
0.0253	623.07	20.7129	43.6672	7.01911	220.078	112.333	-12.1297	17.6642	65.6347	0
0.0260	897.063	0.867052	18.3458	-21.3526	211.537	139.198	-18.8468	14.3421	51.5676	0
0.0267	811.356	-16.185	-3.31341	-49.1338	217.933	178.554	-14.2714	11.263	31.4566	0.321935
0.0273	324.542	-41.5222	-29.8555	-47.9072	210.921	177.347	-8.46939	39.6635	42.7315	0.321935
0.0280	-51.0879	-61.9461	-50.6079	0.908623	163.306	135.843	-19.4601	79.6511	62.5597	0
0.0287	-44.9708	-67.7264	-53.9911	87.2732	104.725	106.847	-28.9128	95.2086	64.3976	0.321935
0.0293	99.9575	-67.1484	-48.4804	132.75	65.0363	87.9291	-17.9317	106.188	118.404	0.321935
0.0300	179.278	-64.7399	-43.5975	87.5913	30.2536	54.3562	-8.16761	126.324	224.614	0
0.0307	168.926	-60.6937	-35.3663	13.7429	10.111	19.2629	-19.4601	144.636	284.134	0
0.0313	120.729	-54.9133	-20.0897	-18.3088	12.5543	32.0839	-23.724	151.037	278.338	0.321935
0.0320	163.414	-49.711	-10.9517	2.74858	-6.67446	68.6976	-16.4034	123.285	254.834	0.321935
0.0327	349.28	-43.6416	-11.5446	35.0956	-50.6147	40.6261	-18.2335	70.7785	237.126	0
0.0333	420.399	-37.5723	-13.9861	27.1678	-66.4864	-19.2002	-22.2054	32.9381	209.663	0
0.0340	288.848	-26.2042	-6.06877	-13.4249	-49.4029	-50.9393	-16.4034	4.57812	101.015	0
0.0347	262.296	1.54143	22.9148	-50.3604	-21.0166	-85.4213	-0.837204	-26.2533	-78.7121	0
0.0353	432.298	24.7592	48.864	-59.8101	3.39682	-133.947	5.2666	-39.9876	-175.45	0.321935
0.0360	552.825	21.9653	43.3882	-36.9128	1.56929	-172.081	-4.19576	-40.3117	-133.355	0.321935
0.0367	532.121	2.40848	12.2422	-1.52194	-22.5462	-179.103	-10.2996	-37.8404	-15.2335	0.321935
0.0373	340.743	-17.052	-17.6483	47.2938	-41.775	-143.398	-6.33744	-27.7928	61.6408	0.321935
0.0380	-51.424	-23.2177	-26.8212	98.5629	-37.1863	-101.283	8.31363	-18.9202	45.7711	0.321935
0.0387	-467.656	-21.6763	-23.4729	137.02	-18.8712	-87.8507	19.9079	-19.2443	55.2434	0.321935
0.0393	-568.084	-18.0154	-16.4275	173.638	-8.79996	-75.9544	12.5873	-26.2533	113.845	0.321935
0.0400	-325.147	-5.78035	2.47634	181.588	-13.6866	-53.6822	-5.41262	-37.8404	125.756	0.321935
0.0407	-225.056	5.49133	17.439	133.658	-35.6567	-28.6514	-26.1675	-42.4185	102.534	0.321935
0.0413	-395.931	7.89981	16.8112	54.631	-72.5848	17.7269	-27.6959	-33.5864	87.3008	0
0.0420	-449.641	10.0193	15.3114	-0.613321	-102.799	62.8983	-7.85609	-31.7632	54.3245	0
0.0427	-144.794	13.1021	15.9044	0.318018	-120.2	79.6848	-2.66737	-42.4185	24.7411	0.321935
0.0433	189.361	16.474	19.2526	40.2747	-132.715	74.1833	5.87017	-50.6834	33.5773	0.321935
0.0440	63.3221	15.896	19.5665	77.5283	-117.141	51.9111	36.7007	-51.8988	25.6601	0
0.0447	-279.975	8.57418	13.4629	98.5629	-68.3139	36.0494	37.9176	-31.4391	-12.1938	0
0.0453	-341.617	3.08285	12.5561	128.479	-17.0437	41.2373	12.5873	0.2836	-4.55944	0.321935
0.0460	-92.8993	-2.40848	10.7075	165.71	9.19725	49.1682	14.1157	14.6257	49.765	0.321935
0.0467	129.266	-16.185	-1.77878	184.019	25.069	44.278	32.4271	24.7137	62.5597	0.321935
0.0473	94.1765	-34.7784	-21.3104	160.826	47.9528	20.172	34.2572	41.4866	27.4627	0.321935
0.0480	-64.8009	-43.9306	-31.3902	85.7513	63.5266	-27.4289	32.7288	50.6429	-20.4291	0.321935
0.0487	-168.926	-41.8112	-30.7972	0	57.4083	-79.3086	49.2101	53.3978	-113.809	0.321935
0.0493	-174.102	-38.1503	-29.8555	-29.5984	42.7682	-106.784	68.7384	54.8969	-196.233	0.321935
0.0500	-136.257	-33.9114	-24.3797	-22.8746	45.8075	-102.208	67.21	52.466	-186.442	0.321935
0.0507	-193.327	-28.42	-16.4275	-51.5644	54.965	-79.6221	48.5968	46.3889	-167.215	0
0.0513	-422.483	-20.1349	-7.88242	-80.5722	58.9379	-73.2116	39.1344	38.4481	-201.11	0
0.0520	-604.383	-9.15222	-0.558048	-51.2691	53.7533	-111.048	37.3043	26.2128	-225.816	0.321935
0.0527	-453.607	-3.08285	-2.72048	-40.888	29.6378	-139.433	23.578	7.90029	-205.387	0.643869
0.0533	-132.896	0.867052	-1.77878	-90.6351	-2.4036	-118.979	8.31363	-11.6276	-163.574	0.321935
0.0540	38.652	5.78035	3.69706	-115.054	-82.3581	-121.126	-1.75229	-24.4301	-137.031	0.321935
0.0547	118.578	8.57418	5.2317	-122.687	-212.053	-147.066	-8.46939	-26.2533	-142.191	0.643869
0.0553	300.141	11.2717	5.5456	-158.373	-331.379	-131.502	1.29475	-25.9697	-161.135	0.321935
0.0560	474.445	16.185	7.67315	-144.039	-409.506	-82.9762	11.974	-37.2326	-157.778	-0.321935
0.0567	546.103	26.8786	17.7529	-93.9971	-397.289	-33.5416	5.87017	-52.8306	-124.801	0
0.0573	570.571	32.948	24.1356	-83.9113	-307.264	37.2719	10.1438	-66.2409	-103.135	0.643869
0.0580	342.289	21.3873	10.7075	-81.4808	-221.509	131.565	40.9646	-75.6807	-117.167	0.321935
0.0587	-0.73943	0.578035	-12.1724	-57.3795	-159.571	206.939	59.8893	-73.8576	-128.159	0.321935
0.0593	97.8064	-10.9827	-26.5073	-65.9206	-65.5726	268.286	52.2571	-66.8486	-101.615	0
0.0600	261.422	-8.8632	-22.2521	-148.923	53.1375	301.545	62.9461	-56.4769	-72.9156	0.321935
0.0607	-59.961	0.289017	-10.0449	-214.844	120.577	293.912	84.6063	-46.3889	-72.6329	0.321935
0.0613	-267.741	10.6936	0.34878	-208.733	155.38	255.167	100.474	-46.3889	-100.378	0
0.0620	-14.7886	16.763	9.80071	-177.613	198.108	188.021	124.286	-37.8404	-148.624	0
0.0627	201.259	12.2351	5.82462	-130.91	154.466	105.922	122.144	-15.8816	-174.248	0.321935
0.0633	154.003	3.37187	-4.53414	-86.9779	13.4681	-5.7679	90.7101	3.32217	-155.94	0.321935
0.0640	42.2819	-2.40848	-6.66169	-77.2102	-88.4565	-93.0387	72.0969	16.4488	-129.078	0
0.0647	73.1363	-10.6936	-9.10315	-79.6408	-137.601	-103.415	74.5404	22.5665	-104.372	0.321935
0.0653	25.8128	-14.9326	-8.51023	-54.0176	-177.271	-73.8228	81.8611	15.8411	-73.8346	0.321935
0.0660	-239.105	-11.9461	-4.53414	-18.0135	-184.581	-39.6386	60.5026	-7.04949	-46.3719	0.321935
0.0667	-341.617	-10.1156	4.91779	6.72381	-165.968	-20.4071	7.39855	-32.3709	-30.2195	0.321935
0.0673	-293.083	-10.1156	14.9975	25.6459	-123.557	-14.31	-37.7618	-32.0468	-21.6662	0.321935
0.0680	-309.552	-10.1156	-1.77878	26.8498	-61.3017	3.38551	-53.0262	-15.2739	-19.5101	0.321935
0.0687	-140.223	-8.8632	-17.3692	16.7868	12.8523	5.53279	-47.5357	-5.50994	-25.9428	0.321935
0.0693	233.66	-3.9499	-10.6378	7.33713	90.6813	-10.0311	-54.2431	1.21543	-33.86	0.321935
0.0700	385.31	9.15222	-6.06877	-2.74858	40.3249	16.52	-73.7811	10.3717	-32.6583	0
0.0707	242.466	19.5568	-8.51023	-8.83636	-133.33	40.0148	-93.3093	22.8906	-20.7472	0
0.0713	30.3838	17.052	-13.707	-7.01911	-203.214	30.5479	-108.262	29.8996	-8.23526	0.321935
0.0720	-139.887	23.2177	-23.159	-4.88385	-156.81	24.1374	-67.3657	14.9498	-6.07925	0.321935
0.0727	-214.367	39.0173	-41.156	-13.4249	-183.369	-6.37917	-6.33744	-8.54852	-11.2749	0
0.0733	-225.929	28.42	-61.3155	-18.6041	-313.064	-38.4161	-7.25253	-12.5189	-9.43697	-0.321935
0.0740	-172.556	-21.3873	-74.1157	-7.31442	-365.248	-43.9175	-11.2146	10.0475	3.35773	0
0.0747	-61.171	-63.7765	-60.0947	3.97523	-264.555	-61.6131	29.0685	33.5458	15.2688	0
0.0753	12.7047	-56.7438	-26.8212	4.27053	-128.742	-91.2206	66.2949	37.2326	18.3084	0.321935
0.0760	52.634	-28.9981	-23.4729	9.47239	-10.6474	-111.972	69.0499	50.6429	19.2274	0.643869
0.0767	119.519	-21.6763	-33.2387	30.5297	139.21	-127.536	44.3232	86.336	32.3755	0.321935
0.0773	207.108	-35.4528	-28.0419	51.8824	308.873	-141.564	-3.89397	101.893	54.0417	0
0.0780	286.092	-52.2158	-31.7041	69.8958	417.213	-140.342	-53.6395	80.2588	75.0717	0.321935
0.0787	352.977	-54.6243	-43.9114	89.4085	449.871	-98.2267	-66.4507	49.1033	96.7378	0.321935
0.0793	323.333	-49.422	-53.3633	98.5629	461.154	-54.2935	-62.4885	22.8906	109.568	0
0.0800	59.961	-42.3892	-52.4565	90.9532	485.269	-57.9454	-78.045	-6.44177	108.048	0
0.0807	-359.027	-22.5434	-30.4833	78.4369	488.01	-35.3754	-86.9038	-39.0963	105.291	0
0.0813	-785.073	14.6435	14.3697	79.3455	440.713	14.0749	-78.3565	-72.3585	112.007	0.321935
0.0820	-977.93	63.1985	74.1854	94.2924	385.788	19.8742	-84.1488	-116.276	121.762	0.321935
0.0827	-668.445	97.9769	113.563	104.378	342.761	15.5953	-102.772	-157.479	120.242	0
0.0833	-91.6893	104.624	119.039	100.108	284.161	23.8396	-111.923	-159.91	111.689	0
0.0840	553.43	95.1831	107.459	84.5474	207.862	39.09	-106.734	-147.715	102.852	0.321935
0.0847	1102.15	68.6898	74.8132	66.5339	131.264	40.0148	-92.0827	-155.98	91.2594	0
0.0853	995.945	23.5068	25.3563	57.6748	62.9108	3.08771	-72.866	-151.402	83.625	0.321935
0.0860	269.959	-17.4374	-16.4275	56.4709	-14.6004	-37.8048	-54.8564	-116.6	81.7871	0.643869
0.0867	-403.258	-32.0809	-25.6004	49.4518	-88.1585	-52.1462	-35.3281	-97.0723	80.5854	0.643869
0.0873	-607.744	-23.2177	-7.6034	42.728	-140.044	-95.7973	-18.5353	-103.474	77.2277	0.643869
0.0880	-256.448	-17.4374	1.88341	46.3852	-190.997	-170.263	-11.8279	-93.9932	75.3898	0
0.0887	272.715	-31.1175	-7.6034	50.3604	-211.755	-190.09	-9.08269	-68.3881	76.9096	0
0.0893	339.197	-50.0964	-20.0897	45.4766	-177.271	-175.748	-24.3373	-48.5361	75.7079	0.321935
0.0900	-46.1808	-58.5742	-30.7972	39.0708	-115.313	-155.608	-50.8845	-3.6868	71.4312	0.643869
0.0907	-447.49	-61.657	-45.725	30.825	-58.2426	-95.7973	-42.0354	62.23	64.3976	0.321935
0.0913	-618.096	-62.5241	-58.874	14.6515	-31.7037	0.34482	11.0589	86.6601	52.8046	0.321935
0.0920	-505.837	-49.422	-49.7011	3.04389	-8.79996	100.734	71.4836	97.6395	47.9271	0.321935
0.0927	-303.502	-28.9981	-29.8555	2.13526	28.1082	181.924	105.361	132.441	47.9271	0.321935
0.0933	-187.21	-18.5935	-22.5312	7.92774	68.7112	259.132	117.871	141.597	49.1288	-0.321935
0.0940	-65.742	-8.57418	-14.3	25.9412	87.94	320.777	98.6441	119.315	61.0399	0.321935
