MR32 ASCII
Name	SORD15_fast
Frequency	1500
Date	28-08-2015 11:12:38
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	1.45808	-14.9405	18.7172	-17.421	13.5857	4.88922	-8.71242	28.8074	34.8714	-9426.28
0.0007	2.40155	-4.84371	9.27861	-31.1174	8.09302	1.52429	-7.19141	-4.40515	16.2078	-10298.7
0.0013	7.89081	18.3515	4.6713	-69.8641	5.3467	2.44461	-2.61506	15.1282	-2.7013	-9527.46
0.0020	6.08965	19.5113	9.88652	-80.5569	-0.14594	0.316361	-5.05667	41.3272	-8.5132	-9873.71
0.0027	1.20078	15.8955	15.3577	-50.0402	-1.67167	0.603962	-7.19141	26.3729	0.654861	-9838.38
0.0033	0.857697	22.5812	10.1745	-2.76332	-1.06138	2.73221	-4.44293	-11.1288	14.0795	-9790.52
0.0040	0.857697	10.7107	2.23966	73.2281	-3.19741	2.44461	-3.82919	-36.8062	23.8206	-9815.89
0.0047	3.00194	-16.7824	2.23966	178.234	-1.97682	3.04857	-3.21546	-57.5567	31.7608	-9815.25
0.0053	5.40349	-19.2384	8.0308	255.427	-3.50255	3.65253	-2.61506	-86.1902	36.0174	-9808.51
0.0060	3.94541	-7.64078	10.1745	258.791	-9.91064	1.20792	-5.65707	-78.3073	32.9886	-9789.56
0.0067	3.00194	3.95683	6.81498	234.342	-9.91064	0.920324	-6.2708	-35.8788	27.8316	-9909.68
0.0073	5.14618	17.7375	9.88652	227.674	-5.63858	1.52429	-3.82919	-17.8524	24.148	-9677.46
0.0080	6.94735	1.50087	17.8213	215.119	-6.24887	3.65253	-4.13606	-42.2546	17.7631	-9750.37
0.0087	7.54773	-24.0821	1.95171	196.857	-6.24887	16.1632	-4.44293	-74.0181	7.9402	-10524.8
0.0093	4.8031	-18.6244	-23.3885	164.778	-4.72314	28.6738	-3.52232	-59.3536	-2.7013	-6616.09
0.0100	-1.88693	-11.2565	-17.2774	48.8388	-5.63858	29.9105	-5.05667	-7.76697	-14.5707	-384.156
0.0107	-7.03312	-25.0372	0.703894	-209.953	-5.94373	29.5942	-6.88454	-9.33196	-29.2232	110.172
0.0113	-7.97658	-36.2937	4.6713	-453.786	-4.11285	32.6427	-5.96394	6.25995	-36.5904	-287.475
0.0120	-6.17542	-28.6529	-0.511923	-406.809	-2.28197	30.1981	-4.13606	67.8741	-20.3826	60.0645
0.0127	-3.6881	-14.6676	-5.9831	-175.471	-1.67167	20.7648	-2.61506	26.7207	5.56632	24.0901
0.0133	-3.43079	2.72885	0.415938	-46.6762	-0.756233	9.77844	-1.38758	-55.4121	14.98	-23.7689
0.0140	-3.08771	21.0804	17.2134	-29.916	0.159207	-0.920324	-0.480317	-52.3401	11.6238	1.606
0.0147	0.257309	38.1357	34.5868	-37.5452	-0.756233	-10.066	-4.13606	0.173887	9.49549	-0.642401
0.0153	2.65886	50.9613	50.1685	-50.0402	0.464354	-14.6389	-5.96394	46.5439	8.92249	-0.642401
0.0160	0.857697	41.4785	41.3058	-57.0687	4.73641	-19.5281	-0.480317	74.8875	7.69462	-0.642401
0.0167	-1.28655	26.2652	0.703894	-53.4043	5.04155	-26.258	2.8819	95.0585	6.79419	-0.642401
0.0173	-0.343079	16.7824	-25.2122	-41.2096	4.12611	-30.2269	0.440291	56.6293	7.9402	-0.642401
0.0180	-2.23001	0.613991	-19.1331	-23.7886	5.3467	-33.5631	-3.82919	-38.603	10.3959	-0.642401
0.0187	-2.23001	-10.0967	-14.5258	-7.32882	6.56729	-31.7512	-5.05667	-99.0579	10.7234	-0.642401
0.0193	3.34502	-15.2816	-18.2053	-1.50181	7.48273	-20.1321	-2.30819	-99.6375	10.7234	-0.321201
0.0200	3.34502	-14.9405	-11.8062	-8.53026	6.87244	-9.14572	-2.92193	-67.0046	13.1791	-0.642401
0.0207	-2.23001	10.7107	-2.0157	-21.3857	4.43126	-0.316361	-6.88454	-41.3852	13.1791	-0.642401
0.0213	-4.28849	42.0925	1.3438	-31.1174	2.90553	7.01747	-8.71242	2.26054	10.7234	-0.642401
0.0220	-4.03118	48.8464	0.0959856	-30.5167	0.7695	5.80954	-10.8472	73.3805	10.7234	-0.642401
0.0227	1.20078	37.2488	-6.91096	-23.7886	1.68494	4.57286	-12.3815	64.2224	12.5242	-0.321201
0.0233	7.29042	3.68395	-8.12678	-20.1242	4.12611	8.54175	-10.8472	1.04332	12.8517	-0.642401
0.0240	7.89081	-35.6797	2.23966	-22.8875	0.159207	10.9864	-12.9819	-0.173887	8.92249	-0.963602
0.0247	8.4912	-38.1357	15.0697	-44.874	-2.89226	12.827	-13.5956	-6.89753	3.43802	-0.642401
0.0253	7.89081	-23.4681	23.9004	-60.4327	-0.756233	14.3513	-9.01929	-70.9461	3.11059	-0.321201
0.0260	6.34696	-22.2401	25.4362	-29.916	4.73641	14.0349	-6.88454	-60.281	10.1504	-0.642401
0.0267	8.4912	-16.7824	18.7172	24.6897	13.2805	14.0349	-3.82919	38.603	18.3361	-0.642401
0.0273	7.89081	-4.29794	-0.511923	63.196	16.6371	10.3824	-1.69445	68.5116	22.0197	-0.321201
0.0280	3.00194	-12.8256	-19.1331	71.1256	13.2805	4.88922	-5.36354	50.8331	18.991	-0.642401
0.0287	2.05847	-39.6365	-15.1657	60.4327	11.4496	5.17682	-7.80515	12.6358	15.3074	-0.642401
0.0293	0.600388	-43.9345	-6.59101	60.7331	10.229	6.70111	-7.80515	-30.952	12.8517	-0.642401
0.0300	-3.6881	-18.6244	-6.59101	90.6491	9.00846	6.70111	-5.96394	11.4186	0	-0.321201
0.0307	-4.03118	7.02679	-1.40779	127.894	9.61876	6.41351	-3.21546	4.75292	-15.7985	-0.642401
0.0313	-4.28849	19.5113	4.06339	144.053	8.70332	4.88922	-2.92193	-103.637	-11.5419	-0.321201
0.0320	-4.97464	18.6244	4.38334	151.983	9.9239	4.88922	-1.69445	-128.039	4.01103	-0.321201
0.0327	-2.23001	10.0967	5.3112	166.34	10.8393	4.57286	0.133421	-84.6832	11.0508	-0.642401
0.0333	-0.0857697	3.68395	4.38334	181.599	8.09302	2.12825	-1.08071	-93.2616	11.0508	-0.642401
0.0340	2.05847	1.22798	2.84757	191.03	8.39817	2.44461	-1.38758	-106.361	14.0795	-0.642401
0.0347	3.00194	-1.84197	1.95171	201.723	8.39817	0.920324	-2.92193	-75.8149	19.8914	-0.642401
0.0353	1.20078	-5.18481	0.415938	225.511	6.26214	-1.20792	-5.36354	-22.7213	33.8891	-0.321201
0.0360	0.600388	-2.45596	-1.11983	230.077	7.17758	1.20792	-4.7498	33.3864	64.422	-0.321201
0.0367	1.20078	7.91366	0.703894	158.05	9.61876	4.57286	-3.82919	48.6885	81.2028	-0.321201
0.0373	3.00194	20.1253	8.95866	30.5167	12.9754	9.14572	-1.38758	25.5035	64.422	-0.321201
0.0380	6.08965	19.8524	13.8539	-115.038	16.6371	13.7186	1.65443	10.2014	49.442	-0.321201
0.0387	6.69004	2.45596	2.23966	-224.911	15.7217	13.1146	1.65443	3.18794	25.0485	-0.642401
0.0393	4.20272	-12.2116	-11.8062	-241.07	13.8908	12.5106	1.3609	1.04332	-31.1059	-0.321201
0.0400	-1.28655	-8.86876	-9.3426	-239.268	13.8908	13.431	0.74716	0.753512	-68.3512	-0.321201
0.0407	-7.71927	5.18481	0.415938	-247.197	12.6702	11.9067	-0.480317	-19.9971	-59.7561	-0.321201
0.0413	-6.43273	15.2816	7.13493	-198.058	13.2805	9.77844	0.133421	-46.8337	-38.1457	-0.321201
0.0420	-3.08771	4.29794	9.88652	-131.558	12.3651	7.62143	0.440291	-45.3267	-26.1945	-0.321201
0.0427	-5.57503	-18.8973	8.0308	-101.943	8.70332	3.9689	-2.30819	-12.6938	-20.137	-0.321201
0.0433	-5.83234	-41.2056	5.3112	-88.7868	8.70332	3.65253	-1.69445	38.8928	-14.5707	-0.321201
0.0440	-3.08771	-49.7333	4.06339	-78.7548	10.5342	5.80954	0.74716	64.5122	-10.0685	-0.321201
0.0447	-0.943467	-44.5485	1.3438	-65.2986	11.1445	6.70111	1.65443	38.3132	-9.41363	-0.321201
0.0453	3.00194	-54.6452	2.84757	-47.337	12.6702	7.33383	2.8819	8.69437	-10.9689	-0.321201
0.0460	2.65886	-58.2609	13.534	-28.4142	10.5342	5.17682	1.3609	2.60831	-7.28533	-0.321201
0.0467	-0.686158	-33.8377	19.3251	-6.42773	6.87244	1.52429	-0.773844	-15.1282	1.88273	-0.642401
0.0473	-0.943467	6.7539	13.8539	9.73171	6.87244	1.52429	0.133421	-33.7342	7.9402	-0.321201
0.0480	-1.54385	66.8568	10.7824	19.2231	6.87244	2.12825	0.133421	9.62177	10.3959	-0.321201
0.0487	-0.343079	80.2964	14.1419	30.8171	8.70332	3.04857	1.65443	45.3267	12.5242	-0.642401
0.0493	2.65886	29.608	14.4618	49.4395	9.00846	3.65253	3.18877	22.7213	12.5242	-0.642401
0.0500	0.257309	6.4128	12.9261	71.1256	5.65185	1.20792	1.3609	29.4449	13.1791	-0.321201
0.0507	-3.43079	20.1253	17.2134	91.5502	4.12611	-0.603962	1.65443	44.3993	17.4357	-0.321201
