MR32 ASCII
Name	SORD15_slow
Frequency	1500
Date	28-08-2015 11:07:46
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	912.481	-136.985	-47.7973	-238.378	-37.575	-47.2399	-1.49176	79.3374	205.394	-5751.28
0.0007	725.447	-72.2507	3.77411	-125.493	-31.1706	-57.324	-7.90344	94.3051	107.725	-10385.3
0.0013	134.006	-40.8481	56.5873	-86.7242	-22.3179	-35.3524	-7.90344	116.267	-24.3905	-9868.4
0.0020	-420.171	-103.703	87.9977	-61.6814	-13.7846	13.1868	-9.73944	130.922	-67.1275	-9619.6
0.0027	-571.256	-93.0209	100.513	-9.5002	6.97214	43.6911	-10.9587	126.958	79.3762	-9910.55
0.0033	-553.58	68.0966	108.159	45.7197	32.306	49.4894	-5.76621	128.16	168.487	-9793.6
0.0040	-480.904	133.721	99.2957	54.5912	46.9422	51.0214	3.38514	130.611	115.053	-9801.21
0.0047	-281.03	100.439	74.2648	35.975	53.3644	54.9775	13.4545	100.096	120.883	-9812.62
0.0053	-80.8573	92.8231	47.1155	10.6179	56.7174	55.2878	13.7701	43.032	134.576	-9813.57
0.0060	-15.5265	62.3107	15.0721	-16.8349	56.1142	35.4493	0.645471	-32.3408	16.4743	-9792.02
0.0067	-131.199	20.8197	-7.20734	-36.0449	51.2177	7.38851	-9.42388	-94.6169	-123.557	-9818.64
0.0073	-394.254	8.90152	-9.03352	-56.8265	42.6844	10.7434	-11.5611	-103.125	-167.845	-9896.29
0.0080	-581.946	-16.7151	-12.3937	-96.7832	40.8393	37.5825	-13.3971	-84.2376	-121.15	-9540.36
0.0087	-517.272	-80.5093	-25.8101	-157.207	47.8647	44.0014	-12.1779	-71.4082	9.14645	-10156.2
0.0093	-324.683	-128.132	-33.1391	-170.934	56.4158	23.5618	-7.60222	-61.9643	132.169	-9865.23
0.0100	-147.98	-146.727	-29.779	-105.655	59.7688	1.88106	-2.71098	-60.1379	138.587	-4056.58
0.0107	-146.427	-158.348	-22.1577	-34.543	53.9675	-16.1151	0.0286876	-60.717	74.7763	113.783
0.0113	-332.029	-170.514	-16.6548	-5.55342	63.7427	-39.6187	2.46713	-49.7585	28.7231	58.3179
0.0120	-413.782	-154.689	-12.0772	-5.83284	89.0589	-65.8566	3.7007	-30.8262	46.4276	-190.167
0.0127	-415.036	0.0494529	-5.67334	19.175	97.6099	-91.1831	2.16591	-15.8586	140.085	100.789
0.0133	-456.539	174.618	8.66828	57.0012	79.9046	-113.465	-2.71098	-10.6912	264.926	-16.4811
0.0140	-404.645	138.32	34.3079	50.0157	62.217	-123.549	-5.46499	-5.47923	325.314	-8.55752
0.0147	-277.387	35.7545	47.4321	60.9829	82.0512	-120.795	-5.14943	-0.623652	280.491	2.85251
0.0153	-172.404	33.9247	31.2399	126.89	95.7826	-115.908	-8.50588	-15.2349	163.566	0.63389
0.0160	-102.535	53.7553	3.16538	158.325	65.2684	-107.066	-8.20466	-43.6556	13.4255	0.63389
0.0167	-61.0311	48.266	-18.1888	138.486	27.7289	-91.1831	0.344251	-64.6816	-75.3646	0.63389
0.0173	63.4796	38.8205	-30.0955	170.549	0.266112	-73.4973	5.52236	-78.4465	-20.7534	0.63389
0.0180	308.858	31.7982	-33.7479	247.459	-21.4132	-54.26	4.60436	-80.5848	141.636	0.950835
0.0187	438.266	25.3693	-32.847	203.206	-41.2474	-39.3084	4.91993	-70.7845	324.726	1.26778
0.0193	323.489	18.9899	-29.4868	40.5505	-54.9788	-33.5101	8.57759	-71.4082	409.879	0.950835
0.0200	241.736	15.6271	-25.5179	-33.3205	-49.1775	-26.1992	9.79682	-72.6109	308.84	0.950835
0.0207	361.35	7.6652	-22.4742	52.7401	-42.4715	-14.6025	4.00192	-60.717	123.022	0.950835
0.0213	450.15	-12.1654	-20.3315	130.558	-44.902	-8.80416	-3.32776	-50.9613	-17.3836	0.950835
0.0220	402.555	-26.1606	-18.5053	-3.42286	-44.2988	4.32451	-4.24577	-45.1702	-64.0787	1.26778
0.0227	262.458	-23.4407	-13.319	-210.332	-37.2734	24.7835	1.24791	-35.6818	135.806	1.26778
0.0233	33.3223	-14.8853	-7.20734	-211.24	-26.8951	25.3847	2.16591	-23.476	543.866	0.316945
0.0240	-181.541	-11.5225	-8.1326	-90.3916	-14.0862	11.9651	-8.82144	-15.5468	798.683	0.63389
0.0247	-279.537	-16.1216	-15.4373	-22.3185	-0.958004	3.72334	-19.8088	-11.2703	754.128	1.26778
0.0253	-197.426	-23.144	-24.5926	-43.3796	2.39501	-4.51843	-20.7125	-7.30564	519.422	0.950835
0.0260	26.5742	-31.6993	-38.642	-100.136	-0.354816	-7.27216	-18.274	-11.5821	184.052	0.63389
0.0267	214.863	-40.8481	-54.2011	-88.261	-3.10464	5.23595	-11.2599	-17.1059	-186.727	1.26778
0.0273	370.487	-45.101	-64.8904	-40.9347	-14.3878	12.8766	-0.573752	-11.5821	-495.567	1.26778
0.0280	584.155	-46.3374	-67.3253	-19.5942	-33.6188	15.6109	0.344251	-4.27647	-633.512	0.950835
0.0287	790.718	-38.3755	-54.2011	19.4894	-45.8245	36.9813	-3.9302	3.07371	-543.171	1.26778
0.0293	854.854	-27.6936	-32.847	103.419	-41.8506	61.7067	-3.9302	18.3086	-252.036	1.58473
0.0300	630.854	-20.3746	-16.0461	192.204	-30.2658	58.6427	-5.14943	31.1381	9.14645	0.63389
0.0307	102.236	9.54441	1.94793	234.327	-12.2589	41.8682	-6.38299	39.691	79.9646	0.316945
0.0313	-396.702	42.7768	19.041	110.719	9.72196	34.2276	-7.90344	49.1349	29.6324	0.950835
0.0320	-554.774	49.7991	33.0661	-173.099	18.2553	32.0944	-13.6983	51.2731	-79.3227	1.26778
0.0327	-577.347	47.6726	45.5815	-267.996	17.3505	29.0498	-17.9728	42.0965	-185.55	0.950835
0.0333	-598.726	32.7378	38.8855	-95.5608	15.2039	27.5178	-16.4523	21.3824	-279.207	1.26778
0.0340	-417.126	6.47833	21.1837	48.7933	5.14483	26.2961	-10.9587	1.82641	-344.516	1.26778
0.0347	-177.599	-7.56629	18.7245	80.5072	-4.93194	22.0298	-0.573752	9.17659	-320.393	1.26778
0.0353	-17.6763	-2.67046	19.6497	42.9954	-7.98336	16.2315	13.4545	27.7525	-254.175	0.950835
0.0360	148.039	4.94529	7.13429	-37.5817	-5.53513	11.9651	28.1139	24.4115	-181.859	1.26778
0.0367	104.386	-4.50021	-11.1762	-104.432	-1.57893	11.3446	39.1012	3.07371	-97.0273	1.58473
0.0373	-94.5923	-18.5448	-21.8655	-107.785	-11.638	15.6109	38.4844	-10.6912	-27.4394	1.58473
0.0380	-146.785	-19.1877	-21.549	-58.3284	-35.1445	21.1183	29.3331	-4.90012	55.5741	1.26778
0.0387	-136.394	-18.8416	-18.5053	-30.8756	-50.7032	25.9858	26.8946	0.623652	145.273	0.950835
