MR32 ASCII
Name	USMC30_slow
Frequency	1500
Date	28-08-2015 12:37:31
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	-15.2897	52.8486	8.98073	9.83793	13.6436	-11.9464	-8.20023	-6.17577	878.408	-9418.6
0.0007	-12.8456	55.263	8.6547	10.4231	11.514	-6.16023	-5.44884	-2.21806	790.788	-10298.2
0.0013	-10.1173	70.8225	7.43949	51.3474	7.559	-8.28015	-6.36597	8.43732	1007.5	-9524.58
0.0020	-5.51338	35.143	5.63148	65.062	-4.04863	-16.5354	-13.0736	16.3962	827.14	-9871.09
0.0027	2.38724	-31.3873	5.92788	41.8752	-19.307	-12.8691	-11.8508	23.7028	-302.658	-9835.77
0.0033	6.36596	-75.9579	6.22427	45.825	-33.3485	0.249402	-2.08602	36.2283	-1224.9	-9787.59
0.0040	4.54712	-113.17	4.71266	37.3037	-39.1289	6.65904	0.97108	47.536	-1011.53	-9813.29
0.0047	13.3572	-177.286	9.27713	-42.6798	-27.5447	9.72668	2.78736	60.0181	-533.044	-9812.32
0.0053	35.9791	-205.953	17.5169	-5.74184	-10.4609	10.026	6.76159	70.108	-326.731	-9806.22
0.0060	46.6648	-131.183	19.9473	223.749	-6.48248	1.17219	3.39878	61.2358	-151.868	-9786.95
0.0067	35.9791	48.2498	20.8661	294.553	-5.26556	-6.7588	-2.08602	56.6692	15.9946	-9906.42
0.0073	21.5988	193.842	24.5414	103.499	-1.919	-11.0236	-3.92029	67.6725	126.125	-9675.84
0.0080	10.3447	151.418	18.4357	-17.957	-6.48248	-14.3905	-8.20023	73.4569	161.83	-9746.49
0.0087	7.27539	65.9554	4.09023	-12.7637	-9.54821	-8.28015	-7.89452	85.3735	159.999	-10523
0.0093	13.3572	69.9411	-1.71908	-115.605	-4.35286	4.8384	2.48165	96.3333	152.998	-6625.26
0.0100	16.7107	72.6621	-2.01548	-222.103	-5.87402	9.4274	4.92733	60.6269	-144.543	-389.872
0.0107	19.4958	24.144	-0.177836	-125.077	-11.0694	10.6245	-2.39173	-15.6569	-621.257	113.044
0.0113	27.3964	-86.3437	9.57352	-39.3151	-7.39518	16.4356	-1.78031	-82.1986	-701.822	-285.5
0.0120	31.0909	-241.977	21.1922	-110.412	-1.28714	18.8797	3.09307	-112.991	-429.591	61.0179
0.0127	31.0909	-350.625	23.0002	-194.93	1.75519	15.8121	2.48165	-105.988	-149.121	25.6918
0.0133	37.1727	-428.729	15.6792	-207.767	2.05942	12.1708	-2.39173	-72.4131	76.0953	-22.8014
0.0140	42.9702	-483.341	12.6264	-198.002	0.538257	5.13768	-7.2831	-35.7934	200.928	2.89032
0.0147	38.0821	-414.703	18.4357	-207.145	0.234025	-3.39187	-12.4622	-6.17577	34.5741	0.642294
0.0153	26.4869	-250.523	22.4074	-178.143	0.538257	-9.50222	-15.5193	42.0126	-359.689	0.642294
0.0160	15.2328	67.4883	21.4886	-107.961	0.538257	-11.0236	-14.6022	98.7688	-516.242	0.642294
0.0167	5.11551	443.139	12.33	-56.1018	0.234025	-9.8015	-14.2965	120.471	-242.234	0.642294
0.0173	-1.25046	538.374	-8.12119	-43.8867	2.36365	-7.35736	-13.0736	113.73	170.07	0.963441
0.0180	-4.60395	404.394	-22.4667	-75.6314	7.25477	-4.01537	-9.7108	74.9791	463.358	0.963441
0.0187	-15.2897	256.387	-21.5478	-140.62	5.7102	-4.01537	-10.3222	-6.48021	581.136	0.963441
0.0193	-25.9754	180.39	-18.7914	-207.474	-1.61477	-3.09259	-11.2394	-101.422	477.683	0.963441
0.0200	-23.8724	179.164	-16.0645	-225.139	-3.44016	3.01777	-4.53171	-148.392	174.378	-0.321147
0.0207	-16.1991	187.404	-11.4704	-174.486	0.234025	5.76119	3.39878	-134.084	-184.826	-0.321147
0.0213	-14.7213	183.763	-9.33641	-107.669	-0.0702074	6.06047	9.8187	-117.905	-493.085	0.963441
0.0220	-16.1991	171.844	-10.2552	-76.8383	-3.13593	10.6245	20.5006	-114.208	-518.988	0.963441
0.0227	-15.2897	156.591	-9.6328	-76.5457	-2.52747	14.2907	27.5139	-105.684	-217.192	0.642294
0.0233	-12.5614	143.485	-3.85312	-84.1527	-0.678672	15.2135	25.9854	-97.725	58.7006	0.963441
0.0240	-10.7426	130.953	6.22427	-89.9677	2.36365	17.3584	25.6797	-87.3741	189.619	0.963441
0.0247	-7.04803	118.459	14.7604	-53.0297	6.01444	15.2135	26.2911	-72.1086	139.589	1.28459
0.0253	-3.12614	106.234	16.3017	75.7411	5.10174	6.98326	20.5006	-58.6698	-185.742	0.963441
0.0260	-4.31976	94.3534	12.33	257.615	1.14672	2.09498	12.8578	-48.9278	-395.394	0.963441
0.0267	-11.652	79.3687	6.22427	382.143	1.45095	0.872907	7.98444	-41.8822	-172.332	0.963441
0.0273	-19.2684	65.3422	0.118558	378.486	6.34207	-0.972668	6.15017	-37.62	238.141	0.963441
0.0280	-21.0872	57.1026	-1.39305	287.238	10.2971	2.39426	7.67873	-36.4023	734.026	0.963441
0.0287	-16.5401	23.8375	2.87502	219.177	16.1009	10.9488	13.1635	-33.6623	1250.7	1.28459
0.0293	-12.5614	-38.0939	-5.98715	213.399	18.2305	6.98326	14.6921	-27.8779	1264.16	0.963441
0.0300	-15.6307	-71.6656	-34.0556	233.843	10.6013	-10.425	6.76159	-19.6146	647.699	0.642294
0.0307	-18.9842	-57.6391	-56.6409	246.936	-3.13593	-19.5781	2.48165	-9.26366	41.8982	0.642294
0.0313	-18.6432	-37.4808	-58.4785	163.624	-16.8732	-14.0912	4.31591	-1.60918	-182.079	0.642294
0.0320	-19.2684	-89.9845	-49.6163	2.19433	-25.7193	-2.1698	4.0102	0.217457	-237.333	0.963441
0.0327	-17.4496	-109.53	-45.0519	-34.1219	-19.0028	13.9915	8.29015	3.87073	-302.335	1.28459
0.0333	-14.7213	35.7562	-43.807	89.7848	-6.78672	20.1018	11.3293	5.39293	-195.812	1.28459
0.0340	-16.1991	38.7838	-51.7504	195.076	-5.56979	10.3252	-1.16889	0.826335	112.123	0.963441
0.0347	-13.4708	-153.142	-54.2104	191.09	-1.919	10.3252	-12.7679	3.56629	314.721	0.963441
0.0353	-5.22918	-195.873	-6.90598	103.499	7.25477	21.9224	-15.2136	7.21956	319.03	0.963441
0.0360	-0.966262	-134.249	66.659	18.6884	4.18904	21.9224	-19.7813	3.56629	315.367	1.28459
0.0367	6.99119	-14.908	87.7029	-109.497	0.538257	17.3584	-21.3098	2.65297	354.088	1.28459
0.0373	20.4052	178.551	50.7723	-343.267	7.25477	19.179	-14.6022	2.95741	316.552	0.963441
0.0380	20.6894	210.321	16.5981	-384.776	8.47169	17.3584	-12.1565	2.34853	114.547	0.963441
0.0387	11.2541	100.447	5.00906	-111.033	4.49327	9.4274	-10.3222	3.26185	-294.418	0.963441
0.0393	7.55958	53.7684	-2.9343	130.051	3.27635	3.91561	0.66537	6.30624	-717.386	0.963441
0.0400	1.76201	58.6355	-5.98715	141.973	-4.35286	-0.0498804	7.67873	8.13288	-796.12	0.963441
0.0407	-5.51338	58.9421	10.1959	97.4284	-9.85244	-0.349163	13.1635	10.3074	-608.44	1.28459
0.0413	-2.50091	60.7817	26.9718	193.833	0.234025	7.58182	29.3482	17.9184	-553.778	1.28459
0.0420	-0.341034	56.4894	17.5169	327.833	1.45095	11.8466	36.973	21.5717	-572.411	1.28459
0.0427	-2.50091	42.7694	3.17141	337.269	-10.1567	6.06047	27.2082	19.7451	-493.354	1.60573
0.0433	-3.69453	34.2232	7.76552	320.482	-14.1117	-2.49402	14.9978	19.7451	-423.775	1.60573
0.0440	-8.58268	26.2902	16.0053	327.212	-12.5905	-10.425	4.31591	17.9184	-385.97	1.28459
0.0447	-12.8456	11.957	10.8184	134.952	-11.6778	-14.9891	-1.4746	14.5696	-398.464	1.28459
0.0453	-10.1173	19.2769	5.30545	-237.683	-4.04863	-14.9891	4.62162	16.3962	-376.815	1.28459
0.0460	-17.7338	30.5441	10.4923	-395.126	2.36365	-19.2788	9.20728	17.9184	-78.9496	1.28459
0.0467	-35.7517	6.13182	17.8133	-255.055	-1.919	-27.2098	-2.08602	12.743	407.188	1.28459
0.0473	-39.1052	-21.9213	22.4074	-121.383	-5.56979	-27.509	-10.6279	10.3074	735.588	1.28459
0.0480	-28.4195	-34.7598	25.7566	-114.691	-5.26556	-23.8428	-9.40509	12.743	687.658	0.963441
0.0487	-14.3803	-41.773	25.7566	-131.477	-4.04863	-23.5436	-9.11736	13.6563	260.706	1.28459
0.0493	-4.60395	-55.7996	21.1922	-63.7088	-0.0702074	-23.8428	-6.97739	16.3962	-299.265	0.963441
0.0500	-1.87569	-87.8383	-5.06833	99.8422	-2.52747	-23.2443	-4.53171	20.6584	-618.779	-0.642294
0.0507	4.20608	-53.6534	-51.454	269.83	-8.61211	-21.7229	-6.06026	21.8761	-505.256	0
0.0513	21.0304	44.9156	-49.0235	443.475	-4.35286	-10.1257	-0.863182	23.3983	-89.9357	1.92688
0.0520	34.1602	65.9554	0.118558	590.898	2.36365	7.88111	8.90157	24.6161	312.621	1.60573
0.0527	27.7374	19.5835	19.0581	514.9	8.16746	16.4356	9.20728	24.6161	406.919	1.28459
0.0533	16.7107	-7.58813	9.89955	146.252	15.4924	17.9569	4.31591	25.8339	232.325	1.28459
0.0540	-17.1085	-2.4144	8.6547	-269.098	17.9263	16.1363	-0.251762	26.7472	90.7436	0.963441
0.0547	-106.857	13.4517	12.33	-504.989	16.1009	10.026	-4.226	27.6605	21.7569	1.28459
0.0553	-157.842	12.5702	13.5452	-533.369	13.9713	6.06047	-6.36597	28.3129	-70.1176	1.28459
0.0560	-89.4645	26.9034	12.9524	-400.941	15.1882	4.23984	-6.67168	30.4439	-23.6956	1.28459
0.0567	3.29666	36.3694	3.79384	-294.443	21.9047	3.01777	-6.97739	34.7061	214.338	1.28459
