MR32 ASCII
Name	TYR30_fast
Frequency	1500
Date	26-08-2015 09:39:37
"Time,s"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	-5.89467	-0.431684	-24.5719	-0.98445	-66.3978	5.6711	-16.0788	1.46647	-9754.13
0.0007	-8.03148	0.166032	-7.19536	-1.32687	-59.3827	12.997	-15.7802	-0.366618	-10191.2
0.0013	-11.3841	0.166032	1.02791	-0.98445	-60.9006	23.0563	-16.699	0.244412	-9537.48
0.0020	-12.8946	-0.730542	-0.489481	-0.0856043	-60.6134	43.2119	-14.2642	4.80677	-9892.72
0.0027	-14.1104	-3.48668	-12.0902	3.895	-30.0913	53.5872	-12.128	11.854	-9825.81
0.0033	-11.6788	-3.18782	-8.12538	6.93395	22.0916	40.7575	-11.5078	18.8605	-9793.64
0.0040	-10.1683	-1.95918	9.59382	5.09346	46.2139	16.9575	-12.128	16.4164	-9816.26
0.0047	-14.4419	-4.0844	30.0541	2.35412	41.9268	-2.26844	-18.8352	4.52163	-9815.62
0.0053	-14.1104	-5.01418	70.632	0.513626	29.7221	-15.3956	-24.0263	-4.31795	-9805.42
0.0060	-4.05258	-4.0844	122.174	-4.96505	10.8099	-22.108	-23.4062	-6.76207	-9794.91
0.0067	5.41573	-4.0844	132.551	-14.1247	-5.0665	-23.6327	-27.0813	-3.42177	-9914.38
0.0073	9.06305	-3.18782	62.7025	-3.12456	-11.774	-22.108	-23.1076	2.68853	-9636.25
0.0080	11.1999	-5.31304	9.30013	28.2922	-12.0817	-20.2672	-5.09928	2.0775	-9841.11
0.0087	13.6314	-7.13939	36.76	39.2924	-10.8714	-16.9203	2.52667	-0.366618	-10439.4
0.0093	10.9051	-5.61189	70.9257	31.9732	-20.3275	-13.5549	-6.01807	2.36265	-5983.23
0.0100	-0.0736833	-4.38325	123.741	25.5529	-33.1476	-12.0302	-13.644	8.47296	-54.1613
0.0107	-6.48413	-0.730542	182.919	5.69269	-37.4142	-7.7536	-2.36588	20.6936	110.553
0.0113	-8.62095	0.166032	167.353	19.4322	-47.4856	-3.17953	10.4512	30.4701	-276.86
0.0120	-11.3841	-3.18782	125.845	105.208	-56.6341	-3.79313	-2.04431	31.3662	79.0118
0.0127	-8.32622	-1.36147	86.1975	155.543	-48.101	-2.26844	-11.2092	33.5252	11.1509
0.0133	-6.1894	1.39467	-16.985	119.247	-35.2809	6.58219	-5.39789	39.5948	-20.3901
