MR32 ASCII
Name	KneeFJC1
Frequency	1500
Date	03-09-2015 08:59:34
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	6.10409	-19.5709	0.483057	-21.014	0.526965	-2.6901	1.12111	23.25	54.0613	-7985.88
0.0007	6.10409	44.8212	5.37008	-17.0422	-2.51772	-8.16812	-1.92191	7.38546	-9.71631	-10544.1
0.0013	6.45289	104.03	12.3838	-11.2463	-3.10324	-10.0023	-2.85084	-6.04264	-42.9791	-9599.65
0.0020	4.88327	94.2657	6.89454	-4.83527	0.234207	-5.74703	0.224223	-13.6773	-21.0111	-9780.82
0.0027	-1.22082	60.3831	-14.1655	-2.39605	2.69338	-0.855941	2.33833	-19.7753	-11.8509	-9889.27
0.0033	-3.66245	58.2492	-13.2496	-6.97229	2.34207	-0.562475	1.72972	-34.124	-13.9938	-9790.8
0.0040	-1.83123	60.0813	4.45416	-7.28529	-0.995378	-3.30149	-0.992988	-64.0257	6.15039	-9820.08
0.0047	-1.83123	58.2492	9.94344	-2.39605	-2.22496	-2.37218	-0.704701	-102.483	58.3387	-9821.37
0.0053	-2.09283	58.551	10.5582	-8.5049	0.819723	0.978218	1.72972	-134.828	80.3067	-9820.72
0.0060	-3.66245	30.7789	11.7753	-10.6419	1.75655	1.27168	1.72972	-141.846	39.1106	-9791.76
0.0067	-2.44164	-18.6548	8.72639	-6.36788	1.17103	-0.855941	0.51251	-113.772	11.0331	-9879.29
0.0073	-0.261604	-52.8392	-0.125469	-6.97229	-0.409861	-3.91287	-1.60159	-60.0596	18.0504	-9812.68
0.0080	-3.92406	-65.3512	-12.641	-5.75268	-0.995378	-3.91287	-2.85084	1.88962	26.8998	-9567.48
0.0087	-3.66245	-76.3329	-15.0814	-1.17644	0.526965	-1.14941	-0.384382	37.8963	31.7825	-10513.5
0.0093	-0.261604	-101.357	-7.14547	0.960579	1.17103	-0.244554	2.05004	66.5868	35.4465	-8425.76
0.0100	-1.83123	-111.121	-1.64992	-0.259032	0.526965	-1.14941	1.44143	101.68	32.3959	-1832.28
0.0107	-0.872013	-47.0412	3.53823	-2.39605	-1.9322	-3.91287	-2.2102	76.9624	19.2772	103.938
0.0113	1.83123	62.2151	13.6071	-2.69825	-3.10324	-4.81772	-3.45944	22.9454	-0.261719	-221.392
0.0120	0.610409	92.1211	18.7953	0.960579	-0.995378	-1.14941	0.224223	7.38546	-16.431	-39.2584
0.0127	-0.261604	47.5693	15.7401	3.702	1.46379	1.5896	2.05004	5.24665	-23.1457	68.8632
0.0133	1.83123	28.0415	12.6912	-0.874234	2.04931	0.978218	0.832828	7.69001	-20.0951	-29.9265
0.0140	2.44164	21.3275	5.67121	-8.1919	0.526965	-2.07871	-1.60159	8.90823	-13.0778	-0.965372
0.0147	1.56962	1.78897	-2.56585	-6.97229	-0.0585516	-2.6901	-1.92191	-2.38107	-6.96826	-0.321791
0.0153	0	-7.67316	-5.31362	-4.83527	1.75655	0.366832	0.51251	-16.4183	1.8811	-0.643581
0.0160	-4.27286	23.4613	-5.62102	-10.0267	2.04931	1.88307	2.05004	-12.7567	11.6465	-0.643581
0.0167	-5.14488	66.181	-2.56585	-10.0267	0.234207	-0.244554	0.51251	18.6747	14.6971	-0.643581
0.0173	-3.31365	57.6349	-0.432869	-3.31346	-1.9322	-3.30149	-2.85084	46.4446	13.4785	-0.643581
0.0180	-3.66245	26.813	-1.64992	-1.17644	-1.9322	-2.37218	-2.85084	42.4785	-2.39636	-0.643581
0.0187	-3.31365	17.3508	-1.34879	-1.79164	-0.70262	0.660297	0.51251	30.5732	-34.1297	-0.321791
0.0193	-3.31365	12.7814	-1.34879	-0.259032	-0.0585516	1.88307	1.72972	38.2078	-45.7272	-0.321791
0.0200	-2.09283	5.75487	-3.18065	0.0431721	-0.70262	0.366832	0.832828	25.6934	-22.8431	-0.643581
0.0207	1.56962	1.78897	-4.7051	1.56499	-2.51772	-2.98356	-2.2102	-23.4438	-6.96826	-0.643581
0.0213	2.79044	-0.0431077	-4.3977	10.1131	-3.45455	-3.30149	-3.13912	-41.4471	-12.767	-0.321791
0.0220	2.44164	-4.31077	-1.34879	27.8136	-0.409861	0.0489109	0.51251	-24.0529	-2.69897	0
0.0227	1.56962	-10.4105	2.31491	58.6385	2.04931	2.20099	2.33833	-18.2525	19.5798	-0.321791
0.0233	-0.610409	-8.27667	4.14676	79.6956	0.819723	1.5896	2.05004	-22.2187	21.4119	-1.93074
0.0240	-1.22082	-0.959146	5.06268	38.4987	-1.28814	-0.562475	0.224223	-18.2525	6.453	-2.25253
0.0247	0.610409	-1.56265	5.37008	-24.3706	-2.22496	-2.07871	-1.92191	-6.04264	-3.9176	-0.321791
0.0253	2.18003	-19.2691	6.27974	-33.5231	-0.70262	-1.14941	-0.704701	0.359928	-0.261719	0
0.0260	1.83123	-32.6972	8.41899	-15.2182	0.526965	0.978218	1.72972	-1.16285	5.53699	-0.321791
0.0267	1.56962	-15.605	8.72639	-6.97229	1.17103	1.27168	2.05004	0.359928	4.93176	0
0.0273	0	8.81552	4.14676	-4.53307	-0.70262	-2.07871	-1.31331	-3.91076	1.8811	0.321791
0.0280	-0.261604	19.1829	2.00751	6.15202	-1.58089	-2.98356	-3.45944	-18.5571	-2.69897	0
0.0287	0.959214	21.3275	4.45416	25.0722	1.17103	0.0489109	-0.384382	-25.2711	-10.9349	-0.321791
0.0293	0	18.2669	4.75528	33.3073	2.34207	1.88307	2.33833	-19.7753	-17.9604	-0.321791
0.0300	-0.610409	16.133	6.58714	28.4288	1.17103	0.978218	1.72972	-5.12898	-17.0444	0
0.0307	-0.610409	13.0832	10.5582	27.2092	-1.28814	-2.6901	-2.53052	9.51734	-13.683	0
0.0313	-0.610409	10.3351	13.2997	30.5658	-2.22496	-3.30149	-3.74773	2.80329	-9.71631	-0.321791
0.0320	0.348805	15.8313	12.3838	28.1158	-0.995378	-0.244554	-0.0960956	-6.04264	-3.9176	0
0.0327	-0.610409	19.1829	5.67121	29.9506	-0.0585516	1.27168	2.05004	4.63754	0.965088	0
0.0333	-3.92406	9.41903	-2.87325	31.7854	-0.0585516	-0.244554	1.12111	10.431	5.53699	0
0.0340	-5.75528	-1.2609	-12.9422	-1.79164	-1.58089	-2.98356	-1.60159	7.07398	2.48633	0
0.0347	-2.70324	-10.4105	-24.8429	-44.5104	-1.58089	-2.37218	-2.2102	7.69001	-4.22839	0
0.0353	-0.872013	-22.0065	-26.9822	-42.3734	0.526965	0.366832	0.51251	5.5512	-2.08557	0
0.0360	-1.48242	-20.4869	-13.8581	-18.877	1.75655	2.20099	2.33833	-3.30165	4.01575	0
0.0367	-1.83123	-9.49446	-2.87325	-3.61566	0.819723	1.5896	1.44143	-13.0682	5.53699	0
0.0373	-3.31365	-9.80699	-7.14547	-8.5049	-1.58089	-2.37218	-2.2102	-16.4183	1.57031	0
0.0380	-5.14488	-12.2426	-17.8292	-29.8643	-1.9322	-2.6901	-2.85084	-12.7567	0.654297	0
0.0387	-3.92406	-1.87518	-24.2344	-30.7817	-0.0585516	0.0489109	0.224223	-16.1137	2.79712	-0.321791
0.0393	-2.44164	6.36916	-22.4025	-14.3007	0.526965	0.978218	1.12111	-22.2187	-5.14441	-0.321791
0.0400	-1.48242	-5.2268	-10.8092	-7.8897	0.526965	0.0489109	0.224223	-6.04264	-14.599	0
0.0407	-3.05204	-23.8385	1.70638	-13.6855	-1.58089	-2.98356	-1.92191	18.3702	-10.3297	0
0.0413	-3.66245	-25.3689	5.67121	-20.7118	-2.22496	-4.20634	-3.13912	34.8508	0.965088	-0.321791
0.0420	-0.261604	-11.0248	7.19566	-20.0966	-0.0585516	-0.855941	-0.992988	46.7492	8.59582	-0.321791
0.0427	3.05204	-1.2609	3.83936	-15.2182	0.819723	1.5896	0.832828	35.1553	11.9491	0
0.0433	3.66245	-4.00901	-8.0614	-11.5485	1.17103	0.366832	1.12111	9.51734	13.1677	0
0.0440	2.79044	-9.80699	-7.754	-9.72451	-0.0585516	-1.76079	-0.992988	0.359928	6.76379	0
0.0447	2.79044	-10.4105	8.72639	-4.83527	-1.28814	-1.76079	-2.2102	-2.07651	-8.19507	0
0.0453	2.79044	-6.75713	18.1868	1.87799	0.234207	0.978218	0.832828	-6.65868	-14.599	0
0.0460	3.05204	-2.17694	15.439	3.702	1.46379	2.20099	2.65864	-3.30165	-10.9349	0
