MR32 ASCII
Name	CRYE30_slow
Frequency	1500
Date	05-09-2015 14:40:31
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	11.6908	-92.2661	-2.15446	-10.4156	-3.03026	-2.5251	-2.59996	0.0333261	-92.683	-7898.68
0.0007	18.4248	-100.5	-1.54306	-14.0866	-5.47573	-1.93328	-1.68578	0.649858	-68.8802	-10541.5
0.0013	23.0076	-90.1196	-1.54306	-10.1115	-6.40607	-0.986367	-1.68578	0.649858	-44.4623	-9600.53
0.0020	26.9669	-68.7597	0.902545	6.36449	-3.34923	3.59038	2.28125	3.39926	-69.1763	-9768.47
0.0027	28.4945	21.8877	2.12535	13.0765	-4.57197	5.72093	4.11799	4.61566	-69.1763	-9884.6
0.0033	29.3986	67.3522	0.291144	-18.0508	-10.6591	2.9591	0.452895	1.26639	-85.9636	-9784.55
0.0040	43.147	-22.9786	0.902545	-38.491	-11.2704	0.828548	-1.07353	-4.53235	-169.877	-9814.15
0.0047	59.9194	-61.1237	0.902545	-19.2672	-10.3667	-0.0789094	-0.461282	-9.11468	-173.248	-9814.79
0.0053	62.9746	-11.6828	-5.21147	1.17298	-12.2008	-2.20946	-1.98771	-7.89828	-71.6135	-9814.15
0.0060	65.7181	9.99374	-9.78243	12.4683	-11.2704	-3.15637	-2.59996	-1.79961	-0.820002	-9784.87
0.0067	75.7878	32.55	-10.0736	15.2161	-11.5894	-5.56311	-3.81606	0.649858	27.2651	-9871.41
0.0073	75.7878	71.0118	-10.0736	10.0246	-12.8121	-8.95621	-6.86891	-0.883141	50.1568	-9812.54
0.0080	64.814	48.7371	-8.85077	11.2519	-9.43633	-7.73312	-5.34249	0.949793	60.8396	-9556.78
0.0087	58.3918	-16.5741	-7.33682	17.0408	-7.01744	-5.56311	-2.28964	3.99913	52.594	-10496.5
0.0093	56.8642	-27.8699	-7.01656	21.9282	-7.9212	-6.19439	-2.90189	5.53213	31.8434	-8492.88
0.0100	43.147	6.93228	-6.72542	26.1965	-7.01744	-5.87875	-2.90189	7.36506	4.05446	-1911.61
0.0107	17.2089	31.3536	-4.27981	25.5883	-3.34923	-4.34002	-2.28964	9.198	-15.4662	110.669
0.0113	1.62113	34.0984	-0.93166	25.2842	-2.41889	-5.56311	-2.59996	10.1145	4.66946	-213.295
0.0120	-4.17753	24.0342	0.902545	42.3792	-1.80752	-7.73312	-3.81606	9.79787	49.8379	-44.718
0.0127	-41.0894	12.7385	-0.320258	78.079	0.930342	-8.95621	-3.51413	7.665	111.794	71.0984
0.0133	-105.498	4.46903	-2.15446	112.258	1.22274	-11.363	-4.12638	5.83206	198.167	-29.2758
0.0140	-140.29	1.12606	-1.8342	134.23	2.15308	-12.9017	-4.12638	5.23219	246.684	-0.643424
0.0147	-144.249	1.44276	0	146.438	4.27957	-11.363	-1.98771	5.53213	250.351	0.321712
0.0153	-146.993	0.809352	1.51395	145.829	1.8341	-8.32494	-0.159352	4.61566	268.346	-0.321712
0.0160	-133.868	-0.387081	2.12535	138.205	-3.9606	-6.19439	0.150965	1.86626	210.353	-0.321712
0.0167	-112.824	-0.703784	1.8342	131.797	-8.53256	-6.51002	-0.7716	-1.18308	-27.0601	-0.321712
0.0173	-96.6442	1.44276	3.02789	121.11	-10.3667	-8.32494	-3.2122	-3.31594	-277.297	0
0.0180	-59.1089	7.24898	6.40516	111.346	-10.0477	-8.95621	-4.12638	-3.01601	-292.559	0
0.0187	-28.8997	8.1639	10.0736	105.242	-9.43633	-8.64058	-3.81606	-1.48301	-130.221	0
0.0193	-7.23273	3.2726	11.2673	104.634	-9.14393	-8.95621	-5.04056	-2.71608	4.37335	0
0.0200	58.3918	1.72427	9.46217	114.702	-8.53256	-11.0868	-8.39534	-4.23241	62.0468	0
0.0207	109.956	-2.53362	6.6963	98.5301	-7.30983	-12.9017	-11.4482	-4.84894	39.1551	0
0.0213	84.9534	-13.2311	3.95955	46.6476	-3.03026	-11.363	-11.1463	-6.06535	-2.64223	0
0.0220	30.6144	-16.8908	2.12535	6.9727	1.22274	-9.54803	-9.61983	-6.36528	51.979	0
0.0227	-2.64992	-17.8057	0.611402	-8.89508	0.930342	-10.1399	-9.92176	-6.98181	156.347	0
0.0233	-16.0554	-22.9786	-0.611402	-66.5773	1.8341	-8.64058	-10.2237	-6.06535	232.949	0
0.0240	-17.8948	-23.2953	-0.93166	-177.044	4.59855	-3.15637	-7.17923	-4.23241	277.206	0
0.0247	-11.192	-18.7207	-1.54306	-228.014	1.8341	0.236728	-4.42831	-3.93248	239.35	0
0.0253	-1.43408	-25.1251	-0.93166	-184.983	0.0265812	0.828548	-3.51413	-5.14888	170.993	0.321712
0.0260	10.475	-53.8043	1.51395	-139.812	1.8341	1.73601	-1.68578	-6.06535	91.043	0.321712
0.0267	18.113	-85.545	0.902545	-123.336	-1.51513	1.73601	-1.37546	-7.89828	-97.5575	0
0.0273	20.8564	-84.6301	-0.320258	-106.241	-7.60222	1.14419	-3.2122	-9.73121	-272.127	0
0.0280	22.6958	-54.4025	2.12535	-91.2967	-7.60222	3.27474	-1.37546	-9.73121	-285.543	0
0.0287	21.48	-50.1446	4.2507	-69.3143	-7.9212	4.81347	3.20382	-9.11468	-208.03	0.321712
0.0293	18.4248	-99.867	4.2507	-40.3265	-10.0477	2.9591	4.11799	-9.73121	-165.914	0
0.0300	16.8972	-128.863	5.4735	-44.9098	-7.01744	0.828548	1.97932	-8.51481	-128.991	0
0.0307	15.9619	-116.652	8.23936	-54.6738	-2.41889	-1.61764	-1.07353	-6.98181	34.5768	0
0.0313	15.0578	-88.6065	9.46217	-7.98276	0.637949	-4.65565	-4.73863	-6.36528	283.903	0
0.0320	15.3696	-48.3148	9.75331	59.1593	5.82128	-5.87875	-6.25667	-6.36528	470.066	0
0.0327	15.3696	-43.4235	9.46217	92.7304	8.85154	-4.34002	-6.25667	-5.76541	511.271	0
0.0333	13.2184	25.2307	7.62796	78.3831	5.82128	-1.93328	-7.48116	-3.61588	382.189	0.321712
0.0340	9.88265	147.021	5.18236	23.7637	2.15308	-0.986367	-7.17923	-3.93248	93.1841	-1.28685
0.0347	6.51569	78.9646	1.2228	-22.3192	0.318974	0.236728	-5.04056	-5.76541	-223.291	-2.25198
0.0353	4.67633	-74.8475	-4.60007	-14.9989	-3.03026	2.64346	-3.81606	-3.61588	-363.671	-0.321712
0.0360	6.20394	-84.6301	-6.11402	30.7798	-3.03026	1.73601	-3.2122	0.349924	-222.676	0
0.0367	8.35505	-62.9535	-1.8342	91.199	1.22274	-2.84074	-2.59996	3.69919	55.6463	0
0.0373	8.04329	-101.415	0.291144	145.221	2.76444	-6.78621	-3.81606	4.9156	221.651	0
0.0380	7.41978	-94.096	1.8342	171.157	5.20991	-8.95621	-3.2122	3.99913	284.518	0.321712
0.0387	5.29985	-79.1406	2.73675	147.665	9.17051	-9.54803	-1.37546	1.56633	332.739	0
0.0393	-0.187053	-102.014	1.51395	93.6427	9.78188	-9.86367	-2.59996	-2.39948	333.65	0
0.0400	-4.17753	-61.1237	2.41649	81.7391	9.17051	-9.86367	-4.42831	-5.44881	244.839	0
0.0407	-1.12232	22.1692	6.0849	78.3831	11.9084	-9.2324	-3.81606	-7.28175	68.7663	0
0.0413	2.86815	81.9909	7.01656	24.0678	14.0615	-7.10184	-1.37546	-6.98181	-83.2075	0
0.0420	3.77224	92.6884	3.6393	-14.9989	10.3932	-0.394547	2.28125	-4.84894	-183.316	0
0.0427	3.14873	71.9268	-1.8342	11.8601	3.66821	6.31275	4.72185	-3.01601	-308.435	0
0.0433	-3.24226	81.3927	-5.82287	68.3151	2.76444	5.99711	4.41992	-2.39948	-360.619	0
0.0440	-12.7196	87.7971	-6.11402	80.8268	7.04402	2.9591	2.59157	-1.18308	-306.613	0
0.0447	-17.8948	52.3968	-3.66841	19.1803	7.33641	2.36728	0.150965	-0.883141	-281.58	0
0.0453	-20.95	41.7344	0	-47.9617	6.11368	5.08965	0.150965	0.349924	-271.512	0
0.0460	-18.83	69.4987	1.2228	-34.2227	6.72504	9.07458	2.28125	2.16619	-184.227	0
0.0467	-8.72916	87.7971	-0.611402	41.7602	5.20991	9.6664	1.36707	2.78273	-73.1396	0
0.0473	-5.39337	87.1989	-2.15446	53.9678	3.37581	9.6664	-0.7716	3.39926	-16.3773	0.321712
0.0480	-20.3265	66.1206	-2.15446	-55.5861	6.11368	11.5208	0.150965	3.69919	-9.6578	0.321712
0.0487	-45.984	34.3799	-2.44561	-168.192	9.78188	10.6133	-0.159352	2.78273	-30.7273	0
0.0493	-51.1591	11.1902	-2.44561	-159.655	11.297	9.6664	-1.07353	2.78273	-36.5129	0
0.0500	-22.7893	-2.21692	-1.2228	-84.5738	12.2274	12.1126	2.28125	3.99913	-17.2884	0
0.0507	0.717038	-6.51001	-1.54306	-51.0136	11.616	12.4282	2.8935	2.78273	-7.53947	0
0.0513	1.34055	-15.6592	-3.05701	-61.994	10.0743	10.6133	0.150965	1.26639	24.509	0
0.0520	-2.9305	-1.302	-2.76586	-83.9656	9.78188	9.98204	0.452895	1.86626	87.6947	0
0.0527	-20.6382	63.6925	-3.05701	-95.261	5.82128	5.99711	1.36707	0.349924	124.003	0
0.0533	-25.8445	85.9673	-3.66841	-72.3662	-0.584786	-0.710184	-1.37546	-1.79961	167.326	0
0.0540	33.6696	46.5905	-0.93166	-30.8667	-1.80752	-3.15637	-1.37546	0.0333261	177.713	0
0.0547	107.213	26.779	0.902545	-15.9112	-4.25299	-3.15637	1.06514	1.26639	67.2402	0
0.0553	115.163	19.4244	1.2228	-13.4675	-8.53256	-4.97129	1.06514	0.949793	-8.45058	0
0.0560	83.4258	1.44276	2.73675	-8.89508	-7.30983	-7.10184	-0.159352	2.48279	50.4529	0
0.0567	51.0656	-13.8294	2.41649	-39.7183	-8.53256	-9.54803	-3.51413	2.16619	112.09	0
0.0573	6.20394	-21.1487	0.291144	-83.6615	-13.1045	-8.32494	-5.65281	0.349924	38.859	0
