MR32 ASCII
Name	TBAS30_slow
Frequency	1500
Date	31-08-2015 11:10:53
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	46.8552	-749.89	211.033	0.245757	6.10965	2.91844	0.393239	-404.86	-4.16399	-8662.56
0.0007	47.7416	-782.267	-46.2188	1.16176	3.97692	3.53647	1.91704	-232.412	-2.62989	-10464.4
0.0013	41.0299	-848.79	-205.541	0.558538	-0.301092	1.37338	1.3108	80.7018	-2.33768	-9546.71
0.0020	55.9729	-920.178	-138.982	2.07776	-4.8802	0.171673	1.91704	137.154	0.0730525	-9824.23
0.0027	22.4145	-16.8077	-47.7547	1.78732	-10.3751	-1.95707	1.91704	25.45	1.60715	-9865.17
0.0033	-28.2397	928.848	-21.5036	-0.960685	-14.6406	-5.01286	0.0819248	-61.8244	0.730525	-9787.17
0.0040	-25.2005	721.051	-19.0833	-1.27347	-13.11	-4.12015	0.688169	-228.75	0.365262	-9816.18
0.0047	-36.7876	537.051	-51.4318	-1.58625	-10.6762	-1.95707	1.91704	-388.053	-0.511367	-9815.53
0.0053	-45.9054	824.551	-74.8902	-3.41825	-9.4593	-1.6824	-0.524319	-301.379	-1.46105	-9813.6
0.0060	0.443225	868.782	-9.91399	-2.79269	-5.79602	0.171673	-2.04812	-9.33368	0.365262	-9786.52
0.0067	30.3925	646.566	92.6237	-0.960685	-2.43383	1.99141	0.393239	122.178	1.60715	-9892.57
0.0073	14.1832	458.585	150.013	-1.27347	-1.518	1.99141	1.60573	66.9564	1.02273	-9755.9
0.0080	-19.3752	350.574	139.913	-4.33425	-2.43383	-0.137338	-0.524319	99.9094	-1.75326	-9622.46
0.0087	-8.10468	279.804	59.996	-5.54069	-2.13273	-0.755362	-2.67075	139.285	-3.28736	-10561.7
0.0093	50.7809	233.716	-53.247	-2.79269	0.915821	1.99141	-1.13056	22.3888	-0.803577	-7705.9
0.0100	63.3178	109.781	-76.4262	-0.960685	3.66328	4.12015	0.688169	-108.523	1.02273	-1149.42
0.0107	27.29	-141.096	-11.1242	-1.58625	4.89274	4.12015	0.0819248	-113.715	0.365262	108.947
0.0113	-8.10468	-350.751	-11.7292	-1.58625	5.80856	4.12015	0.0819248	-61.5243	0.365262	-268.499
0.0120	-27.6066	-417.893	-78.8931	-2.18947	5.49493	2.60943	-1.13056	-11.1644	-1.75326	9.34751
0.0127	-28.2397	-437.355	-132.605	-3.41825	6.72438	3.22745	-2.67075	42.8569	-3.28736	50.6055
0.0133	-21.528	-477.958	-121.9	-1.58625	10.3877	6.28324	-0.524319	36.4344	-1.09579	-28.3649
0.0140	-2.27944	-507.859	-75.8211	0.245757	12.2193	6.86692	0.999483	-26.1103	0.730525	0.644656
0.0147	9.94089	-475.57	-124.972	-0.960685	11.6046	4.73818	-0.835633	-65.1857	-1.09579	-0.644656
0.0153	-5.06542	-646.39	-233.002	-2.18947	11.3035	4.73818	-1.13056	-38.9554	-2.33768	-0.644656
0.0160	15.3862	-1055.97	-180.174	-3.10547	11.6046	2.91844	-2.04812	34.0034	-4.16399	-1.93397
0.0167	67.8767	-1303.48	-56.924	-2.50225	15.569	0.789696	-4.19455	46.5184	-6.64778	-2.90095
0.0173	57.4926	-1291.54	-0.465446	0.558538	19.847	5.66521	-1.44188	56.8724	-4.4562	-0.966984
0.0180	-12.9801	-735.205	191.205	0.245757	17.7017	7.79396	0.688169	151.5	-2.33768	0
0.0187	-60.9117	-20.1693	470.426	-2.50225	13.7373	2.60943	-2.04812	167.346	-5.40588	-0.322328
0.0193	-68.5098	171.439	571.148	-0.670245	14.352	1.6824	-1.75319	275.989	-5.40588	-0.322328
0.0200	-70.9792	217.262	407.591	2.70332	16.1837	2.91844	0.393239	579.949	-3.28736	-0.322328
0.0207	-40.7133	146.139	164.023	1.78732	13.7373	-1.37338	-1.13056	534.781	-3.87178	-0.322328
0.0213	35.8379	11.2346	128.649	1.78732	6.41075	-7.45061	-2.04812	229.32	-3.28736	-0.322328
0.0220	81.0468	58.2078	185.992	4.82576	0.313637	-8.99567	-0.524319	100.51	-1.75326	-0.322328
0.0227	88.3283	19.4616	-34.0241	5.74177	-3.96438	-10.8154	-0.524319	62.0645	-1.75326	-0.322328
0.0233	90.1645	292.897	-433.19	4.82576	-9.14566	-13.5622	-1.75319	-43.8173	-1.75326	-0.322328
0.0240	74.0185	800.136	-483.831	6.05455	-11.2909	-12.6695	-0.524319	-155.221	0.730525	0
0.0247	39.1937	519.624	-109.1	6.65777	-11.592	-11.4334	0.688169	10.204	1.31494	0
0.0253	-34.6348	82.9771	157.646	5.45133	-10.0615	-10.8154	-1.13056	234.182	-0.511367	0
0.0260	-90.4811	581.636	48.0805	4.82576	-4.26547	-7.45061	-1.75319	201.53	-1.46105	-0.322328
0.0267	-59.6454	1046.41	-119.48	4.53533	-0.301092	-5.01286	-2.67075	269.296	-2.99515	-0.322328
0.0273	-12.6636	748.828	-88.9467	2.99376	-0.301092	-6.86692	-3.88324	412.723	-5.11367	-0.322328
0.0280	-4.43225	545.012	-1.07053	3.30654	0.0125455	-7.75962	-2.96568	-1.41056	-4.4562	0
0.0287	-5.31869	471.766	22.4345	4.82576	2.44637	-5.93989	-0.22939	-596.815	-1.46105	-0.322328
0.0293	16.336	195.235	45.3344	3.90976	3.36219	-5.32187	0.688169	-629.768	-0.511367	0
0.0300	49.5778	54.227	63.6264	2.99376	4.27801	-5.32187	0.0819248	-427.429	-0.219157	-0.322328
0.0307	90.1645	123.846	10.8449	2.70332	7.02547	-4.12015	0.393239	-327.039	-0.803577	-0.322328
0.0313	127.079	191.873	-74.2851	0.245757	9.47185	-3.19312	-0.22939	-233.942	-3.28736	0
0.0320	123.47	169.935	-32.2088	-2.18947	11.3035	-1.6824	-1.75319	-115.245	-5.11367	0.322328
0.0327	63.0012	168.962	99.0469	-0.960685	14.352	1.37338	-0.835633	-21.2484	-5.11367	0
0.0333	-54.2	170.82	94.4389	1.47454	18.9311	5.04719	1.91704	-32.2327	-3.87178	0
0.0340	-151.519	34.4116	-12.055	0.245757	21.9797	6.28324	1.91704	-50.8401	-4.16399	0
0.0347	-128.915	-165.512	-33.6983	-0.670245	21.6786	5.97422	-0.524319	-34.0634	-6.64778	-0.322328
0.0353	-59.3288	-321.116	11.1707	0.558538	19.5333	5.66521	-0.835633	-109.123	-6.35557	-0.322328
0.0360	-46.5386	-254.858	-18.4317	0.245757	14.0384	2.60943	-0.524319	-106.692	-4.4562	0
0.0367	-46.5386	53.077	-88.0158	-0.357464	6.41075	-1.37338	-1.13056	-13.2952	-2.99515	0
0.0373	-9.94089	177.543	-95.044	2.99376	2.44637	-1.37338	0.999483	-115.846	0.730525	-0.322328
0.0380	20.5783	67.054	-82.2443	3.61932	0.313637	-2.26609	1.91704	-203.12	3.14126	0
0.0387	20.2617	12.7385	-102.072	0.245757	-1.8191	-5.63088	-1.13056	-45.3479	0.730525	0
0.0393	47.425	-85.8078	-128.323	-0.044683	0.614729	-3.50213	-0.524319	110.594	0.0730525	0
0.0400	88.0117	-208.504	-113.383	0.558538	5.19383	-0.755362	1.3108	34.3035	0.730525	0
0.0407	100.232	-239.908	-129.534	-0.960685	6.10965	-2.5751	-0.835633	-112.184	-2.33768	0
0.0413	95.9898	-350.751	-213.779	0.245757	7.6402	-2.26609	-0.524319	-68.8472	-2.33768	0
