MR32 ASCII
Name	CRYE30_fast
Frequency	1500
Date	04-09-2015 11:27:19
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	333.673	-0.748423	-2.22299	261.632	-313.638	117.063	-51.9586	45.3122	-11.5015	-5995.69
0.0007	275.669	-11.4233	15.8025	282.999	-299.311	182.079	-44.9302	35.5776	-7.23417	-10431.2
0.0013	296.115	-17.5289	24.0662	249.426	-271.231	271.177	-45.228	30.6523	3.45452	-9835.55
0.0020	369.036	-16.3078	15.5126	236.599	-238.575	330.991	-49.8143	35.2299	7.72186	-9638.18
0.0027	257.987	-15.9926	11.5499	283.279	-201.031	335.265	-39.1327	42.8785	6.17749	-9913.23
0.0033	51.9877	-12.6444	8.79529	181.658	-135.119	292.23	-0.992712	50.1795	10.4855	-9794.49
0.0040	-60.3204	2.63918	-4.92923	-35.934	-6.32715	230.292	62.4813	66.0561	19.3047	-9806.27
0.0047	-178.726	16.9774	-20.4901	-93.919	112.372	182.665	91.4884	81.3533	19.0202	-9815.82
0.0053	-284.327	20.3256	-28.4639	-2.04982	150.231	132.01	59.126	90.1608	10.4855	-9816.77
0.0060	-197.667	19.1045	-30.5902	135.599	140.766	30.9938	7.56447	98.7365	1.91015	-9794.81
0.0067	-118.608	16.6623	-28.7538	242.717	124.268	-106.317	-33.9508	96.8823	-2.96682	-9827.28
0.0073	-163.483	11.1476	-23.2447	241.164	110.856	-223.502	-52.5542	81.0056	0.406414	-9894.45
0.0080	-67.6369	5.67226	-22.6648	165.507	85.2074	-357.784	-47.3722	63.043	6.50262	-9537.9
0.0087	76.7012	3.8209	-24.1629	88.5771	36.0805	-510.384	-16.8563	50.5271	11.7047	-10201.3
0.0093	-47.8011	0.787814	-18.3638	17.7962	-37.1524	-503.96	33.4941	43.458	18.0854	-9759.15
0.0100	-243.436	-5.90861	-9.52018	-44.4749	-100.947	-310.793	90.5751	36.4467	28.4896	-3818.54
0.0107	-161.938	-12.0142	-0.676561	-97.8634	-116.19	-116.697	146.405	26.4224	44.6649	108.874
0.0113	-8.73914	-15.4018	-1.88471	-201.038	-109.496	20.9312	150.078	17.557	50.7611	21.0107
0.0120	-41.4195	-9.29621	-16.2375	-334.68	-100.947	140.876	92.6995	12.0523	40.0724	-176.681
