MR32 ASCII
Name	NA_fast
Frequency	1500
Date	04-09-2015 09:40:59
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	31.9261	61.6009	26.8866	-2.86901	12.8057	-5.14331	-1.83258	271.992	-1.1826	-7740.75
0.0007	38.6313	13.0842	-78.4032	-2.55716	10.6785	-3.6073	-1.52715	112.404	-1.4892	-10548.2
0.0013	10.2484	-60.7731	-220.95	1.40332	10.3777	0.0465458	1.22172	-7.52351	0.3504	-9616.22
0.0020	-31.2403	-69.6233	-396.097	1.40332	9.15304	0.349093	0.305429	42.5004	-0.876001	-9758.18
0.0027	-46.2128	-248.473	-273.715	-1.62162	6.70363	-2.39711	-3.05429	-116.789	-3.6354	-9889.2
0.0033	-40.9934	-413.251	154.742	-1.62162	6.70363	-2.09456	-3.05429	-480.857	-2.7156	-9785.22
0.0040	-6.81953	-452.313	400.418	-1.0291	6.10203	-1.16364	-2.74886	-449.119	-2.1024	-9812.91
0.0047	30.4022	-437.35	305.499	-0.405404	4.87732	-0.558549	-2.13801	-38.3649	-2.1024	-9815.16
0.0053	20.6491	-319.56	372.043	0.498959	3.05101	0.977461	-0.610859	-88.3888	-1.4892	-9815.81
0.0060	-12.6485	-178.563	749.223	-1.62162	0	-0.861097	-2.13801	-657.236	-3.3288	-9786.51
0.0067	-19.3538	-103.209	931.428	-2.86901	0.300804	-1.76874	-3.66515	-822.354	-4.2486	-9867.31
0.0073	-22.4016	19.1647	770.301	-2.86901	0.601608	-2.09456	-3.05429	-259.636	-3.6354	-9822.57
0.0080	-39.4695	166.593	549.639	-1.93347	0.601608	-2.09456	-2.44343	403.529	-4.2486	-9550.55
0.0087	-40.3838	321.311	313.757	1.12266	2.72872	0.977461	0.610859	478.316	-2.1024	-10478.3
0.0093	-31.2403	528.526	-173.034	-0.717254	0.902412	0.651641	0.305429	179.518	-2.409	-8633.09
0.0100	-36.7264	574.305	-689.353	-2.86901	-1.52551	0.349093	-1.83258	135.274	-4.81801	-2071.2
