MR32 ASCII
Name	CORE15_slow
Frequency	1500
Date	07-09-2015 10:15:25
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	11.2655	-11.2902	6.22543	0.0366194	31.4813	41.2585	58.1885	6.94822	1.75029	-9439.57
0.0007	2.10487	-32.9477	6.22543	-1.17182	34.2341	42.4822	85.0348	6.32413	1.4509	-10295.1
0.0013	0.889381	-49.1231	4.72971	-3.00279	29.3435	34.5486	86.2551	4.20222	-0.690905	-9527.88
0.0020	1.4823	-41.7953	6.22543	-1.79435	24.1601	24.4736	73.1316	5.70004	-0.368483	-9875.02
0.0027	-6.43319	-19.8392	8.69135	-0.549291	20.4995	15.9283	52.6865	9.07013	0.852116	-9838.41
0.0033	-9.19027	27.167	5.61906	-1.17182	15.316	7.38288	55.4268	8.77889	0.529694	-9790.89
0.0040	8.80487	-60.4132	2.58719	-1.46478	11.9483	-0.550657	74.9728	6.32413	-0.690905	-9816.26
0.0047	32.6106	-149.215	2.26379	0.0366194	14.701	-5.11907	106.101	8.44604	0.230302	-9815.61
0.0053	47.2558	-185.528	-1.37445	0.952104	14.701	-10.9316	121.044	10.2767	1.75029	-9808.87
0.0060	61.9009	-286.868	-5.98288	1.28168	9.8251	-17.3355	92.9774	9.98547	2.07271	-9790.24
0.0067	84.4912	-268.548	-8.08498	3.4056	4.62702	-14.8881	39.2633	13.3556	3.8921	-9910.03
0.0073	101.271	-195.298	-10.5509	4.32109	-2.07923	-6.95459	-19.3319	15.7687	5.73451	-9676.56
0.0080	103.109	-247.488	-12.087	2.19716	-6.66232	5.85328	-65.4031	13.3556	4.51391	-9753.96
0.0087	121.43	-315.853	-12.37	-0.256336	-6.66232	22.0263	-99.2929	10.6096	3.29331	-10522.4
