MR32 ASCII
Name	TBAS30_fast
Frequency	1500
Date	09-09-2015 11:46:50
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	-23.9204	7.24961	-1.84075	55.2836	3.41967	0.942076	-0.0971722	-5.05176	148.394	-9089.26
0.0007	-32.4634	6.33525	-3.3747	43.0581	4.34479	-1.51948	-1.61306	-4.71119	-77.1341	-10383.1
0.0013	-34.0012	6.00869	-3.3747	24.451	7.08713	-1.21558	-1.32154	-2.61102	-232.448	-9530.74
0.0020	-24.5184	7.54351	-1.22716	20.781	8.60698	2.76545	1.72967	-0.454091	-213.255	-9852.98
0.0027	-16.2744	8.16398	-1.84075	15.2877	6.47589	2.46155	1.1272	-1.07847	-135.397	-9851.05
0.0033	-13.8397	8.16398	-2.76112	-26.2042	3.41967	2.76545	0.52473	-0.737898	-118.618	-9788.53
0.0040	-12.3019	8.16398	-3.98829	-79.6177	1.58593	6.1083	0.213779	-1.64608	-116.808	-9816.25
0.0047	-11.1059	8.45788	-4.90866	-63.1378	0.0660805	7.32388	-1.01059	-3.80301	-101.558	-9815.6
0.0053	-8.03042	9.99271	-3.06791	11.0333	1.28857	5.80441	0.213779	-3.17864	-92.3839	-9811.41
0.0060	-6.19368	10.9071	-1.84075	48.8553	3.1223	3.37324	-0.0971722	-2.61102	-30.741	-9787.57
0.0067	-5.29666	11.201	-1.53396	48.2475	3.41967	3.37324	0.213779	-2.89483	58.6654	-9902.61
0.0073	-5.29666	10.2866	-2.14754	60.1691	1.58593	3.98103	1.43815	-2.89483	120.308	-9715.06
0.0080	-7.13341	8.45788	-3.68149	97.9911	-1.15641	3.06935	0.52473	-5.33557	156.039	-9684.45
0.0087	-6.5354	8.75178	-3.3747	141.937	-1.15641	3.37324	0.213779	-5.61937	134.351	-10559
0.0093	-6.5354	9.37224	-2.14754	158.113	0.0660805	2.46155	1.72967	-3.5192	75.1625	-7142.57
0.0100	-10.4652	9.07834	-1.84075	108.674	0.0660805	0.303896	1.72967	-4.08682	11.6687	-721.83
0.0107	-10.1662	8.45788	-3.06791	35.1337	-0.545164	-1.51948	0.52473	-5.61937	-35.6096	109.241
0.0113	-11.1059	7.54351	-4.90866	13.7683	-0.545164	-2.12727	-0.408123	-5.95994	-53.0322	-283.898
0.0120	-26.6542	7.54351	-4.29508	-0.561018	1.28857	0	0.52473	-4.42739	-86.2679	38.6695
0.0127	-46.4739	8.16398	-3.3747	-28.3314	2.51106	2.15766	2.04062	-2.61102	-101.84	36.4138
0.0133	-59.9292	9.07834	-2.76112	-35.3675	3.1223	3.06935	2.66252	-1.98665	-109.766	-26.4241
0.0140	-73.6407	9.07834	-3.3747	-65.5689	3.41967	0	2.04062	-3.17864	-159.821	1.28898
0.0147	-82.8244	9.07834	-3.98829	-74.1244	2.51106	-6.38181	-1.01059	-4.42739	-149.158	-0.644491
0.0153	-80.6887	9.99271	-2.76112	-16.1293	0.677325	-7.93168	-1.92401	-3.80301	-52.3884	-0.966737
0.0160	-92.8624	10.9071	-2.14754	6.4517	-0.842526	-2.43116	-0.408123	-3.5192	2.21303	-0.644491
0.0167	-75.7764	11.201	-2.76112	-26.2042	-2.67626	3.98103	1.72967	-2.89483	25.4297	-0.322246
0.0173	35.9233	10.9071	-3.68149	-47.2657	-4.82388	5.19661	1.43815	-3.5192	108.438	-0.322246
0.0180	137.243	9.66615	-4.90866	-61.6184	-7.25233	2.46155	-1.01059	-5.61937	231.08	-0.644491
0.0187	155.824	8.75178	-5.52224	-52.1513	-7.86358	0.942076	-2.83743	-5.61937	374.847	-0.644491
0.0193	133.869	9.07834	-3.98829	16.5266	-5.12124	0.942076	-2.52648	-5.95994	500.587	-0.322246
0.0200	85.3446	9.07834	-2.45433	76.649	-0.842526	0	-1.01059	-8.06011	582.952	-0.322246
0.0207	39.2551	6.92305	-3.3747	98.5988	0.974687	-2.12727	-1.32154	-12.0334	607.376	-0.322246
0.0213	13.9251	4.17996	-5.82903	154.467	1.89981	-3.64675	-3.75085	-15.7229	506.663	-0.322246
0.0220	2.64833	5.09432	-5.82903	225.88	2.80842	-3.34285	-4.66427	-14.4741	318.998	-0.322246
0.0227	2.64833	7.24961	-4.29508	263.094	4.95604	-2.12727	-3.14838	-10.217	206.375	-0.322246
0.0233	5.9801	8.16398	-3.68149	294.534	4.03091	0	-1.32154	-7.77631	253.694	-0.322246
0.0240	3.54535	8.45788	-3.68149	279.574	-10.0112	1.85376	0.52473	-7.4925	265.282	-0.322246
0.0247	-2.2639	8.16398	-5.21545	222.514	-27.4069	1.54987	-0.0971722	-9.02505	174.025	-0.322246
0.0253	-8.32943	8.16398	-5.82903	215.501	-32.2803	1.85376	-1.32154	-9.93324	115.118	0
0.0260	-16.5734	8.75178	-4.60187	184.972	-32.2803	7.01999	2.35157	-8.40068	-2.37398	0
0.0267	-17.2142	8.16398	-3.98829	28.4249	-30.4466	14.9821	6.91866	-8.06011	-200.742	-0.322246
0.0273	-4.99766	7.54351	-4.60187	-221.836	-25.2593	18.9327	7.22961	-8.68449	-349.055	-0.322246
0.0280	7.21884	7.24961	-5.82903	-387.85	-18.5521	15.8937	2.95404	-9.59267	-412.227	-0.322246
0.0287	17.8976	7.54351	-6.40853	-311.552	-11.8284	11.6088	-1.61306	-10.8414	-407.036	0
0.0293	30.1141	8.45788	-5.52224	-132.096	-4.50999	8.56986	-2.83743	-9.93324	-367.644	-0.322246
0.0300	39.5541	9.37224	-3.68149	-51.8474	3.41967	6.71609	-2.23496	-7.4925	-265.121	-0.322246
0.0307	44.7653	9.66615	-3.3747	-74.7322	8.30962	6.4122	-1.01059	-7.15193	-177.243	-0.322246
0.0313	42.6296	8.75178	-5.21545	-90.9082	11.3658	3.98103	-1.32154	-9.59267	-238.243	0
0.0320	37.7174	7.83742	-5.52224	-59.7717	14.7194	5.80441	1.72967	-10.217	-295.339	0
0.0327	28.5763	9.07834	-3.06791	-88.1499	16.2393	13.1283	6.62715	-8.06011	-262.988	0
0.0333	9.35459	10.5805	-0.920374	-178.497	17.7591	17.7171	7.83208	-6.24375	-317.59	-0.322246
0.0340	-6.19368	10.5805	-0.613582	-203.205	18.6843	17.4132	7.22961	-4.71119	-413.756	-0.322246
0.0347	-28.1919	8.75178	-2.76112	-163.537	16.8505	12.8244	4.78087	-5.95994	-311.514	0
0.0353	-43.4412	7.24961	-4.29508	-129.361	14.1082	6.4122	3.86745	-7.77631	-116.204	0
0.0360	-29.0889	6.92305	-2.76112	-131.792	8.92087	2.76545	7.83208	-6.86812	-51.1813	-0.322246
0.0367	-20.5459	6.62915	-2.76112	-148.272	1.89981	2.76545	10.5918	-5.33557	40.0759	-0.322246
0.0373	-19.6489	5.71478	-3.06791	-126.299	1.28857	3.67714	9.67835	-4.42739	194.465	-0.322246
0.0380	-1.02516	6.33525	-1.84075	-86.9343	4.95604	1.24597	9.05645	-2.61102	103.851	-0.322246
0.0387	15.1638	7.24961	-1.53396	-88.1499	5.2534	-3.95064	6.91866	-0.170284	-177.243	0
0.0393	18.4956	6.92305	-3.06791	-115.009	4.03091	-4.86233	3.86745	1.70284	-300.811	-0.644491
0.0400	18.7946	7.24961	-3.06791	-114.097	4.34479	-2.73506	2.04062	2.27045	-239.772	-1.28898
0.0407	12.3874	8.16398	-2.45433	-87.846	3.41967	-1.21558	2.04062	-0.170284	-193.097	0
0.0413	17.5986	9.37224	-1.53396	-62.2262	0.974687	2.15766	7.22961	-1.98665	-199.816	-0.322246
0.0420	-0.726155	11.201	0.886286	-47.5696	0.677325	5.50051	12.1077	-1.98665	-182.112	-1.61123
0.0427	-108.154	13.0297	1.80666	-45.7463	0.379963	5.80441	10.2808	-2.61102	-94.8383	-0.322246
0.0433	-185.34	14.238	1.49987	-49.089	-1.76765	3.98103	4.78087	-1.98665	0.402369	0.322246
0.0440	-113.921	13.9441	0	-38.4063	-5.4186	-2.12727	-2.52648	1.36227	47.0771	0
0.0447	11.1913	13.3236	-0.613582	-6.38157	-6.95497	-5.47012	-7.11301	8.68449	110.571	-0.322246
0.0453	74.9649	10.2866	-3.06791	22.3238	-5.73248	-2.73506	-7.71547	12.9984	112.985	-0.322246
0.0460	56.9818	5.09432	-7.02211	15.5916	-6.02985	-1.51948	-9.85326	8.40068	-6.92074	-0.322246
0.0467	11.4903	0.522494	-7.02211	-22.8381	-6.34373	-4.25454	-13.2154	2.61102	-72.2252	0
0.0473	-15.3774	-2.54716	-4.90866	-49.6968	-6.34373	-8.53947	-16.2666	-1.64608	17.7847	0
0.0480	-28.1919	-1.01233	-1.22716	-49.3929	-4.50999	-9.45115	-15.3532	-1.64608	180.422	0
0.0487	-31.5237	3.55949	2.11345	-51.5435	-3.60139	-9.45115	-12.9045	-3.80301	264.678	-0.322246
0.0493	-18.1112	5.38822	-0.306791	-50.0007	-8.47482	-10.0589	-12.9045	-11.7496	195.109	0
0.0500	-0.128145	5.71478	-3.98829	-29.2664	-13.3648	-4.55843	-13.2154	-9.59267	113.589	0
0.0507	2.05032	5.38822	-6.10174	-16.4331	-13.3648	3.37324	-12.613	-1.64608	48.928	0
0.0513	-7.43241	3.55949	-5.52224	-12.7865	-12.7535	7.32388	-10.7667	1.70284	-112.824	-0.322246
0.0520	-12.9426	1.14296	-3.98829	4.30113	-16.1071	10.3932	-7.42396	5.33557	-220.579	-0.322246
0.0527	-10.8069	-1.9267	-4.60187	22.3238	-19.4607	14.04	-5.28617	7.4925	-154.63	0
0.0533	-9.56816	-3.13497	-3.3747	25.9704	-16.1071	18.6288	-3.75085	6.58432	-89.6478	0
0.0540	-17.5132	-0.0979677	0.306791	25.9704	-11.8284	23.5215	-1.32154	4.42739	-142.439	0
0.0547	-23.9204	4.17996	3.03382	29.6404	-8.78871	31.1493	3.57594	2.61102	-188.228	0
0.0553	-19.6489	6.00869	3.64741	34.8298	-5.12124	42.7277	13.9539	1.98665	-105.501	0
0.0560	-11.4049	4.80042	1.19308	40.3231	-2.67626	49.4438	21.2613	-0.454091	-2.05208	0
0.0567	-7.43241	1.14296	1.19308	36.957	-5.73248	51.2976	22.1941	-1.64608	36.0925	0
0.0573	-11.1059	-5.58416	1.49987	30.856	-16.1071	49.1399	18.832	-2.27045	90.0904	0
0.0580	-24.5184	-11.9847	-0.306791	48.5514	-22.5169	45.7971	10.8833	-4.08682	204.564	-0.322246
0.0587	-41.0064	-15.9687	1.19308	76.649	-20.6832	45.4932	3.57594	2.89483	325.718	-0.322246
0.0593	-51.0872	-22.6632	3.64741	89.7628	-15.1985	41.2082	1.1272	18.1636	429.167	0
0.0600	-48.6097	-3.75543	7.6016	114.167	-7.56622	36.3155	0.213779	20.3206	461.799	0
0.0607	-19.3499	35.0071	11.5899	165.453	-3.60139	36.9537	-1.92401	8.68449	285.722	0
0.0613	30.4131	28.6066	7.9084	217.324	0.0660805	30.2376	-0.408123	19.0718	34.5635	0
0.0620	55.7431	-3.46153	-5.82903	255.169	3.73355	3.98103	5.09182	54.7747	-17.9054	-0.322246
0.0627	32.5488	-12.8991	-17.7257	267.372	-2.3789	-23.1872	8.45398	83.1554	14.7267	0
0.0633	-8.97015	-10.4499	-18.0325	230.438	-10.9198	-33.5501	7.83208	95.3591	11.0651	0.322246
0.0640	-21.1439	-11.6908	-15.2714	135.229	-25.2593	-40.5701	4.17841	98.4242	161.511	0
0.0647	4.78408	-11.3969	-13.7374	25.6666	-48.4535	-48.1978	4.48936	94.7347	422.447	0
0.0653	34.6846	-4.9637	-7.94248	-32.3053	-56.0858	-51.875	6.00524	70.6679	489.28	0
0.0660	77.1006	0.816398	-1.22716	-20.407	-42.9688	-53.0906	1.72967	17.5393	280.25	0
0.0667	115.245	2.35123	0	-26.2042	-25.8705	-46.0706	-4.0618	-27.3022	-71.34	0
0.0673	87.1814	5.09432	1.49987	-158.347	-21.2944	-31.4228	-3.75085	-38.5977	-360.643	0
0.0680	45.3633	11.201	7.6016	-326.185	-27.093	-25.3145	-1.32154	-30.3673	-432.667	0
0.0687	30.7121	23.7082	12.8171	-355.498	-22.5169	-28.6877	0.52473	-5.05176	-425.022	0
0.0693	25.5436	33.7989	11.2831	-222.747	-8.47482	-34.4618	6.91866	16.3473	-457.694	0
0.0700	29.5161	28.6066	5.18136	-43.8996	0.974687	-42.3934	13.643	1.36227	-389.614	0
0.0707	25.8426	19.1364	2.42024	84.2695	8.92087	-38.7467	17.0051	-16.3473	-224.24	0.322246
0.0713	0.811585	18.8425	6.71532	145.304	16.2393	-23.795	20.3479	2.27045	-117.089	-0.322246
0.0720	-30.3277	20.6712	12.5103	158.417	19.2955	-16.1672	20.3479	23.3289	-90.2513	-0.966737
0.0727	0.51258	15.7728	13.7033	177.959	25.7053	-17.9906	15.4698	13.566	-85.6643	-0.322246
0.0733	66.1228	11.201	12.8171	205.426	36.9886	-23.1872	8.14303	-9.30886	-58.5044	0
0.0740	83.2089	12.7358	15.8509	209.073	33.3376	-23.1872	1.43815	-17.2555	5.27103	0
0.0747	45.0643	13.9441	17.3848	211.831	17.1644	-19.2062	-4.66427	-6.86812	50.4168	0.322246
0.0753	-36.1369	10.5805	14.0101	227.095	8.92087	-18.5984	-9.56175	9.30886	80.9566	-0.644491
0.0760	-89.2317	9.66615	10.3627	223.425	6.17853	-15.8634	-10.1642	12.374	195.39	-1.28898
0.0767	-80.6887	11.201	6.40853	161.176	7.3845	-11.5784	-11.6995	0.794659	303.426	0
0.0773	-62.6629	6.62915	2.72703	107.762	18.9816	-12.1862	-13.5264	-9.30886	232.931	0.322246
0.0780	-53.2229	-4.04933	-1.84075	128.216	34.8575	-10.0589	-10.4752	-25.7697	116.365	0
0.0787	-49.2504	-11.0704	-9.16965	128.52	42.7871	-1.21558	-7.42396	-38.8815	144.128	0
0.0793	-45.8759	-10.156	-7.63569	47.3359	42.1759	7.96206	-6.51054	-29.1186	154.791	-0.322246
0.0800	-33.0614	-7.11899	-1.22716	-59.4679	43.101	16.8054	-4.66427	-22.1369	2.21303	-0.322246
0.0807	-27.8929	-6.20462	-5.52224	-164.752	41.5646	21.9717	-4.97522	-26.394	-127.792	0
0.0813	-30.0287	-4.9637	-10.3968	-236.773	35.4687	20.1483	-7.11301	-26.1102	-148.233	0
0.0820	-15.6764	-1.60014	-8.24927	-190.091	18.9816	16.8054	-6.51054	-24.5777	-127.792	-0.322246
0.0827	-7.13341	0.228591	-7.94248	-27.1158	-36.8564	17.1093	-6.51054	-17.8231	29.3729	0
0.0833	-19.6489	-0.685774	-12.2376	114.167	-103.086	17.1093	-8.93984	-6.86812	254.901	0.322246
0.0840	-22.3827	-2.84106	-11.9308	90.0667	-127.8	16.5015	-10.1642	-12.6578	292.12	0
0.0847	-3.75892	-1.60014	3.9542	-44.2035	-130.245	20.4522	-7.71547	-19.98	177.686	-0.322246
0.0853	9.05558	1.43686	24.4069	-127.211	-121.39	20.1483	-5.28617	-5.61937	80.3531	0
0.0860	-2.86191	1.73076	25.0205	-122.021	-89.0435	11.9127	-4.37275	12.0334	96.2064	0.322246
0.0867	9.65359	0.522494	9.13556	-75.34	-63.4042	4.89272	-3.14838	15.0985	168.23	0.322246
0.0873	69.1556	-1.30624	0.886286	-22.5342	-62.793	1.85376	-1.32154	7.77631	134.351	0
0.0880	92.3499	-1.30624	4.87457	-24.6848	-48.1562	6.4122	0.816247	3.5192	9.53614	0
0.0887	70.3943	2.97169	8.82877	-125.084	-29.8353	21.6678	2.04062	3.80301	-121.998	0.322246
0.0893	79.5354	8.16398	11.8967	-242.57	-39.5987	29.6298	0.816247	2.27045	-225.729	0.322246
0.0900	71.2914	4.17996	13.3965	-259.658	-44.1913	22.9137	-3.14838	-0.737898	-259.608	0
0.0907	-26.0562	-8.03335	10.0559	-185.814	-25.5732	14.04	-8.02643	-3.17864	-249.227	0
0.0913	-104.182	-10.156	6.40853	-147.968	5.2534	5.50051	-9.85326	-2.27045	-247.417	0
0.0920	-80.6887	-3.13497	7.6016	-154.981	40.0448	-10.6667	-12.9045	2.89483	-195.229	0
0.0927	-46.4739	-2.2206	8.82877	-119.286	66.2953	-38.1389	-14.7507	6.58432	-103.972	0
0.0933	-0.726155	-5.87806	3.64741	-56.7329	52.5505	-54.3061	-6.80206	5.95994	-101.84	0.322246
0.0940	80.4751	-8.03335	-7.02211	-21.6226	-22.8143	-45.1589	1.72967	1.98665	-158.895	0
0.0947	82.6108	-9.86208	-18.9529	-22.2303	-85.9872	-26.834	2.04062	-3.80301	-152.82	0
