MR32 ASCII
Name	USMC15_fast
Frequency	1500
Date	09-09-2015 09:55:03
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	116.458	4.38608	-2.54025	-7.26683	-2.77606	0.460255	-0.556625	-3.28406	26.1453	-8449.48
0.0007	76.7846	5.00013	-1.32232	-19.1603	-1.25004	0.767092	0.66795	-2.36222	6.30858	-10492.9
0.0013	73.4529	7.13468	1.14833	-29.8468	2.11046	1.35008	1.5771	-1.49799	-22.0687	-9558.9
0.0020	41.3653	6.54987	0.52197	-36.2587	4.5456	-0.767092	0.0556625	-2.99598	-25.4393	-9808.09
0.0027	1.74278	5.61418	-0.69596	-29.2433	5.1625	-2.30128	-1.46578	-6.04958	-76.3862	-9870.87
0.0033	5.68965	6.22823	-1.00914	-11.8432	5.47095	-1.99444	-1.46578	-6.33766	-122.163	-9785.23
0.0040	39.2637	6.22823	-1.60071	3.41968	4.5456	-0.460255	-0.556625	-3.28406	-80.053	-9814.53
0.0047	68.2245	6.84228	-0.382778	6.16046	3.63648	2.57743	1.89252	-0.23046	-25.7354	-9814.53
0.0053	73.4529	6.22823	-0.69596	2.81621	2.72736	2.27059	2.18939	0.691381	27.0563	-9813.56
0.0060	70.0698	4.09367	-3.445	0.0502895	1.49355	-0.460255	-0.259758	-0.864226	55.4335	-9784.91
0.0067	68.8396	3.47962	-3.75818	-3.89743	1.80201	-1.07393	-1.16891	-1.78607	0.501043	-9886
0.0073	86.8825	3.80127	-3.445	-3.89743	2.11046	-0.767092	-0.556625	-1.49799	-63.8829	-9772.68
0.0080	70.3774	4.70772	-1.91389	-4.22431	2.72736	0.460255	0.964817	-0.57615	-63.268	-9598.83
0.0087	-62.3811	6.54987	0.208788	12.5724	2.72736	1.04325	1.5771	1.26753	-28.7872	-10549.2
0.0093	-138.961	7.45633	-0.69596	49.4848	0.892885	0.153418	0.964817	2.18937	15.7601	-7944.02
0.0100	-39.4687	5.93582	-3.13182	75.4342	-0.633137	1.04325	0.66795	1.9013	77.115	-1358.93
0.0107	61.5097	3.18722	-4.66293	103.823	-0.941588	1.96376	0.352529	0.34569	145.781	110.106
0.0113	81.3466	1.95911	-4.34975	134.323	0.584434	2.88427	1.28024	-1.49799	140.269	-256.591
0.0120	70.3774	2.86557	-3.13182	138.925	2.72736	3.80478	3.71083	-3.62975	39.5596	-5.47308
0.0127	49.3103	3.18722	-2.81864	145.94	3.01958	1.96376	2.80168	-7.2595	-41.9054	56.6625
0.0133	22.451	3.47962	-3.13182	168.52	3.32803	0.460255	0.66795	-9.39125	-99.5936	-29.2971
0.0140	4.45946	3.80127	-3.75818	111.14	4.5456	0.153418	0.66795	-9.73694	-139.563	0
0.0147	6.30475	3.47962	-3.13182	-49.686	5.76317	1.04325	1.5771	-8.8151	-113.327	-0.321946
0.0153	11.7894	4.38608	-0.69596	-120.795	6.07162	4.11161	4.02625	-7.2595	-63.8829	-0.321946
0.0160	12.4045	5.00013	0.208788	-24.3652	3.94493	3.1911	3.71083	-6.33766	-2.23192	-0.643892
0.0167	13.0196	4.70772	-1.32232	39.1252	1.80201	-0.460255	0.66795	-6.68335	69.1667	-0.965839
0.0173	8.40633	4.09367	-2.81864	-9.10239	0.584434	-2.91495	-1.7812	-7.89326	121.047	-0.965839
0.0180	-0.410065	3.18722	-3.75818	-7.56856	-0.324686	-3.22179	-2.69035	-8.46941	165.299	-0.643892
0.0187	-2.87045	3.47962	-2.54025	42.1677	-0.633137	-1.07393	-0.556625	-6.04958	194.61	-0.321946
0.0193	-8.04752	4.38608	-1.32232	17.4504	-0.0324686	-1.38077	0.964817	-3.28406	166.21	-0.643892
0.0200	-20.247	3.47962	-1.91389	-18.2551	0.892885	-4.75597	-0.556625	-3.91782	89.0034	-0.643892
0.0207	-28.192	2.25152	-3.75818	14.1062	1.80201	-5.33896	-1.7812	-6.33766	16.6711	-0.643892
0.0213	-33.9841	1.66671	-4.97611	54.388	1.80201	-2.91495	-1.46578	-7.2595	-29.0833	-0.321946
0.0220	-34.5992	2.25152	-3.13182	62.9121	2.72736	0.767092	1.28024	-5.41581	-23.9134	0
0.0227	-31.5237	3.47962	-1.00914	97.1089	2.72736	4.11161	3.71083	-3.28406	-22.9796	-0.321946
0.0233	-36.7521	4.09367	-1.32232	166.081	0.584434	3.80478	2.48626	-3.62975	-94.1049	-0.643892
0.0240	-37.3672	3.47962	-3.13182	201.485	-0.0324686	2.57743	0.66795	-5.41581	-102.031	-0.321946
0.0247	-12.3019	3.47962	-3.445	148.077	0.275983	3.1911	0.352529	-5.41581	25.8265	-0.321946
0.0253	24.6039	5.93582	-1.60071	-19.1603	0.275983	5.33896	1.28024	-3.28406	56.3445	-0.321946
0.0260	45.0559	7.13468	-0.104394	-222.732	-0.941588	8.37665	3.41397	-0.57615	-126.445	0
0.0267	50.848	5.32177	-1.00914	-249.888	-3.08451	9.29716	4.02625	-0.23046	-193.881	0.321946
0.0273	57.2553	3.18722	-2.81864	-160.172	-4.90275	7.1493	1.89252	-1.1523	85.0406	0
0.0280	76.7846	1.34506	-4.66293	-202.893	-5.2112	5.03212	-1.16891	-2.36222	333.763	-0.321946
