MR32 ASCII
Name	CRYE15_slow_dud
Frequency	1500
Date	11-09-2015 11:23:14
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	-1.71354	5.85215	3.42401	3.83577	4.74011	4.50788	2.90555	-2891.51	7.50157	-9993.73
0.0007	-1.1164	5.55332	3.42401	4.14263	4.74011	4.50788	3.20716	-2895.79	7.50157	-10099
0.0013	-1.1164	5.55332	3.42401	3.83577	4.42963	4.50788	2.90555	-2897.55	7.19601	-9557.92
0.0020	-1.42795	5.22958	3.11508	3.83577	4.11914	4.50788	2.90555	-2912.4	6.89045	-9907.07
0.0027	-1.42795	5.22958	3.11508	3.83577	4.11914	4.2033	2.90555	-2929.01	6.58488	-9818.52
0.0033	-1.42795	4.93075	2.80614	3.52891	4.11914	3.89871	2.90555	-2929.27	6.58488	-9799.93
0.0040	-1.42795	4.93075	3.11508	3.52891	3.80865	3.89871	2.90555	-2926.25	6.58488	-9819.46
0.0047	-1.1164	4.93075	3.11508	3.52891	3.80865	3.89871	2.59388	-2927.5	5.97376	-9819.15
0.0053	-1.1164	4.63191	2.80614	3.52891	3.80865	3.59412	2.29227	-2918.19	5.97376	-9806.23
0.0060	-1.1164	4.63191	2.80614	3.52891	4.11914	3.59412	2.29227	-2912.4	5.97376	-9804.34
0.0067	-1.1164	4.33308	2.80614	3.22205	3.80865	3.59412	2.59388	-2920.71	5.97376	-9918.1
0.0073	-1.1164	4.33308	2.49721	3.22205	3.51886	3.59412	2.29227	-2909.38	5.6682	-9607.07
0.0080	-1.1164	4.33308	2.80614	3.22205	3.80865	3.59412	2.29227	-2876.41	5.36263	-9931.65
0.0087	-1.1164	4.33308	2.49721	2.91518	3.51886	3.28954	2.59388	-2854.51	5.36263	-10325.5
0.0093	-1.1164	4.00935	2.18828	2.60832	3.20837	2.98495	2.90555	-2834.62	5.6682	-5428.26
0.0100	-1.1164	3.71051	2.49721	2.60832	2.89789	2.68036	2.29227	-2814.48	5.36263	106.511
0.0107	-1.1164	3.71051	2.49721	2.60832	2.89789	2.68036	1.99065	-2815.24	4.75151	106.511
0.0113	-1.1164	3.71051	2.49721	2.91518	3.20837	2.68036	2.29227	-2830.34	5.05707	-259.659
0.0120	-1.1164	3.71051	2.18828	2.60832	2.89789	2.68036	2.29227	-2848.97	4.75151	89.4942
0.0127	-1.1164	3.41168	1.90509	2.30146	2.5874	2.35547	1.67898	-2876.15	4.44594	0.31512
0.0133	-1.1164	3.41168	2.18828	2.30146	2.5874	2.35547	1.99065	-2895.28	4.75151	-17.6467
0.0140	-1.1164	3.11285	1.90509	2.30146	2.5874	2.35547	2.29227	-2891.51	4.44594	1.5756
0.0147	-1.42795	2.78911	1.90509	1.9946	2.29761	2.35547	1.37737	-2895.28	3.52925	-2.20584
