MR32 ASCII
Name	USMC15_fast
Frequency	1500
Date	31-08-2015 14:41:14
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	11.5435	-8.25638	-2.99272	9.56201	-17.7296	-19.4218	369.865	-10.2061	3.67785	-10181.1
0.0007	12.475	-8.25638	-4.51731	6.47917	-20.1736	-7.54706	422.342	-12.6505	6.71047	-10004.6
0.0013	18.8746	-8.01355	-5.13844	5.27739	-20.4843	-10.2914	404.339	-15.6952	8.25904	-9579.23
0.0020	23.7755	-5.82804	-2.99272	6.47917	-12.5515	-27.0744	289.9	-18.4397	5.1619	-9912
0.0027	45.1208	-3.07591	-1.46812	9.2485	-4.30812	-30.716	127.229	-22.0847	0.322619	-9808.54
0.0033	93.6438	-0.32378	1.24226	13.2196	-0.352106	-18.5246	-67.4705	-23.9287	-0.903333	-9801.08
0.0040	132.122	4.8567	5.8725	11.7043	0.869908	-4.80267	-168.179	-25.4296	2.71	-9816.93
0.0047	116.245	10.361	11.0109	8.30797	3.31394	7.12485	-240.809	-25.1294	7.03309	-9816.93
0.0053	72.2985	11.2513	12.5355	8.30797	0.579939	4.961	-386.068	-24.5291	7.03309	-9800.77
0.0060	53.0594	11.5751	11.9709	11.3908	-5.84081	-8.76092	-329.614	-24.2289	3.03262	-9809.47
0.0067	39.3288	11.2513	11.0109	12.5926	-7.97416	-15.7802	-168.179	-23.3283	2.12928	-9912.94
0.0073	8.50571	7.9326	8.30055	9.87552	-7.97416	-11.1886	-233.769	-23.3283	5.48452	-9576.44
0.0080	-17.7405	5.42331	5.8725	8.93499	-2.17477	-2.95549	-360.434	-26.373	5.80714	-10018.9
0.0087	-45.5258	2.99496	4.63024	10.7638	4.22527	-2.05829	-374.782	-28.1741	3.93595	-10175.5
0.0093	-79.3866	-1.86173	0.677596	10.4503	0.269257	-10.6081	-322.897	-27.8739	2.4519	-4882.21
0.0100	-96.479	-8.25638	-3.89618	11.7043	-6.75215	-16.0969	-233.769	-24.8292	0.322619	108.438
0.0107	-116.609	-17.4032	-9.42988	14.1079	-5.84081	-12.4025	-137.332	-18.4397	-2.77452	108.438
0.0113	-154.439	-27.1975	-16.714	16.8772	3.62462	-14.5664	-10.9898	-8.66236	-7.6138	-236.141
0.0120	-161.77	-32.7018	-19.4809	21.4231	14.0014	-24.33	149.827	4.15965	-13.7436	96.942
0.0127	-130.34	-33.2684	-17.9563	26.3347	24.0675	-32.8798	235.569	13.937	-19.8733	-7.14636
0.0133	-86.3937	-28.0879	-14.286	26.3347	38.1103	-30.716	191.932	14.8375	-22.2607	-13.982
0.0140	-20.7782	-17.1603	-6.66303	22.3636	45.7323	-6.01654	70.7755	10.8494	-16.7762	2.17498
0.0147	51.5203	-8.58016	-0.846995	17.1907	39.3323	19.3163	-29.3151	9.34849	-9.16237	-0.310711
0.0153	75.0528	-5.26142	0.677596	14.1079	35.3556	24.805	-17.7073	5.36037	-5.22642	-0.310711
0.0160	67.1141	1.21417	5.8725	14.7349	39.9329	25.755	40.2781	-5.01731	-4.00047	-0.621423
0.0167	69.5443	11.8989	14.0601	15.9367	36.2876	27.2855	54.3042	-15.9953	-4.25857	-0.621423
0.0173	70.4759	16.108	17.7304	16.5637	20.7121	24.4884	54.5998	-19.6404	-4.25857	0
0.0180	80.8447	10.0372	12.8743	15.6754	13.38	20.2662	72.9251	-18.1395	-3.03262	0.310711
0.0187	55.4896	-0.32378	3.72678	14.7349	17.9781	18.1024	102.213	-16.8959	-4.00047	0.310711
0.0193	-60.1475	-9.22772	-1.46812	16.2502	19.4901	18.7357	117.476	-17.1961	-3.03262	0
0.0200	-167.887	-16.5128	-6.3807	16.8772	11.868	14.4608	86.3601	-20.2408	0	0
0.0207	-195.955	-22.5836	-12.4791	13.7944	2.4026	7.12485	34.1517	-20.5838	1.22595	0.310711
0.0213	-191.986	-26.3071	-14.6248	15.0484	2.4026	8.65537	42.6964	-15.395	0.322619	0
0.0220	-162.095	-31.1638	-17.674	16.8772	3.31394	9.55257	106.808	-10.5063	-0.645238	0
0.0227	-129.449	-36.0205	-23.1512	15.0484	0.579939	4.69712	134.565	-10.5063	-0.322619	0
0.0233	-141.64	-35.4539	-21.2878	15.6754	4.22527	5.59432	119.303	-11.4069	0.580714	0
0.0240	-143.179	-30.84	-17.9563	15.0484	6.37933	4.69712	118.685	-12.9507	1.80667	0
0.0247	-115.07	-25.6595	-17.0528	12.5926	4.53595	-1.74163	128.465	-17.4963	2.4519	0
0.0253	-53.424	-19.5887	-10.9545	15.0484	7.89131	-0.79165	126.316	-19.3402	0.903333	0
0.0260	104.944	-11.0085	-3.33151	15.9367	9.73469	-0.527766	127.552	-20.884	-0.322619	0.310711
0.0267	244.721	-1.53795	2.20219	12.5926	6.97998	-5.06656	10.3718	-27.5738	2.12928	0
0.0273	230.383	7.28504	8.92168	10.7638	7.29066	-4.48601	-192.9	-34.3064	5.1619	0.310711
0.0280	171.167	15.8652	15.5847	9.87552	8.20199	-3.85269	-147.731	-40.3958	6.38785	0.621423
0.0287	201.059	17.3222	16.5446	9.87552	8.80264	-4.48601	102.831	-40.6959	5.1619	0
0.0293	251.445	10.6038	11.9709	12.9061	12.7794	-2.05829	296.913	-32.4624	2.12928	-0.310711
0.0300	206.891	5.18048	9.20401	16.5637	15.5341	-0.211107	380.237	-21.4844	-1.54857	0.310711
0.0307	127.545	2.42835	9.20401	16.5637	15.5341	1.31942	357.048	-8.96254	-3.67785	0.310711
0.0313	85.0976	0.566615	9.20401	15.0484	16.1347	7.12485	281.974	0.171532	-3.67785	0.310711
0.0320	41.1514	-1.86173	8.30055	18.706	11.5574	11.0831	192.255	8.44795	-3.03262	0.310711
0.0327	-8.26269	-4.04725	6.77596	23.3041	4.84663	4.961	123.575	23.9716	-2.4519	0.621423
0.0333	-49.7787	-4.04725	7.05829	24.1924	5.15731	-4.80267	94.9048	35.8931	-1.87119	0
0.0340	-98.6257	-5.82804	8.30055	24.5059	10.0247	-12.4025	65.9121	45.07	-0.322619	-0.310711
0.0347	-140.709	-9.79434	7.05829	22.6771	11.2467	-18.8413	-16.4982	54.5043	-0.322619	0.310711
0.0353	-132.77	-10.4419	4.34791	21.7366	10.646	-21.5856	-170.302	53.6037	-1.22595	0.310711
0.0360	-54.9631	-9.22772	5.25137	24.8194	12.7794	-14.8302	-312.82	49.9158	-1.22595	0.310711
0.0367	39.9363	-4.93764	9.82514	24.8194	12.1787	-6.59708	-368.979	50.216	0.322619	0
0.0373	92.7527	2.10457	15.3024	19.333	8.20199	-4.16935	-359.52	53.9039	3.67785	0
0.0380	70.1519	4.20914	18.9727	25.3942	7.60134	1.63608	-327.787	65.4823	5.80714	0.310711
0.0387	2.99725	0.890394	18.0692	26.9617	6.6693	8.97203	-269.479	75.5598	7.29118	0.310711
0.0393	-16.8089	-1.29512	14.3989	-18.8105	3.62462	6.80819	-183.737	72.8153	7.03309	0.310711
0.0400	32.3217	-1.29512	13.7778	-52.4082	3.9353	4.38046	-112.639	63.9814	3.93595	0.310711
0.0407	95.4665	-1.29512	13.1567	-23.4086	5.44728	4.961	-81.4966	56.6484	1.54857	0.310711
0.0413	127.221	-3.72347	10.1075	5.5909	3.31394	3.1666	-76.9287	52.0599	3.35524	0.310711
0.0420	118.999	-8.58016	7.05829	9.87552	2.4026	2.21662	-75.6927	52.0599	5.48452	0
0.0427	86.3127	-13.194	3.72678	5.5909	1.49127	-0.211107	-69.5932	52.6603	6.38785	0
0.0433	53.991	-15.6224	0.0564663	0.104503	-1.26344	-3.58881	-66.5569	48.7151	8.51714	0
0.0440	28.6359	-16.5128	-1.80692	-2.03781	-2.17477	-4.16935	-65.6165	44.4268	10.6464	0
0.0447	4.86041	-16.8365	-2.37159	-2.66482	-3.0861	-3.85269	-60.753	40.4815	11.6143	0
0.0453	-7.97917	-15.2986	-2.08925	-3.29184	-4.92948	-4.16935	-54.0355	36.1932	11.8724	0
0.0460	-19.8872	-13.194	0.0564663	-4.49362	-5.53013	-3.85269	-44.5773	33.1485	14.0017	-0.310711
0.0467	-42.4475	-11.6561	1.58106	-7.26295	-5.84081	-4.16935	-34.7966	30.7042	15.8728	-0.310711
0.0473	-60.4715	-10.1181	0.677596	-8.46473	-7.06283	-5.38322	-28.106	27.0592	13.7436	0.310711
0.0480	-61.9702	-9.22772	-0.282332	-5.6954	-8.88549	-6.3332	-20.7705	22.1705	10.6464	0.621423
0.0487	-60.4715	-8.01355	0.0564663	-4.80713	-10.4182	-6.01654	-8.57152	17.8822	9.42047	0.310711
0.0493	-72.0555	-7.68977	1.24226	-5.3819	-10.4182	-4.80267	4.5679	14.5373	8.51714	0.310711
0.0500	-46.7409	-7.04221	1.24226	-3.8666	-11.6402	-5.69988	10.963	10.8494	7.03309	0.310711
0.0507	27.1373	-5.50426	0.959928	-3.8666	-14.9956	-7.54706	10.3718	7.20434	6.06523	0.310711
0.0513	35.0759	-3.72347	1.86339	-4.18011	-16.8182	-7.54706	9.43136	3.85947	6.38785	0.310711
0.0520	-25.6791	-3.07591	2.20219	1.30629	-17.7296	-8.1276	8.51778	1.41514	6.06523	0.310711
0.0527	-33.6178	-2.18551	4.00911	7.73321	-17.7296	-8.1276	10.963	-0.128649	6.38785	0.310711
0.0533	14.9052	1.21417	8.58288	7.10619	-16.2176	-6.59708	15.2353	-0.729011	7.93642	0.310711
0.0540	28.6359	3.9663	8.92168	1.61979	-17.4396	-7.54706	17.3849	-2.2728	6.38785	0.310711
0.0547	-2.18718	6.39465	9.20401	-1.14953	-18.0402	-8.44426	21.3348	-3.7737	3.03262	0.310711
0.0553	-28.1093	9.14678	11.0109	-1.14953	-16.8182	-7.54706	25.6071	-3.7737	1.54857	0.310711
0.0560	-55.5706	10.6038	11.0109	-1.46304	-17.1289	-7.81094	23.1888	-4.67424	0.580714	0.310711
0.0567	-78.7791	12.7893	13.1567	0.679268	-15.3062	-4.80267	18.594	-4.67424	0	0.310711
0.0573	-81.2093	11.8989	13.1567	1.61979	-14.3742	-2.63883	17.6804	-1.92973	-0.903333	0.310711
0.0580	-68.4102	7.9326	9.48635	2.82158	-15.9069	-4.80267	11.581	1.41514	-1.87119	0.621423
0.0587	-47.956	5.42331	8.30055	5.90441	-14.9956	-5.69988	-14.3486	3.25911	-2.12928	0.310711
0.0593	-24.7476	2.99496	5.8725	4.33687	-15.3062	-6.01654	-13.435	3.55929	-2.12928	0
0.0600	33.2128	0	3.10565	0.679268	-18.0402	-6.59708	65.2941	2.91604	-0.322619	0
