MR32 ASCII
Name	NA_fast
Frequency	1500
Date	07-09-2015 11:08:36
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	-188.197	-0.683014	19.0363	5.57326	-5.17467	-3.63559	-5.07771	16.1553	0.690356	-9604.16
0.0007	-278.513	-0.367777	16.8942	4.32212	-7.00291	-5.77078	-7.20957	15.8373	0.365483	-10242.4
0.0013	-263.858	0.525395	16.288	4.96664	-7.00291	-5.77078	-8.13209	15.5192	-0.243655	-9530.89
0.0020	-151.866	3.30999	14.7926	4.96664	-7.00291	-6.08817	-8.13209	17.3637	-0.527919	-9883.78
0.0027	38.8527	5.41157	13.2567	4.01881	-6.3935	-5.48224	-8.13209	19.7807	-1.13706	-9830.99
0.0033	165.499	7.25045	10.5084	4.32212	-5.17467	-4.24152	-6.90724	19.7807	-2.07107	-9791.96
0.0040	143.21	10.9282	3.19293	4.01881	-5.47403	-4.55892	-7.20957	21.3072	-1.46193	-9815.63
0.0047	148.731	17.338	-2.30376	4.32212	-6.09414	-4.84745	-8.13209	26.7771	-0.243655	-9814.67
0.0053	249.135	20.7006	-3.8396	3.7155	-6.70355	-5.16485	-8.73676	29.2576	-1.46193	-9806.35
0.0060	323.568	17.0228	-2.30376	1.28905	-7.61233	-5.48224	-9.65153	24.9962	-2.68021	-9791.64
0.0067	305.573	9.98251	4.0821	0.985746	-5.47403	-3.63559	-7.51966	17.0457	-1.74619	-9911.61
0.0073	196.309	4.20316	9.57878	0.682439	-4.56526	-2.71227	-5.38005	7.56881	-1.46193	-9655.34
0.0080	45.26	2.04904	9.90212	-2.99515	-6.70355	-3.95298	-6.6049	3.6254	-2.35533	-9796.12
0.0087	-76.4785	2.99475	8.97253	-5.1183	-7.61233	-3.95298	-7.822	8.52286	-2.96447	-10483.3
0.0093	-112.537	3.30999	8.68961	-6.33152	-7.31296	-3.02966	-8.13209	13.3567	-2.35533	-6286.1
0.0100	-47.5094	1.47111	13.2567	-4.81499	-5.17467	-0.894471	-6.29481	11.5758	-2.68021	-205.719
0.0107	53.1669	-3.41507	18.7534	-2.69184	-3.64579	-0.288539	-4.77537	6.99638	-1.74619	110.698
0.0113	106.879	-10.1401	18.7534	-2.69184	-5.17467	-1.8178	-5.99247	5.4699	2.1929	-282.503
0.0120	134.076	-13.5027	16.8942	-0.530786	-5.78408	-2.42373	-6.90724	4.19783	5.88833	70.7058
0.0127	163.659	-11.979	13.5396	0.985746	-5.78408	-3.02966	-7.822	1.7809	7.39087	16.6367
0.0133	121.534	-5.88443	10.7913	3.4122	-6.09414	-2.71227	-7.51966	5.15188	8.60915	-21.7556
0.0140	-26.4471	2.04904	9.90212	8.90963	-4.86462	-1.5004	-4.46528	13.3567	9.82742	2.23955
0.0147	-160.728	7.56569	6.22419	11.9806	-4.86462	-2.42373	-3.85286	16.7277	10.4366	-0.639872
0.0153	-214.781	6.67252	3.19293	12.5872	-5.17467	-2.42373	-5.69014	10.9398	10.7614	-0.639872
0.0160	-257.178	0.840632	1.94001	11.6773	-4.86462	-1.5004	-6.90724	2.09891	10.1523	-0.319936
0.0167	-261.745	-3.09983	2.26334	10.1229	-4.86462	-1.5004	-7.51966	-2.16252	9.54316	-0.319936
0.0173	-173.542	-3.09983	5.2946	9.81954	-3.64579	0.317393	-5.07771	-1.9081	9.21828	-0.639872
0.0180	-74.7063	-1.57619	5.94127	9.21293	-2.73702	1.84665	-2.33342	-3.43459	9.21828	-0.319936
0.0187	-37.1487	-1.57619	2.86959	6.17987	-4.86462	0.0288539	-3.55052	-10.1129	7.71574	-0.319936
0.0193	-29.5144	-2.83713	2.86959	3.10889	-6.09414	-0.894471	-4.46528	-14.3744	5.56346	-0.319936
0.0200	53.5077	-1.89142	3.79918	0.985746	-5.78408	0.634786	-3.24818	-11.9574	4.06092	-0.319936
0.0207	203.329	3.57269	4.40543	0.379133	-4.2552	2.76997	-0.806232	-7.05998	3.12691	0
0.0213	233.866	6.35728	7.43669	-0.22748	-3.34643	3.98184	1.63572	-1.9081	2.80203	0
0.0220	161.818	4.20316	8.36628	-4.51168	-4.2552	2.45258	0.108531	0.572431	2.80203	-0.319936
0.0227	136.189	6.35728	3.47585	-10.0091	-4.56526	1.55811	-3.24818	3.6254	2.51777	-0.319936
0.0233	111.173	12.1366	-2.02084	-14.2933	-3.64579	1.84665	-4.46528	10.0493	2.1929	-0.319936
0.0240	40.6931	12.7671	-1.09125	-14.8999	-3.34643	1.84665	-4.46528	15.5192	1.29949	-0.319936
0.0247	-4.77139	10.9282	4.40543	-10.6157	-2.11691	3.05851	-2.63576	17.0457	2.1929	-0.319936
0.0253	8.31585	6.67252	5.94127	-6.93813	-2.73702	2.76997	-1.721	12.7843	3.12691	-0.319936
0.0260	8.0432	-1.26095	5.2946	-5.1183	-4.56526	-0.288539	-4.16295	4.51584	3.41117	0
0.0267	-28.901	-5.25395	5.94127	-1.47862	-3.95584	-1.21186	-5.38005	1.7809	4.34518	0
0.0273	-54.2575	-1.26095	0.727502	0.379133	-2.11691	0.317393	-4.46528	6.99638	6.1726	0.319936
0.0280	-81.6589	4.5184	-4.16293	-0.834093	-1.20814	1.55811	-2.9381	10.6218	5.88833	0
0.0287	-79.8867	6.67252	-2.02084	-1.47862	-0.598722	2.76997	-0.806232	5.4699	4.95432	0
0.0293	-24.3341	7.88093	-2.91001	-3.60176	-1.81755	3.05851	-0.496143	-2.16252	3.73604	0
0.0300	44.3739	13.0823	-6.2646	-6.33152	-3.03638	2.76997	-0.806232	0.254414	1.90863	0
0.0307	81.8634	16.1296	-7.51753	-6.02821	-2.73702	2.76997	-0.806232	6.99638	1.58376	0
0.0313	36.1262	9.98251	-5.0521	-5.4216	-1.81755	2.76997	-1.41866	4.19783	2.80203	0
0.0320	-32.2409	1.47111	0.727502	-5.1183	0.320744	5.22255	0.720957	-1.9081	3.73604	0
0.0327	-29.7871	0.262698	2.86959	-5.4216	1.53957	7.04035	2.55048	-2.79855	4.06092	0
0.0333	9.88359	2.99475	-2.02084	-6.93813	0.0106915	5.22255	0.720957	-3.43459	3.12691	-0.319936
0.0340	45.5327	2.99475	-3.55668	-7.88597	-2.11691	3.37591	-0.806232	-4.32503	2.1929	0
0.0347	77.9099	-2.20666	2.26334	-7.24144	-3.03638	2.76997	-1.10857	-3.689	2.1929	0.319936
0.0353	66.9358	-8.30124	10.7913	-5.4216	-2.11691	2.76997	-0.806232	-1.59009	2.80203	0
0.0360	19.6309	-11.6638	15.6817	-3.29846	-1.5075	3.37591	-0.193806	-1.59009	3.73604	0
0.0367	10.7697	-14.0806	13.863	-3.29846	-2.42696	2.45258	-0.806232	-3.43459	4.34518	0
0.0373	9.88359	-15.3415	8.97253	-4.20838	-4.2552	0.634786	-2.9381	-4.96107	4.95432	0
0.0380	-17.586	-13.1874	5.61794	-3.90507	-5.17467	-0.288539	-3.85286	-3.43459	5.88833	0
0.0387	11.3832	-9.82489	4.0821	-3.29846	-4.56526	0.0288539	-3.55052	-0.0636034	6.49747	0
0.0393	65.4362	-7.67077	5.2946	-1.47862	-3.34643	1.24072	-1.721	1.7809	7.39087	0
0.0400	12.2693	-6.14712	6.83044	0.379133	-3.03638	0.923325	-0.806232	0.890448	8.60915	0
0.0407	-46.0098	-5.88443	5.94127	-1.1374	-5.17467	-1.5004	-3.24818	-0.636034	9.21828	0
0.0413	59.5742	-4.04554	4.68835	-2.99515	-6.09414	-1.8178	-4.16295	0.890448	8.93402	0.319936
0.0420	149.004	2.99475	-0.808336	-2.99515	-4.56526	-1.21186	-3.55052	4.19783	8.60915	-0.319936
0.0427	29.3781	11.8214	-6.91127	-2.99515	-2.73702	0.317393	-3.55052	7.25079	8.32488	-1.27974
