MR32 ASCII
Name	CRYE15_slow
Frequency	1500
Date	14-09-2015 12:11:15
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	-152.16	-140.925	-367.228	-152.939	-303.704	-201.973	-91.8692	-17.9208	-90.909	-5264.34
0.0007	-136.922	-53.3287	-99.907	-145.613	-289.368	-192.207	-88.825	-177.217	-84.1663	-10273.2
0.0013	-145.749	-108.274	-34.8653	-137.367	-276.543	-181.822	-86.6868	-165.925	-73.4988	-9948.66
0.0020	-140.887	-82.0298	139.641	-133.104	-263.749	-171.142	-85.4667	-122.295	-82.0529	-9595.01
0.0027	-110.04	1.89682	494.305	-125.165	-247.871	-160.772	-83.0265	-165.017	-41.7645	-9912.61
0.0033	-85.6346	54.386	697.846	-113.242	-236.279	-141.548	-79.6683	-158.918	69.641	-9802.25
0.0040	-66.4017	-1.46149	622.465	-126.391	-222.837	-127.805	-77.2281	-29.8176	109.896	-9801.62
0.0047	-51.164	-107.652	372.818	-71.4552	-206.066	-136.658	-73.2537	-41.4119	91.6135	-9816.04
0.0053	-33.1389	-111.011	203.12	66.4965	-223.454	-48.7613	-64.097	-154.331	92.8211	-9816.04
0.0060	23.9096	-77.1478	203.782	110.735	-132.815	98.6327	-74.7879	-76.1949	92.5192	-9797.54
0.0067	68.167	-2.67421	208.049	88.4763	99.426	123.955	-65.0151	24.1969	88.5608	-9813.53
0.0073	63.2736	96.8313	193.983	90.5934	184.855	101.682	22.8676	5.89798	87.0177	-9907.59
0.0080	58.9996	104.45	192.781	90.287	149.463	106.572	76.8898	1.61312	85.2062	-9560.83
0.0087	60.8579	89.8037	188.212	86.6376	152.206	103.818	63.7709	8.31767	83.0593	-10074.1
0.0093	58.4112	94.0638	182.983	85.1055	152.206	99.5461	61.9347	5.57032	81.5162	-10060.3
0.0100	56.8626	90.3945	178.414	82.9604	145.516	97.7193	64.0729	5.89798	80.0067	-4550.14
0.0107	55.6547	87.6581	173.845	80.8432	142.742	95.2742	60.0985	4.9654	77.2559	110.36
0.0113	54.4469	86.1344	169.878	79.0046	139.69	92.8292	58.8784	4.66293	75.4109	110.36
0.0120	53.208	83.9888	165.61	77.166	136.637	90.3981	58.2744	5.26786	73.9013	-218.211
0.0127	52.3099	82.1542	161.643	75.3552	133.308	88.5573	56.7523	5.26786	72.0563	99.6998
0.0133	50.7613	80.0397	157.675	73.2102	130.256	86.4213	55.5322	5.57032	70.5467	-10.6597
0.0140	49.2438	77.8941	153.407	71.3716	127.204	83.6811	54.3001	5.26786	68.7017	-11.9138
0.0147	48.3456	76.3704	149.74	69.533	124.151	81.8543	52.778	4.9654	66.8903	1.88113
0.0153	47.1068	74.8468	146.073	68.3351	121.408	80.3227	51.5579	4.9654	65.6491	0
0.0160	45.8989	72.7012	142.407	66.4965	118.633	77.8776	50.6398	4.9654	64.1395	0.627043
0.0167	44.9698	71.1775	139.04	64.6579	115.889	75.7416	49.4197	4.66293	62.2945	0.313521
0.0173	44.0716	69.6538	135.674	63.4321	113.453	74.224	48.5016	4.66293	60.7849	0.627043
0.0180	43.1425	67.8192	132.368	61.9278	110.71	72.3831	47.2815	4.66293	59.5437	0.627043
0.0187	41.9346	66.2955	129.002	60.3956	107.966	70.5563	45.7594	4.36047	58.0342	0.313521
0.0193	41.0055	64.7718	125.936	58.8635	105.53	69.0246	44.8413	4.05801	56.4911	0.313521
0.0200	40.1073	63.2482	123.171	57.6377	103.095	67.1979	43.9353	4.05801	55.2834	0.627043
0.0207	39.1782	61.7245	119.804	56.1055	100.628	65.6662	42.7032	4.05801	54.0758	0.627043
0.0213	37.9703	60.2008	116.799	54.6012	98.1928	63.8394	41.7971	4.05801	52.8346	0.313521
0.0220	37.3509	58.9881	114.033	53.3755	96.0655	62.3217	40.8791	4.05801	51.6269	0.313521
0.0227	36.4218	57.7443	111.268	52.1497	93.9383	60.79	39.961	4.05801	50.4193	0.627043
0.0233	35.5236	56.2206	108.263	50.6176	91.7802	59.2583	39.0429	4.05801	49.1781	0.627043
0.0240	34.2848	55.0079	105.798	49.3918	89.6529	57.7407	38.4389	3.75555	47.9704	0.627043
0.0247	33.3867	53.7951	103.033	48.1939	87.5257	56.5181	37.5208	3.75555	46.7293	0.940564
0.0253	32.4575	52.2715	100.328	46.9682	85.3676	54.6914	36.6027	3.45309	45.8235	0.627043
0.0260	32.1478	51.3386	98.1638	46.0489	83.5486	53.778	35.6846	3.15063	44.314	0.627043
0.0267	31.2497	50.1259	95.6992	44.8231	81.4214	52.5554	35.0806	3.45309	43.3747	0.940564
0.0273	30.3205	48.9132	92.9941	43.5974	79.5716	51.0237	34.4645	3.45309	42.4689	0.940564
0.0280	29.7321	47.6693	90.83	42.3717	77.7526	49.8012	33.2444	3.15063	41.2613	0.940564
0.0287	29.1127	46.4566	88.4255	40.8673	75.0088	48.5786	33.8605	2.52051	40.0201	0.313521
0.0293	28.4932	47.9803	88.0649	42.6781	78.0609	49.8012	29.5842	4.66293	39.1144	0.627043
0.0300	27.5951	39.4601	82.8952	36.8837	66.7772	43.0842	29.8862	1.0082	38.5105	0.940564
0.0307	24.8387	44.0312	79.2283	35.0729	67.0855	43.0842	41.4831	0.705742	37.2693	0.627043
0.0313	30.3205	60.5118	92.9941	55.7991	100.628	62.0126	-18.3255	16.2573	36.3636	0.627043
0.0320	19.3259	-34.1117	40.8164	-28.7214	-62.0295	-27.711	-107.44	-44.4617	35.4579	0.627043
0.0327	-29.1746	-53.0178	-58.0687	-183.75	-325.377	-176.637	-109.881	-145.786	34.5186	0.627043
0.0333	-54.1991	83.9888	-47.7294	-204.197	-351.336	-192.811	-94.9254	-124.74	33.3109	0.627043
0.0340	-34.068	-10.2926	45.385	-168.79	-299.758	-162.599	-98.2837	-61.2483	32.7071	-0.313521
0.0347	-13.0078	-160.453	114.635	-166.673	-298.833	-160.772	-91.2652	-76.5225	33.6129	-0.313521
0.0353	-11.7999	-58.8326	184.846	-160.544	-282.37	-151.005	-83.3285	-73.4475	24.7568	0.627043
0.0360	-8.42409	49.504	230.291	-151.407	-264.643	-140.621	-75.3919	-64.903	40.0201	0.940564
0.0367	15.981	52.2715	0.841576	-143.467	-249.998	-132.386	-67.7694	-104.903	28.1114	0.940564
0.0373	37.9703	22.0467	-340.057	-135.222	-234.738	-124.756	-61.9709	-6.32647	-113.183	0.627043
0.0380	41.6249	-56.687	-427.941	-126.976	-221.327	-117.125	-57.0785	109.944	-212.345	0.940564
0.0387	25.7368	-120.775	-460.943	-118.758	-208.81	-108.891	-52.5001	9.55272	-187.621	0.940564
0.0393	7.12331	-107.652	-496.289	-110.818	-196.601	-101.261	-47.6198	-52.7038	-172.392	0.940564
0.0400	8.9506	-54.8524	-360.495	-103.185	-184.701	-92.4076	-42.4374	111.784	-168.4	1.25409
0.0407	10.4991	6.49895	-175.288	-95.5521	-173.726	-84.4681	-38.161	149.617	-156.826	0.940564
0.0413	2.26088	76.9923	131.105	-89.1448	-164.569	-79.5919	-36.6389	-91.7716	-149.178	0.627043
0.0420	-9.66293	113.001	598.961	-84.2697	-156.307	-73.4933	-36.3369	-155.54	-141.563	0.940564
0.0427	-35.8953	49.2241	823.542	-79.6732	-147.459	-65.8629	-33.8847	147.172	-134.519	0.940564
0.0433	-62.7471	-112.224	760.063	-73.5724	-137.408	-61.591	-31.4445	366.305	-126.904	0.627043
0.0440	-70.9854	-298.392	612.066	-66.8586	-127.327	-59.1459	-29.9224	157.557	-118.651	0.940564
0.0447	-68.5387	-396.343	377.387	-61.6771	-118.787	-56.7008	-30.2244	-202.85	-113.183	0.940564
0.0453	-66.1229	-331.042	209.252	-56.4955	-110.247	-55.1832	-32.3626	-376.185	-102.482	0.627043
0.0460	-53.6107	-183.339	208.049	-53.4312	-102.293	-53.6515	-32.3626	-446.079	-98.8258	0.627043
0.0467	-39.2402	-86.6008	147.937	-48.5561	-98.3469	-48.1571	-29.9224	-498.581	-103.422	0.940564
0.0473	-42.3063	-27.0841	-58.0687	-41.5359	-88.2656	-39.3041	-30.8405	-475.997	-26.8031	0.627043
0.0480	-43.2354	28.4523	-188.393	-51.314	-76.9819	-47.8479	-28.0862	-375.883	77.2559	0.627043
0.0487	-16.0739	103.517	-103.574	-15.2939	-91.9343	-25.5751	-32.3626	-193.398	86.112	0.940564
0.0493	22.7017	167.325	29.5153	78.6982	-18.3745	66.2845	-38.161	5.89798	72.0563	0.940564
0.0500	39.1782	117.883	42.9204	108.617	145.516	112.362	12.1888	76.0688	76.6521	0.940564
0.0507	36.1121	59.5789	27.3512	92.4321	192.193	96.8059	66.815	59.2823	74.2032	0.940564
0.0513	35.2139	68.7521	34.0838	93.9642	165.34	94.9651	64.0729	59.2823	72.0563	0.940564
0.0520	35.2139	69.3429	32.2203	92.7385	167.776	95.2742	57.6583	60.8198	70.5467	0.627043
0.0527	33.9751	63.8701	30.4169	89.3956	165.34	91.3115	59.7965	57.1651	68.7017	0.627043
0.0533	33.3867	64.1499	30.4169	87.557	159.236	89.4707	57.6583	56.2325	67.4941	0.627043
0.0540	32.4575	62.6262	29.8158	85.4119	156.184	87.0396	56.1362	55.0226	65.951	0.627043
0.0547	31.5594	61.1026	29.2147	83.2669	152.823	85.1988	54.9161	54.1152	64.1395	0.940564
0.0553	31.2497	59.5789	28.5535	81.4561	149.463	83.0628	53.696	52.8802	62.5964	0.940564
0.0560	30.6302	58.3662	27.6518	79.6175	145.794	80.9269	52.476	51.3679	61.0868	0.627043
0.0567	29.7321	57.1535	27.3512	77.4724	142.742	78.791	51.2559	50.1329	59.8792	0.940564
0.0573	29.1127	55.9096	26.7501	75.9403	139.412	76.9642	50.3378	49.2255	58.638	1.25409
0.0580	28.4932	54.386	26.149	74.1295	136.052	74.8282	49.1177	47.9904	57.1284	0.627043
0.0587	27.5951	52.8623	25.5478	71.9845	133	73.0014	47.5956	46.7806	55.5853	0.627043
0.0593	26.666	51.6496	24.6461	70.1459	129.639	71.1606	46.6775	45.8732	54.6796	0.627043
0.0600	26.3563	50.4368	23.9849	68.3351	126.895	69.3338	45.7594	44.9406	53.4384	0.940564
0.0607	25.7368	49.2241	23.6843	66.8029	123.843	67.8162	44.5393	43.7308	51.9288	0.940564
0.0613	25.1484	48.2912	23.0832	65.2707	121.099	65.9753	43.6212	42.4957	50.7212	0.940564
0.0620	24.529	46.7676	22.1815	63.4321	118.047	64.1485	43.0172	41.5883	49.48	0.940564
0.0627	23.9096	45.8658	21.5804	61.9278	115.303	62.926	42.0992	40.681	48.2724	0.940564
0.0633	23.3211	44.9329	21.2798	60.3956	112.251	61.3943	40.5771	39.1434	47.0312	0.940564
0.0640	22.7017	44.3421	20.6787	59.4763	111.018	60.4809	39.961	37.9336	45.5216	0
0.0647	22.7017	43.4093	19.7169	58.2506	108.274	59.2583	38.7409	37.6311	44.314	-0.313521
0.0653	19.9453	37.6255	18.2141	51.2304	96.6821	53.4688	35.3826	32.7414	43.3747	0.627043
0.0660	22.392	49.504	22.1815	63.7386	119.866	64.7528	43.6212	39.7736	41.8651	0.940564
0.0667	23.3211	30.9089	14.8478	44.2103	76.8277	43.3933	26.54	33.6487	43.0728	0.940564
0.0673	-13.3175	-59.1125	11.4815	-63.2093	-114.193	-51.2064	-37.859	-52.4013	37.2693	0.940564
0.0680	-45.0627	-73.7895	95.3986	-120.875	-204.833	-96.9886	-65.9332	-148.231	36.3636	0.940564
0.0687	-32.2407	8.30249	210.454	-99.5358	-166.08	-79.2828	-52.1981	-132.957	53.4384	0.940564
0.0693	-29.4843	40.3619	172.643	-92.5156	-156.307	-75.9243	-49.1539	-19.1306	-24.3542	0.627043
0.0700	-54.1991	1.30601	22.4821	-90.0641	-151.744	-75.3201	-47.0158	50.7378	-155.887	0.940564
0.0707	-79.5333	-33.4898	-34.8653	-81.5118	-138.611	-69.2214	-42.1354	8.94779	-163.234	1.25409
0.0713	-79.2236	-47.8248	-2.52473	-77.8624	-132.198	-68.2939	-42.4374	-71.3303	-146.729	0.940564
0.0720	-45.3414	-64.9273	17.0118	-69.6166	-126.71	-62.7995	-45.4816	-162.875	-142.771	1.25409
0.0727	-12.3884	-65.5492	-23.9248	-67.7779	-110.555	-56.7008	-42.7394	-215.05	-31.0634	1.25409
0.0733	-13.3175	-52.116	-95.6391	-73.5724	-117.246	-65.2446	-45.4816	-149.138	62.5964	0.940564
0.0740	-11.4902	-26.7732	-60.2328	-11.9231	-101.091	-21.3032	-60.1347	-26.4653	53.4384	0.940564
0.0747	18.4277	22.3576	16.05	71.3716	40.202	62.0126	-23.2059	47.083	46.7293	0.940564
0.0753	33.0769	50.7478	13.6455	76.5531	146.411	77.2733	43.6212	57.77	51.6269	0.940564
0.0760	27.8738	46.7676	6.01125	65.5772	130.841	64.1485	52.778	52.2753	48.2724	0.627043
0.0767	28.1835	44.3421	11.4815	69.2265	122.61	66.8887	43.0172	52.8802	47.0312	0.627043
