MR32 ASCII
Name	TBAS30_Fast
Frequency	1500
Date	14-09-2015 13:37:24
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	-0.610345	0.502544	33.6376	23.3984	6.88285	13.6777	-0.294844	-2.56761	79.257	-10159.9
0.0007	-0.915517	0.167515	32.4363	22.8038	6.58031	13.0641	0	-1.93697	77.7248	-10017.7
0.0013	-0.915517	0.167515	31.7605	21.8595	6.27777	12.7641	0	-1.93697	75.914	-9576
0.0020	-0.915517	-0.111676	30.8595	21.2649	5.97522	12.4504	-0.294844	-1.93697	73.7782	-9911.85
0.0027	-1.52586	-0.725897	29.3578	20.0408	5.02978	11.5367	-0.911335	-3.15321	71.3173	-9810.38
0.0033	-1.52586	-0.446706	29.0575	19.726	5.37014	11.2367	-0.603089	-2.88293	69.7851	-9801.35
0.0040	-0.915517	-0.111676	28.7571	19.726	5.37014	11.2367	0.308246	-1.66669	68.903	-9817.22
0.0047	-0.915517	-0.446706	27.8561	19.1314	5.02978	10.9231	0	-1.35137	67.0457	-9817.54
0.0053	-0.915517	-0.111676	27.1804	18.5368	5.37014	10.9231	-0.294844	-1.66669	65.2349	-9801.66
0.0060	-0.915517	0.167515	26.5797	18.2221	5.02978	10.6231	-0.294844	-1.66669	63.7027	-9808.82
0.0067	-1.22069	-0.446706	25.6787	17.3127	4.72723	10.0094	0	-1.35137	62.1705	-9914.03
0.0073	-0.915517	-0.446706	25.078	16.9979	4.42469	10.0094	0	-1.35137	60.3133	-9580.66
0.0080	-0.915517	-0.446706	24.4774	16.6832	4.42469	9.70941	-0.294844	-1.66669	58.5025	-10007.1
0.0087	-1.22069	-0.446706	23.8767	16.3684	4.12215	9.39576	-0.294844	-1.35137	57.2953	-10199.1
0.0093	-0.915517	-0.111676	23.5764	16.0886	4.42469	9.39576	0.308246	-0.720733	56.6917	-4956.23
0.0100	-0.915517	-0.446706	22.9757	15.7738	4.12215	9.09575	0	-1.35137	54.8345	108.319
0.0107	-0.915517	-0.446706	22.2999	15.1792	3.81961	8.79574	-0.603089	-1.66669	53.3023	108.319
0.0113	-0.915517	-0.111676	21.6993	14.8644	3.81961	8.79574	-0.294844	-1.35137	52.0951	-239.672
0.0120	-0.915517	-0.111676	21.3989	14.5497	3.81961	8.4821	-0.294844	-1.35137	50.5629	96.1802
0.0127	-0.915517	-0.446706	20.4979	13.9551	3.51706	8.18209	-0.294844	-1.35137	49.3557	-6.53652
0.0133	-1.22069	-0.725897	19.8972	13.3255	3.21452	7.56843	-0.294844	-1.35137	48.1485	-14.9406
