MR32 ASCII
Name	SORD30_fast
Frequency	1500
Date	16-09-2015 10:31:25
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	-29.9228	-6.05387	23.4369	7.40386	17.5708	-9.70096	-27.6165	23.6315	29.2672	-10174.5
0.0007	-25.3523	-5.41662	21.5302	7.40386	18.1857	-6.9446	-22.7375	27.331	34.7686	-10005.8
0.0013	-33.2793	-8.81528	16.3661	3.73653	15.1109	-10.3095	-27.3168	25.1415	31.7245	-9577.43
0.0020	-39.9923	-9.0808	16.0483	4.35928	15.7258	-8.78814	-26.09	25.4435	28.0569	-9910.44
0.0027	-42.7775	-8.17803	18.1934	4.35928	15.1109	-4.81468	-21.5201	26.727	23.4725	-9807
0.0033	-48.2765	-9.71805	18.5112	1.00333	12.6949	-4.20613	-23.3462	23.9335	13.7167	-9799.54
0.0040	-48.5621	-9.71805	20.9741	0.069195	12.6949	-2.38049	-23.0465	23.6315	2.4206	-9815.38
0.0047	-49.2049	-11.2581	20.6563	-2.97538	10.235	-1.44977	-21.8197	21.5175	-18.9613	-9816.63
0.0053	-53.4183	-12.745	19.7029	-7.26547	8.08255	0.375867	-19.0759	19.7055	-40.3066	-9800.78
0.0060	-54.0611	-11.2581	18.5112	-6.01996	9.00502	5.26214	-23.6552	23.3295	-37.886	-9807.62
0.0067	-54.6324	-12.745	12.3938	-7.85363	8.39004	7.08778	-51.1218	23.0275	-27.5068	-9911.37
0.0073	-48.8478	-14.9222	8.7392	-12.7319	8.39004	8.91342	-74.9175	20.6115	-26.2598	-9576.19
0.0080	-30.2799	-14.9222	7.86528	-16.3992	9.00502	11.6698	-74.9175	20.6115	-28.0936	-10015.1
0.0087	-11.6406	-16.1436	6.27633	-19.7552	7.46757	10.4527	-74.3088	17.516	-30.8443	-10178.8
0.0093	1.78537	-15.1878	10.8843	-19.4438	7.77506	10.1484	-72.7824	15.402	-31.1744	-4896.98
0.0100	11.8549	-10.9394	20.6563	-17.9215	9.92748	12.5826	-59.9715	16.006	-30.2575	110.9
0.0107	17.9966	-6.37249	31.9378	-18.2329	12.0799	13.7997	-60.5802	16.61	-32.3846	110.9
0.0113	13.9973	-5.1511	38.0552	-21.0007	12.0799	11.9741	-76.1443	14.798	-35.4287	-236.71
0.0120	10.9265	-6.63801	37.4197	-22.7997	12.3874	9.2177	-71.2559	9.8905	-36.0522	96.6099
0.0127	15.2114	-8.17803	37.7374	-21.5888	13.2659	8.0006	-38.3016	3.473	-32.9715	-7.45543
