MR32 ASCII
Name	CRYE15_fast
Frequency	1500
Date	14-09-2015 12:57:58
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	179.139	-368.451	-111.705	-1.33831	-0.0628775	-2.07977	-2.91893	184.197	1.38828	-6827
0.0007	192.881	-627.187	-1.22047	0.48328	-0.366785	-1.15922	-1.083	253.774	3.19304	-10533.5
0.0013	153.189	-894.845	111.683	-1.04091	-3.41634	-1.15922	-1.69154	254.691	0.763552	-9720.52
0.0020	104.986	-968.712	140.375	-2.89968	-5.25027	-1.15922	-2.30008	236.076	-1.66593	-9693.52
0.0027	47.2959	-658.293	140.675	-4.08929	-2.20071	-3.88678	-3.21804	225.718	-1.35357	-9906.65
0.0033	-73.8737	-195.077	26.5505	-4.08929	4.82061	-6.03474	-3.52747	115.241	1.97829	-9789.63
0.0040	-219.11	147.975	-125.43	-1.33831	12.1458	-5.42104	-0.474455	-28.7955	6.87197	-9810.53
0.0047	-255.105	348.437	-141.917	-0.743508	15.1954	-6.03474	-0.165028	-39.8047	7.77435	-9816.32
0.0053	-161.141	413.784	-48.2192	-1.67289	14.5876	-8.1827	-3.52747	75.2591	5.0325	-9817.6
0.0060	-62.5729	331.076	78.1313	-1.33831	13.3615	-7.87585	-5.05398	132.317	2.60302	-9790.92
0.0067	4.88306	240.731	221.247	2.00747	12.7536	-2.96623	-3.21804	-136.549	2.91538	-9845.89
0.0073	71.0834	133.266	371.086	6.58005	11.8419	3.1367	0.742625	-447.5	4.44249	-9868.39
0.0080	100.382	19.7729	415.944	5.35326	6.04672	4.94371	0.134085	-361.143	1.66593	-9528.92
0.0087	83.9189	106.099	382.691	1.71007	-2.20071	6.17112	-2.00096	-91.3585	-4.13012	-10343.2
0.0093	87.8951	93.9615	337.513	0.185877	-7.0842	7.70537	-2.91893	97.8397	-7.46199	-9305.51
0.0100	101.637	-107.224	182.192	-0.743508	-9.52594	8.62593	-2.6095	175.969	-7.77435	-2985.79
0.0107	60.6895	-144.76	63.4643	0.780683	-8.90764	11.3535	0.443512	191.211	-4.72014	108.656
0.0113	-2.1625	-264.362	137.014	1.07809	-5.85809	11.0466	2.26913	251.939	-1.35357	-94.5113
0.0120	-16.8117	-495.689	252.08	-1.9703	-3.41634	4.94371	-1.39242	316.662	-1.07591	-121.515
0.0127	42.6919	-391.279	287.474	-4.42387	-0.974601	-0.238662	-5.05398	361.824	-0.138828	91.2966
0.0133	113.217	-154.164	208.122	-5.01868	1.77105	-2.96623	-5.66252	414.62	1.38828	-26.0388
0.0140	108.613	-59.2383	21.0477	-1.04091	7.26235	-1.46607	-2.30008	308.701	5.96959	-4.82201
0.0147	59.5036	119.28	-183.413	4.42387	13.9798	0.988742	2.57856	7.51703	12.0433	0.642934
0.0153	15.8351	280.357	-279.23	1.71007	12.7536	-2.07977	-0.474455	-207.044	9.61382	-0.642934
0.0160	-37.5298	273.686	-209.663	-2.2677	7.87016	-5.72789	-5.66252	-161.557	4.44249	-0.321467
0.0167	-110.776	253.19	-94.5969	-1.33831	5.73233	-4.19363	-4.44544	-102.042	3.81776	-0.321467
0.0173	-164.768	304.471	-65.006	1.37549	4.5167	0.988742	-0.773568	-130.127	4.44249	-0.321467
0.0180	-130.308	432.673	-70.1876	5.35326	4.21279	6.47797	3.49653	-14.7677	6.24725	-0.321467
0.0187	-51.2721	579.443	-31.4324	4.12647	3.29059	3.7504	2.26913	41.9947	5.0325	-0.321467
0.0193	-23.5084	654.837	0.599528	-1.04091	1.16323	-0.545513	-2.00096	-158.213	1.07591	-0.321467
0.0200	-17.9976	573.977	-30.5117	-1.67289	0.24103	1.9093	-0.773568	-308.968	0.763552	-0.321467
0.0207	0.627822	373.756	-64.7062	-1.33831	-1.58242	4.94371	1.36148	-285.469	0.45119	-0.321467
0.0213	9.76612	186.396	-68.9671	-2.2677	-3.41634	5.55741	1.36148	-219.858	-0.763552	-0.321467
0.0220	4.25524	157.379	-107.123	-2.89968	-1.8968	4.63686	1.66059	-169.192	0.173535	0
0.0227	5.51088	162.283	-124.509	-3.79189	-2.80853	2.82985	0.134085	-121.279	-0.763552	-0.642934
0.0233	33.5536	76.841	-17.3863	-3.19708	-6.78029	4.02316	0.134085	-48.328	-3.19304	-1.28587
0.0240	59.2245	84.4769	44.258	-2.5651	-9.82985	7.09167	1.36148	34.9808	-3.81776	-0.642934
0.0247	55.5274	102.482	14.9454	-2.89968	-10.4377	6.17112	0.742625	39.2424	-4.13012	0
0.0253	44.5754	39.6262	106.502	-1.67289	-8.29983	6.17112	0.742625	-78.5441	-2.29066	-0.321467
0.0260	41.227	132.061	204.161	-1.67289	-8.29983	5.86427	1.05205	-218.941	-1.66593	0
0.0267	46.3891	282.849	161.744	-2.89968	-7.99592	2.523	-0.165028	-246.109	-2.88067	0
0.0273	47.2959	107.385	119.327	-2.2677	-4.94636	1.29559	-0.474455	-105.09	-1.66593	0
0.0280	35.9951	-242.098	90.6358	-1.67289	-1.8968	1.29559	-0.165028	101.805	1.07591	0
0.0287	28.3915	-334.21	9.76374	-1.67289	1.46714	0.0681891	0.134085	221.752	3.81776	0
0.0293	32.6467	-190.495	-52.5015	-1.9703	6.35063	-2.07977	1.66059	234.863	6.87197	-1.60734
0.0300	34.1814	-79.4131	-65.9267	-1.67289	10.3119	-3.88678	1.36148	134.774	9.0238	-1.28587
0.0307	10.0452	-124.264	-65.9267	-0.446105	13.0576	-3.57993	1.36148	-77.9522	10.8286	0
0.0313	-35.0883	-5.54606	-44.8575	-1.04091	12.1458	-3.88678	1.66059	-251.288	9.92618	0
0.0320	-55.2483	431.467	-32.9526	-1.04091	9.40018	-2.65938	1.66059	-246.405	8.08671	0
0.0327	-25.0431	675.896	-22.5894	2.89968	8.17407	0.988742	3.79564	-105.712	9.0238	0.321467
0.0333	-8.23144	574.54	61.0234	4.12647	7.26235	1.29559	3.1871	27.0495	8.71144	0.321467
0.0340	-49.4584	434.522	104.361	3.82907	5.12451	1.9093	1.66059	37.7331	6.24725	-0.321467
0.0347	-102.544	411.936	16.7868	2.89968	1.46714	2.82985	1.05205	-70.3168	3.19304	-1.60734
0.0353	-107.427	436.933	-20.4482	1.71007	-0.670693	3.1367	0.742625	-236.638	1.38828	-1.28587
0.0360	-52.179	380.829	61.6443	4.42387	-0.0628775	7.09167	3.1871	-406.926	4.13012	0.321467
0.0367	-0.627822	281.643	97.359	4.12647	-1.58242	7.39852	-0.773568	-441.107	4.44249	0.321467
0.0373	0.279032	187.28	42.4166	-0.148702	-4.64245	4.02316	-7.18903	-277.834	1.07591	0.321467
0.0380	-20.4391	112.207	10.3847	-1.9703	-5.25027	2.21615	-4.74455	-109.056	-0.763552	0
0.0387	-26.8568	77.7252	35.6933	-1.9703	-4.64245	1.60244	-1.39242	-8.37527	-1.35357	-0.321467
0.0393	-1.25564	26.4443	63.1645	2.30487	-1.58242	4.33001	2.88799	92.9566	1.97829	0
0.0400	53.3649	-42.1983	58.9036	5.65066	0.848846	5.86427	6.84866	140.87	4.72014	0.321467
0.0407	102.544	-107.465	29.2912	3.23426	-0.974601	2.82985	5.63158	128.973	2.60302	0
0.0413	115.938	-122.737	6.4021	0.185877	-4.33855	0.37504	4.10507	125.008	-0.45119	0
0.0420	89.081	-34.5624	-10.6844	0.780683	-5.85809	1.29559	5.63158	187.245	-0.45119	0
0.0427	41.227	22.8273	-23.1889	2.60228	-3.72025	3.1367	7.76662	294.969	2.29066	0.321467
0.0433	1.81371	9.96683	-63.7855	2.60228	-8.90764	2.82985	7.4572	299.557	2.60302	0
0.0440	-12.2077	-82.4675	-132.453	2.89968	-31.1872	1.9093	7.15808	180.527	1.97829	-0.321467
0.0447	10.0452	-256.726	-112.005	2.60228	-54.9968	0.37504	5.93069	45.9604	2.29066	0
0.0453	58.2479	-282.688	-18.0072	0.48328	-68.1173	-1.15922	5.93069	-64.5162	0.45119	0
0.0460	85.4536	-144.117	29.591	0.780683	-71.7746	-0.545513	12.0367	-112.43	0.763552	-0.321467
0.0467	70.8044	-14.0661	29.591	5.98524	-65.9794	4.94371	16.9257	-81.0004	5.34487	0
0.0473	38.1576	4.82266	-1.84141	7.80683	-68.1173	9.23963	12.6453	-54.1285	7.49669	0
0.0480	14.9282	-64.1414	-68.6674	5.35326	-73.3047	8.93278	8.37516	3.8473	4.13012	0
0.0487	28.0427	-129.488	-88.8158	6.58005	-58.3503	11.3535	11.1188	95.3834	3.5054	0
0.0493	66.5491	-257.932	-20.4482	8.10424	-41.562	14.1152	14.1718	90.5003	4.72014	0
0.0500	103.451	-424.233	75.0695	7.17485	-29.6677	15.0357	16.3068	-12.0154	4.13012	0.321467
0.0507	136.098	-478.247	135.793	7.17485	-10.1338	17.1496	19.0607	-181.711	3.81776	0.321467
0.0513	125.425	-324.163	136.714	5.65066	7.26235	17.1496	18.7513	-285.469	2.29066	0
0.0520	49.1096	-91.952	176.09	5.65066	14.8915	21.1386	17.8333	-145.073	1.66593	-0.321467
0.0527	-21.3459	-72.0988	230.711	7.17485	23.1284	27.2416	15.3992	131.4	2.91538	0
0.0533	-45.2032	-133.427	103.14	5.98524	46.3302	23.2525	11.7376	353.271	2.60302	0
0.0540	-34.1814	-94.3634	1.22047	6.28264	67.3837	12.274	14.7906	444.836	3.81776	0
0.0547	-3.34838	-108.671	75.9902	2.89968	55.175	-4.19363	13.8727	376.473	2.91538	0
0.0553	-1.25564	-86.406	53.101	0.185877	30.4537	-12.4445	6.84866	133.856	-1.35357	-1.28587
0.0560	-31.4609	53.3708	-46.3778	0.780683	15.8032	-4.80733	-0.773568	-244.57	-4.40778	-1.60734
0.0567	-35.9951	53.0493	-67.7467	-2.89968	-3.41634	2.82985	-15.4301	-491.152	-8.67673	0.321467
0.0573	-3.97621	-59.2383	-57.3834	-4.08929	-24.4803	8.31907	-22.7532	-459.101	-8.67673	0.321467
0.0580	9.48709	-57.7112	-53.4008	-6.54287	-34.5512	6.78482	-19.7002	-341.61	-9.30145	0
0.0587	-2.72056	-12.2978	-51.281	-10.2232	-39.1203	1.60244	-16.6472	-211.927	-12.3557	0
0.0593	-8.58023	-14.3876	-37.235	-7.13768	-45.5338	1.60244	-9.93261	-71.5301	-9.61382	0
0.0600	-6.1387	-38.8224	-16.487	-5.61349	-45.2299	0.0681891	-5.66252	-8.67122	-7.46199	0
0.0607	6.41774	-60.5244	-1.22047	-2.5651	-32.7172	1.60244	-0.474455	7.81297	-4.40778	0
0.0613	17.7185	-67.8388	13.4251	1.07809	-18.6746	4.02316	5.02304	16.6618	-0.138828	0.321467
0.0620	17.9976	-62.9357	16.487	-1.33831	-7.69201	0.988742	2.57856	-6.83635	-1.97829	0
0.0627	12.8355	-47.3424	-3.06187	-0.743508	4.5167	0.0681891	1.66059	-38.5618	-2.29066	-0.321467
0.0633	-0.906854	-44.6096	-22.2896	-1.33831	13.9798	-1.15922	0.134085	-67.2685	-1.66593	-0.321467
0.0640	-3.97621	-52.567	-18.928	-2.2677	20.3828	0.681891	-2.30008	-69.3993	-0.763552	0.321467
0.0647	3.34838	-51.0398	-7.94374	-0.446105	22.2167	5.55741	-0.773568	-35.8391	0.763552	0.321467
0.0653	3.97621	-51.3613	-5.18163	-2.5651	17.941	4.94371	-3.52747	-22.6991	-1.97829	0
0.0660	17.7185	-55.6213	4.26093	-3.79189	24.9624	3.7504	-8.10699	-29.713	-3.81776	-0.321467
0.0667	35.9951	-60.5244	16.1658	-4.72128	42.9663	0.681891	-11.7685	-42.853	-4.13012	0
0.0673	41.506	-60.2029	20.4482	-3.49449	48.1537	1.29559	-12.0677	-32.4653	-2.88067	0.321467
0.0680	38.4367	-52.567	24.1096	-0.743508	35.3371	5.86427	-6.8796	15.7443	-0.45119	0.321467
0.0687	25.95	-50.1557	24.4093	-3.79189	18.2449	4.63686	-6.8796	40.7814	-2.60302	0
0.0693	18.9044	-49.5126	14.0461	-4.42387	16.4215	5.55741	-6.58049	38.325	-2.88067	0
0.0700	18.6254	-49.1911	-8.24351	-3.79189	26.7963	4.63686	-5.35309	29.4762	-1.35357	0.321467
0.0707	25.0431	-53.1296	-21.6686	-3.19708	26.1885	2.82985	-7.79757	20.3315	-0.763552	0.321467
0.0713	38.1576	-52.2455	-18.0072	2.00747	17.0293	7.70537	-6.27106	26.428	2.91538	0
0.0720	34.4605	-52.567	-17.7075	0.780683	14.8915	6.78482	-6.8796	33.4419	2.29066	0
0.0727	24.4153	-55.2998	-20.1484	-2.2677	16.4215	3.1367	-7.79757	35.2768	0.173535	0
0.0733	23.1597	-54.6568	-32.3531	-1.33831	11.538	2.523	-5.66252	33.1459	0.45119	0.321467
0.0740	21.0669	-54.6568	-42.7164	-2.2677	3.60498	1.29559	-4.74455	26.428	0.173535	0.321467
0.0747	20.1601	-54.4157	0.920704	-0.148702	0.544938	4.63686	0.134085	26.428	2.91538	0
0.0753	17.9976	-57.1485	78.4311	0.48328	-1.27851	4.33001	2.26913	23.3797	3.19304	0.321467
0.0760	12.2077	-58.6757	134.273	-1.9703	-3.41634	1.29559	1.05205	9.02635	0.763552	0.321467
0.0767	7.95241	-52.8885	153.501	-2.89968	-3.41634	0.988742	1.36148	-4.08405	0.173535	0
0.0773	8.51048	-47.9855	132.453	-2.2677	-4.94636	1.60244	1.97002	-11.098	0.173535	0
0.0780	17.3697	-46.1368	100.4	2.60228	-7.0842	6.17112	7.15808	1.71649	4.13012	0.321467
0.0787	22.6016	-53.1296	75.6904	4.12647	-10.1338	6.78482	7.15808	17.5792	4.72014	0.321467
0.0793	22.6016	-64.4629	43.3373	1.71007	-13.4872	3.44355	2.57856	10.5653	1.38828	0.321467
0.0800	21.9738	-68.4014	-5.80257	2.00747	-11.9677	3.7504	8.07605	3.8473	1.66593	0
0.0807	17.3697	-67.1957	-80.2725	0.780683	-10.4377	3.1367	11.1188	-3.16662	1.38828	0.321467
0.0813	20.7181	-54.0942	-119.627	3.23426	-10.4377	6.78482	7.15808	-11.4235	4.13012	0.321467
0.0820	28.0427	-33.5979	-85.4541	4.75845	-9.82985	9.23963	1.97002	3.22581	6.24725	0
0.0827	31.1121	-22.988	-34.794	1.71007	-13.1833	4.63686	-4.13601	18.7926	3.19304	-0.321467
0.0833	27.7637	-14.0661	-10.3847	2.89968	-23.862	4.33001	-2.6095	24.2972	3.81776	0
0.0840	8.85927	-9.80608	-24.4093	2.89968	-36.3746	3.7504	-0.773568	22.7582	3.81776	0
0.0847	-1.53468	-9.80608	-41.8171	3.23426	-42.1803	4.02316	-0.773568	9.94378	3.5054	0.321467
0.0853	8.23144	-7.71626	-36.3143	6.58005	-43.6998	6.78482	1.97002	-0.118378	5.34487	-0.964401
0.0860	17.0907	-9.24343	-27.4712	5.35326	-44.0038	5.25056	0.134085	-3.49216	3.5054	-1.60734
0.0867	18.6254	-6.75172	-22.8891	2.60228	-45.5338	4.02316	-2.30008	-5.29743	2.60302	0
0.0873	10.673	1.12529	-23.5101	0.48328	-42.4842	3.1367	-3.21804	-8.67122	2.29066	0.321467
0.0880	6.41774	7.5555	-23.8098	2.89968	-25.392	5.55741	0.443512	3.8473	4.72014	-0.321467
0.0887	8.85927	9.7257	-28.0708	4.75845	-6.16199	6.78482	3.79564	28.5588	7.18433	0.321467
0.0893	6.06895	5.70681	-41.4959	1.07809	8.17407	2.523	-0.773568	37.7331	4.13012	0.642934
0.0900	5.78991	1.76831	-46.9987	0.780683	18.5489	4.94371	-2.00096	31.9326	3.19304	0.321467
0.0907	6.41774	-2.81322	-48.5189	0.185877	14.2837	6.47797	-1.083	17.8751	1.97829	0
0.0913	8.85927	-6.18908	-45.4785	1.37549	10.3119	6.17112	0.134085	4.76473	2.60302	0
0.0920	15.277	-2.1702	-34.794	5.98524	25.8741	8.31907	5.32215	-1.33176	6.24725	0
0.0927	11.3008	1.76831	-33.5736	3.53166	40.8284	4.02316	3.1871	-1.03581	4.13012	-0.321467
0.0933	4.60403	6.02833	-32.9526	1.37549	39.6128	1.29559	-0.165028	8.73041	3.81776	0
0.0940	2.44153	9.08268	-24.7305	2.60228	28.3158	2.523	1.36148	16.9577	5.65723	0
0.0947	0.906854	8.19852	-15.8661	2.30487	11.8419	2.523	1.66059	12.992	5.65723	0
0.0953	4.25524	7.23399	-3.6614	4.75845	2.98668	4.94371	2.26913	6.5996	7.49669	0
0.0960	4.88306	5.70681	7.62257	3.23426	1.46714	4.02316	-0.165028	-0.118378	6.24725	0
0.0967	2.72056	4.50115	14.9454	0.780683	-0.366785	2.82985	-4.13601	-3.78811	3.19304	0
0.0973	1.18589	3.617	13.7249	0.780683	-1.8968	2.82985	-4.44544	-2.24919	1.97829	0
0.0980	1.53468	2.41133	7.02304	1.71007	-1.8968	4.33001	-2.6095	-1.03581	2.29066	0
0.0987	3.97621	4.17964	4.88187	5.65066	-0.974601	8.93278	1.66059	1.39095	5.0325	0
0.0993	-1.53468	4.50115	-3.36164	4.42387	-2.20071	6.47797	-3.21804	0.799054	3.81776	0
0.1000	-7.60362	3.617	-14.6456	2.60228	-3.72025	3.44355	-15.4301	-1.95324	1.97829	0
0.1007	-7.04556	2.41133	-23.8098	3.82907	-3.41634	4.02316	-22.1447	-3.78811	2.60302	0
0.1013	-3.69717	0.241133	-39.9757	5.35326	-2.50462	5.25056	-23.0523	-5.62297	3.5054	0
0.1020	3.97621	3.617	-54.3215	9.33103	-0.974601	9.23963	-19.7002	-2.24919	6.87197	0.321467
0.1027	7.32459	5.70681	-61.0448	7.50943	-1.58242	6.78482	-24.2797	0.177568	5.34487	0.321467
0.1033	3.97621	4.17964	-61.6443	2.60228	-3.11244	1.9093	-34.6558	0.177568	1.07591	0
0.1040	2.44153	3.617	-54.9424	2.30487	-3.41634	1.29559	-35.8729	2.63392	0.173535	-0.321467
0.1047	1.81371	3.29548	-44.258	2.89968	-3.11244	2.21615	-33.4285	2.01243	1.07591	0
0.1053	1.53468	4.17964	-25.3301	5.98524	-1.58242	5.25056	-29.4678	3.55135	3.81776	0
0.1060	-5.16209	2.08982	-2.44093	5.98524	-2.20071	4.94371	-25.4968	3.8473	3.19304	0.321467
0.1067	-14.3701	-0.964532	17.3863	2.00747	-4.33855	1.60244	-24.2797	-3.49216	-0.45119	0.321467
0.1073	-17.0907	3.29548	30.8114	-1.33831	-5.85809	-0.852364	-22.1447	-9.26311	-1.97829	-0.321467
0.1080	-14.6492	12.137	44.258	0.185877	-5.55418	0.37504	-11.7685	-5.00149	-0.763552	-0.321467
0.1087	-7.95241	19.1299	62.2438	6.58005	-3.41634	5.55741	11.7376	-0.739865	4.72014	0
0.1093	-8.85927	22.8273	58.9036	4.75845	-5.25027	3.7504	21.4949	-8.96716	4.72014	0
0.1100	-15.556	27.9714	36.0145	-0.743508	-7.69201	-0.545513	16.6162	-13.2584	0.173535	-0.321467
0.1107	-16.4629	27.9714	15.5663	-1.04091	-7.3881	-0.545513	16.6162	-4.70554	-0.138828	0
0.1113	-13.7423	23.4703	0	-0.446105	-6.4659	0.988742	18.1427	3.8473	1.07591	0
0.1120	-7.60362	25.2386	-3.6614	2.60228	-4.64245	6.47797	25.1564	11.1572	4.13012	0
0.1127	-4.60403	25.2386	-4.28234	2.60228	-4.33855	7.39852	29.1274	13.3176	5.0325	0
0.1133	-10.3939	19.1299	-9.76374	-2.89968	-6.4659	1.9093	23.3308	6.5996	2.60302	0
0.1140	-15.556	15.5129	-13.4251	-5.61349	-8.29983	-1.15922	18.7513	2.30838	2.60302	0.321467
0.1147	-18.6254	14.8699	-14.3458	-5.01868	-9.82985	-0.238662	16.3068	2.01243	3.5054	0
0.1153	-19.2532	17.3616	-11.284	-0.446105	-9.52594	3.7504	18.4522	1.095	5.0325	-1.60734
0.1160	-19.2532	20.9786	-7.94374	2.00747	-8.29983	6.17112	21.4949	0.799054	6.24725	-1.60734
0.1167	-22.2528	19.7729	-11.284	-2.2677	-10.1338	2.82985	13.5632	1.71649	5.34487	0.321467
0.1173	-25.0431	17.0401	-8.84304	-5.01868	-12.8794	0.988742	2.26913	1.095	3.19304	0.321467
0.1180	-21.9738	18.5672	7.02304	-1.33831	-12.2716	4.94371	-2.30008	2.01243	4.72014	0
0.1187	-14.9282	21.6216	17.0865	2.89968	-9.22203	8.62593	-5.35309	6.27405	7.77435	0.321467
0.1193	-15.9048	18.8888	3.96117	0.185877	-9.52594	3.7504	-9.6335	3.22581	4.44249	0
0.1200	-19.5322	14.3072	-20.7479	-2.89968	-10.4377	-0.238662	-14.2027	-3.16662	-0.45119	0
0.1207	-18.3464	14.8699	-42.1168	-2.5651	-9.22203	0.988742	-20.6182	-3.78811	-1.97829	0
0.1213	-15.9048	18.8888	-48.8401	-1.33831	-8.60373	3.44355	-26.7139	-3.16662	-1.35357	-0.321467
0.1220	-11.0218	26.7658	-38.1557	2.60228	-5.85809	8.31907	-27.3327	-0.118378	2.29066	-0.321467
0.1227	-8.58023	31.0258	-24.7305	4.75845	-3.41634	8.31907	-26.1053	2.30838	1.66593	0
0.1233	-11.3008	27.0873	-24.4093	2.00747	-4.64245	3.1367	-30.9943	-1.33176	-4.13012	0
0.1240	-15.556	23.7114	-36.614	-1.04091	-5.55418	-0.238662	-33.1293	-5.91892	-6.55961	-0.321467
0.1247	-14.9282	25.5601	-40.5966	-0.148702	-3.72025	1.60244	-27.0233	-3.78811	-4.13012	0.321467
0.1253	-11.9286	25.8816	-19.2277	1.07809	-3.11244	3.44355	-20.9173	-1.03581	-3.19304	-0.642934
0.1260	-11.5798	21.3001	18.928	-0.743508	-4.64245	0.681891	-14.2027	-3.78811	-6.24725	-0.964401
0.1267	-9.48709	16.397	48.2192	-2.89968	-4.94636	-1.15922	-3.21804	-2.57473	-7.18433	0
0.1273	-5.78991	12.78	56.7624	-2.89968	-4.64245	-0.852364	3.79564	1.095	-5.93488	0
0.1280	-3.69717	10.2883	48.2192	-1.9703	-4.33855	-0.852364	3.1871	0.799054	-5.65723	-0.321467
0.1287	-3.34838	10.6099	32.6529	-1.67289	-3.41634	-0.238662	2.57856	-0.414324	-5.0325	0
0.1293	-5.51088	10.2883	17.7075	-2.89968	-4.94636	-1.46607	9.90167	-1.33176	-5.0325	0.321467
0.1300	-7.32459	9.96683	7.02304	-2.5651	-6.16199	-2.07977	21.8043	-1.95324	-3.19304	0.321467
0.1307	-8.23144	12.4585	0.920704	-0.743508	-5.55418	0.0681891	23.3308	-1.95324	-0.45119	0
0.1313	-8.23144	16.7186	-1.22047	2.00747	-4.02416	2.82985	18.4522	0.473514	2.60302	0
0.1320	-3.34838	20.9786	8.24351	5.65066	-2.50462	6.47797	20.8863	5.68216	7.18433	0
0.1327	-3.69717	22.1842	31.7322	4.75845	-1.8968	4.63686	12.9547	6.5996	6.55961	0
0.1333	-10.0452	22.1842	55.542	1.07809	-2.20071	0.37504	-21.5258	5.35662	2.29066	0
0.1340	-14.9282	23.7114	62.565	-1.67289	-2.50462	-2.07977	-56.9346	6.5996	0.173535	0
0.1347	-17.3697	25.8816	54.0217	-3.19708	-1.58242	-3.57993	-62.4218	8.10892	-0.138828	0
0.1353	-15.556	30.7846	42.7164	-2.2677	1.16323	-2.96623	-50.5191	11.7786	1.97829	0
0.1360	-13.1145	33.196	28.9915	-5.31608	1.16323	-3.57993	-40.7516	14.8269	1.38828	0
0.1367	-13.4633	33.5175	13.4251	-8.99645	0.544938	-5.72789	-24.5788	16.9577	0.173535	0
0.1373	-17.3697	33.839	-13.7249	-11.7474	-0.366785	-9.68286	-5.96163	17.2832	0.763552	0
