MR32 ASCII
Name	TBAS30_slow
Frequency	1500
Date	14-09-2015 11:30:13
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	4.8129	5.12034	-6.01597	-0.633075	0.789761	0.207506	-0.0623121	1.13395	-0.400503	-9982.99
0.0007	42.6477	8.42011	-2.96892	1.20066	0.170102	2.6284	2.98208	3.84733	2.02755	-10098.6
0.0013	53.9446	4.21005	-3.88043	-0.938697	-2.57583	-0.415011	-0.676531	1.13395	-0.100126	-9553.16
0.0020	58.8244	-0.682711	-1.43238	-0.633075	-2.57583	-0.726269	-0.97919	-1.94391	0.500629	-9902.95
0.0027	62.7683	-0.113785	5.57324	3.34002	0.486006	2.6284	2.37676	-1.33644	3.85484	-9815.35
0.0033	68.8513	0.22757	6.79727	3.34002	1.09351	4.1847	2.37676	-2.55139	2.95371	-9796.12
0.0040	69.1855	-0.682711	4.97425	0.589415	0.170102	5.7064	0.854565	-4.65729	1.10138	-9815.35
0.0047	14.5724	0.568926	3.4377	-0.633075	-0.133652	6.91685	0.240347	-3.15886	1.42679	-9815.35
0.0053	-61.7656	2.38949	0.0781295	-2.46681	-1.34867	5.7064	-1.59341	-1.33644	0.200251	-9802.11
0.0060	-78.2097	2.95842	-0.833382	-2.77243	-1.95618	5.7064	-3.1156	-1.94391	-0.725912	-9800.22
0.0067	-53.2093	4.21005	3.4377	0.895037	0.486006	9.96027	0.543005	0.809964	2.95371	-9914.3
0.0073	-36.431	6.37197	5.57324	3.03439	1.39727	12.727	3.29364	3.84733	6.00754	-9604.21
0.0080	-24.5324	7.50983	3.12518	2.11753	0.486006	12.4157	2.67942	2.95637	5.38176	-9924.38
0.0087	-15.3746	7.85118	0.703166	0.895037	-0.133652	10.5828	1.45988	2.02491	4.15522	-10325.9
0.0093	-14.4387	5.68926	-1.43238	-2.16119	-1.04491	5.98308	-0.97919	-0.728967	1.42679	-5444.81
0.0100	-12.6339	2.95842	-1.43238	-4.30054	-1.34867	2.6284	-3.1156	-2.83487	-0.400503	111.241
0.0107	-8.02151	4.21005	0.989641	-2.16119	0.789761	5.98308	-0.676531	-0.0809964	0.801006	111.241
0.0113	-4.67921	7.50983	4.06274	-0.0218302	3.23194	10.894	1.15722	2.95637	2.02755	-259.037
0.0120	-2.20591	8.76146	4.06274	-1.24432	2.91604	10.5828	0.240347	3.23986	0.801006	90.4422
0.0127	-0.401075	7.85118	3.12518	-3.07805	2.30853	7.81604	-0.373872	4.17131	-1.62704	2.52104
0.0133	-4.67921	6.37197	2.21367	-5.21741	1.70102	3.25092	-1.89607	2.63238	-4.98126	-16.7019
0.0140	-11.3638	6.03062	1.30216	-7.35677	1.70102	0.207506	-3.1156	1.41744	-7.13396	2.83617
0.0147	-11.698	8.19254	3.75022	-5.21741	3.5357	-0.103753	-0.373872	5.71024	-4.68088	0.31513
0.0153	-9.55896	9.44417	6.48475	-3.38368	4.44696	-3.14717	0.854565	7.53266	-2.85358	0.31513
0.0160	-4.9466	10.0131	4.97425	-4.60617	2.91604	-6.8131	0.240347	6.92519	-2.55321	0.31513
0.0167	2.07222	11.2647	1.9272	-4.60617	0.789761	-7.74687	0.240347	8.46412	-1.32667	0.630259
0.0173	4.47868	10.582	0.989641	-3.6893	-0.437406	-7.74687	-0.373872	8.46412	-1.92742	0.630259
0.0180	2.67384	9.67174	0.989641	-1.85556	-1.04491	-6.50184	-0.373872	6.92519	-1.02629	0.31513
0.0187	2.33961	10.9234	-1.1459	-0.633075	-2.27208	-6.8131	-0.0623121	7.20868	-0.725912	0.630259
0.0193	3.54283	13.0853	-2.34389	-0.938697	-1.65242	-7.12436	0.543005	8.14014	-2.85358	0.630259
0.0200	6.28351	14.9059	-1.43238	0.283792	-1.65242	-5.91391	2.37676	8.74761	-1.02629	0
0.0207	6.61774	13.9956	-1.1459	-0.0218302	-3.18334	-6.8131	2.37676	6.92519	-3.15396	-0.630259
0.0213	1.73799	10.9234	0.0781295	-1.54994	-3.4871	-9.26858	0.543005	3.84733	-14.1428	0
0.0220	-13.2355	8.19254	0.390648	-1.54994	-3.4871	-11.1015	-0.97919	2.63238	-7.13396	0.630259
0.0227	-23.2624	7.28225	-0.208345	-0.633075	-3.4871	-11.6895	-1.59341	2.02491	23.079	0.630259
0.0233	-4.34498	8.42011	4.06274	1.8119	-1.95618	-9.26858	1.45988	2.3489	44.1555	0.630259
0.0240	18.2489	9.67174	7.42231	3.03439	-1.04491	-7.43562	3.5963	3.23986	38.3482	0.945389
0.0247	15.174	10.0131	5.88576	1.20066	-1.34867	-8.64607	2.98208	2.3489	10.5633	0.945389
0.0253	0.200538	9.67174	2.83871	-3.07805	-1.34867	-10.7903	0.543005	-0.0809964	-8.96125	0.630259
0.0260	-10.7622	9.67174	-0.520864	-5.82866	-1.65242	-10.7903	-1.59341	-1.33644	-12.0151	0.630259
0.0267	-15.0403	13.6542	-1.74489	-4.30054	-1.34867	-5.29139	-0.676531	2.63238	-8.03509	0.630259
0.0273	-13.2355	17.6367	-0.208345	-0.938697	-0.133652	1.1067	2.67942	7.20868	-5.90742	0.630259
0.0280	-3.74337	15.8161	1.61468	0.895037	0.789761	2.04047	3.29364	5.99373	-42.5284	0.945389
0.0287	17.3131	11.2647	1.30216	2.11753	-0.437406	-1.3142	0.543005	1.41744	-78.849	0.630259
0.0293	41.1102	8.19254	3.75022	5.17375	-1.04491	-1.62546	-0.0623121	-1.01245	-42.5284	0.630259
0.0300	43.5167	7.50983	6.79727	6.09062	-1.95618	0.207506	1.15722	-1.01245	8.43559	0.630259
0.0307	26.471	8.42011	6.48475	3.64564	-3.18334	0.795438	1.15722	0.526476	10.2629	0.630259
0.0313	11.8317	10.3545	6.48475	5.17375	-3.4871	1.1067	2.0741	2.95637	12.0902	0.945389
0.0320	-5.28083	10.582	5.88576	5.17375	-3.4871	0.518764	1.45988	2.3489	6.90868	0.945389
0.0327	-23.5966	9.67174	4.66173	3.95126	-3.4871	0.795438	0.543005	-1.33644	-33.9927	0.630259
0.0333	-26.0031	7.50983	2.83871	10.3475	-5.01802	-0.103753	-0.0623121	-5.91274	-66.0329	0.31513
0.0340	-14.4387	6.9409	2.52619	21.6555	-6.84054	-0.726269	-0.676531	-6.19622	-83.7302	0.630259
0.0347	-6.48405	10.0131	5.57324	28.0518	-5.92928	2.6284	2.37676	-1.33644	-103.255	0.630259
0.0353	-9.82635	12.7439	4.97425	27.1349	-5.32177	2.6284	2.98208	2.02491	-101.427	0.630259
0.0360	-16.2436	14.2232	3.12518	26.218	-4.70211	1.1067	1.15722	2.95637	-83.1044	0.630259
0.0367	-18.3826	14.9059	4.97425	27.1349	-3.18334	4.46137	2.98208	4.17131	-57.4722	0.630259
0.0373	-11.3638	14.2232	4.97425	26.5237	-2.27208	7.81604	5.43005	4.4953	32.2405	1.26052
0.0380	9.35843	13.9956	2.83871	24.0787	-1.95618	8.74982	4.51317	3.23986	164.682	1.26052
0.0387	20.6554	14.9059	2.83871	13.4037	0.170102	9.96027	3.5963	2.3489	198.574	0.945389
0.0393	4.8129	14.9059	4.34921	-5.52303	2.91604	11.7932	3.89895	4.17131	105.482	0.630259
0.0400	-6.21667	14.2232	6.19828	-12.5305	0.486006	13.9375	5.43005	5.10277	18.8236	0.630259
0.0407	0.200538	13.9956	6.19828	-8.55743	-3.4871	14.2487	5.11849	1.41744	-3.77975	0.630259
0.0413	-2.80753	14.9059	5.26072	-9.77992	-4.70211	13.0037	3.29364	-1.01245	14.2429	0.945389
0.0420	-11.9654	14.9059	3.4377	-13.1418	-3.4871	13.0037	2.37676	-0.728967	67.9353	0.945389
0.0427	-7.75412	15.4748	4.06274	-18.3373	-1.04491	13.9375	3.89895	-0.404982	112.817	0.630259
0.0433	-0.401075	16.7264	6.19828	-15.8924	0.170102	14.56	5.43005	0.202491	115.245	0.630259
0.0440	-4.9466	15.4748	4.34921	-2.77243	-2.27208	10.2715	2.67942	-3.15886	96.9468	0.630259
0.0447	-7.4199	12.7439	1.9272	5.785	-4.39836	5.08389	-1.59341	-8.01864	77.0968	0.630259
0.0453	0.802151	12.7439	3.12518	5.17375	-4.0946	3.87344	-1.89607	-8.01864	46.2831	0.630259
0.0460	11.4975	12.4026	5.57324	0.895037	-4.70211	2.35173	-1.28185	-6.52021	-1.62704	0.630259
