MR32 ASCII
Name	TYR30_slow
Frequency	1500
Date	26-08-2015 09:35:05
"Time,s"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	27.988	-20.8966	51.7607	-89.716	163.157	55.7032	9.17465	44.4043	-10174.1
0.0007	15.7732	-3.49881	60.6099	-76.6084	157.048	37.09	30.8431	37.3695	-10004.5
0.0013	3.5926	4.10869	62.1199	-56.4662	171.995	-0.446419	49.756	22.7398	-9576.24
0.0020	-6.19295	3.49881	58.4679	-49.1297	171.995	-41.641	70.2033	13.8904	-9909.5
0.0027	-7.4247	-0.77038	54.1837	-29.6099	197.635	-61.1718	79.3623	15.7051	-9805.76
0.0033	-7.73264	-1.05927	49.0217	-10.3729	232.129	-63.9248	80.5835	16.0187	-9798.62
0.0040	-13.2071	6.54823	38.0305	-18.3128	199.158	-53.2355	77.5305	12.6581	-9814.77
0.0047	-14.7468	10.5285	10.8508	-45.4709	144.529	-48.9697	54.6408	12.3445	-9815.08
0.0053	-4.65327	3.8198	-29.7431	-75.0808	116.16	-50.495	15.5781	16.9373	-9798.93
0.0060	3.86632	2.60003	-44.0704	-96.1283	81.3642	-37.9828	0.313128	20.9027	-9806.69
0.0067	3.86632	6.54823	-14.4677	-91.2436	15.4541	-41.0334	5.51105	12.9718	-9910.43
0.0073	9.6829	5.64945	22.1581	-34.7963	-17.5168	-58.4313	-8.83021	0.448076	-9574.69
0.0080	21.2819	-0.77038	40.4534	35.7016	10.2657	-63.6147	-42.1	-4.7272	-10014.2
0.0087	27.6801	-12.6792	43.1925	51.2609	28.2585	-70.0258	-77.4992	-7.16921	-10176.9
0.0093	31.957	-19.0669	46.5636	32.3445	10.2657	-63.0071	-91.2298	-7.16921	-4895.43
0.0100	32.2649	-14.7977	53.9028	24.1028	-44.982	-30.6541	-72.0038	-1.68028	112.121
0.0107	22.5136	-12.6792	41.3665	14.0317	-107.544	-0.744032	-48.5035	1.36663	112.121
0.0113	18.2367	-12.6792	8.4278	-9.16585	-142.022	27.6284	-32.033	7.16921	-236.044
0.0120	25.8667	-8.08899	-11.1317	-25.9511	-162.157	47.7793	-16.1574	14.1816	97.2128
0.0127	22.5136	-8.69888	0.772548	-27.1581	-161.253	28.856	-4.25854	1.36663	-6.52227
0.0133	12.4201	-9.30876	28.8652	3.96055	-134.692	2.91413	8.86152	-19.6929	-13.9763
0.0140	10.9146	0.160496	59.3809	45.1692	-105.402	-16.3191	24.1265	-25.7868	2.17409
0.0147	5.406	3.8198	87.1575	52.7885	-108.766	-62.0895	33.2698	-27.6239	-0.310584
0.0153	0.205291	-2.27904	97.2358	53.0903	-143.244	-94.7401	37.544	-26.1004	-0.310584
0.0160	9.37497	-6.25934	91.4416	65.3114	-157.588	-73.994	35.4148	-12.9718	0
0.0167	19.4342	-12.9681	86.5254	66.8391	-145.386	-43.4763	24.1265	1.36663	0.310584
0.0173	15.4653	-18.457	79.5374	65.6132	-149.036	-16.3191	20.1498	2.89009	0.310584
0.0180	6.32981	-16.0175	62.752	55.5421	-151.479	39.8429	25.3477	-1.68028	0
0.0187	4.17425	-14.7977	47.1606	26.5546	-105.101	80.4299	15.5781	-3.80864	0
