MR32 ASCII
Name	CORE30_slow
Frequency	1500
Date	03-09-2015 10:47:20
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	-30.761	6.8515	9.87633	-3.56358	2.76344	6.01385	28.3389	11.4286	1.36639	-9874.06
0.0007	-67.3869	5.01843	8.34379	-4.4916	-0.278879	-0.697258	20.712	6.53517	-1.06013	-10147.7
0.0013	-91.8041	2.28383	5.58523	-3.26662	-1.81271	-1.00231	0.567883	1.052	-1.36639	-9545.2
0.0020	-132.38	-0.781312	1.94121	-2.63557	-3.6381	1.13304	-14.3864	1.6577	-0.753871	-9899.43
0.0027	-154.962	-3.2154	-1.73687	-3.26662	-6.38887	3.8785	-14.694	5.62662	-1.06013	-9821.1
0.0033	-147.661	-5.04848	-5.07439	-3.26662	-6.99733	8.75931	-13.4714	5.02093	-0.447611	-9796.04
0.0040	-179.1	-7.78307	-9.36548	-3.26662	-7.91002	9.36941	-13.1638	-2.31122	-1.06013	-9817.29
0.0047	-244.093	-10.8482	-12.3965	-2.96965	-10.3566	7.84416	-14.3864	-11.1576	-3.20395	-9816.66
0.0053	-288.938	-10.2472	-11.7835	-2.96965	-10.6608	9.36941	-19.8759	-13.8992	-3.51021	-9805.24
0.0060	-277.048	-5.64949	-9.05897	-4.4916	-10.0523	10.8947	-22.6286	-8.41603	-2.28517	-9798.58
0.0067	-246.527	-0.180303	-6.30041	-6.31051	-9.74809	11.1997	-19.8759	-1.08388	-0.753871	-9915.92
0.0073	-252.95	1.65278	-5.6874	-7.23853	-8.83539	13.3351	-18.3537	-0.781033	1.06013	-9621.62
0.0080	-214.489	0.751261	-5.6874	-7.53549	-5.7804	16.6906	-12.5565	-2.00837	3.81647	-9881.98
0.0087	-61.2826	1.05177	-5.38089	-9.05744	-3.94234	17.6058	10.0326	5.62662	4.73525	-10391.3
0.0093	91.6046	5.31893	-2.04338	-10.2824	-3.94234	16.3856	30.784	18.1391	4.12273	-5724.14
0.0100	113.588	11.4192	4.08676	-9.65137	-3.33387	14.8603	30.784	20.8807	3.81647	62.474
0.0107	40.9348	13.2523	7.73078	-9.05744	-2.72541	13.3351	28.0313	13.2616	1.97891	109.092
0.0113	-52.4253	13.2523	8.6503	-8.12942	-3.02964	13.9452	29.8691	7.15681	0.753871	-269.875
0.0120	-137.567	16.6179	11.4089	-5.71658	-2.11695	16.0805	26.8167	8.36821	1.97891	84.6728
0.0127	-202.879	18.451	12.3284	-4.15751	-1.20425	16.6906	23.7643	11.4286	3.51021	6.02541
0.0133	-186.72	12.9517	6.50475	-6.60748	-2.42118	14.2502	21.6269	12.0343	3.51021	-19.0276
0.0140	-93.6394	7.45251	1.02169	-8.46351	-3.94234	13.6401	21.3193	12.64	3.20395	2.21989
0.0147	-63.437	6.8515	1.3282	-6.31051	-3.02964	14.8603	21.9345	10.8069	3.81647	-2.85414
0.0153	-115.623	6.8515	1.6347	-3.86055	-2.11695	13.9452	18.2669	5.92947	3.51021	-3.48839
0.0160	-190.391	4.71792	0.408676	-3.86055	-0.900019	16.3856	19.1818	-2.91692	4.73525	-0.634253
0.0167	-208.065	4.71792	2.55422	-3.56358	0.938048	20.0462	26.2015	-12.6878	6.57281	0.317127
0.0173	-83.5853	6.551	6.19825	-1.41059	1.85074	20.0462	25.5942	-17.5653	6.26655	-0.317127
0.0180	176.147	2.88484	4.39326	-1.74467	-0.278879	16.6906	19.4894	-30.0777	3.20395	-0.317127
0.0187	413.857	-1.98333	1.02169	-1.74467	-1.20425	14.5553	18.5745	-42.5902	2.28517	-0.317127
0.0193	437.995	-0.180303	2.24772	2.22724	0.938048	15.4704	20.4044	-35.274	5.65403	-0.317127
0.0200	318.98	-0.480807	1.02169	3.15526	-0.278879	13.3351	17.9672	-24.5946	5.04151	0
0.0207	226.817	-5.64949	-4.76788	1.93027	-2.42118	10.2846	13.9999	-23.9729	1.97891	0
0.0213	172.796	-6.58105	-8.13945	3.74919	-0.278879	11.1997	12.7774	-21.837	2.89769	-0.317127
0.0220	133.098	-7.18206	-11.1705	4.08327	0.633816	10.5896	9.41739	-16.0351	2.28517	0
0.0227	109.598	-9.31564	-13.929	1.93027	-1.20425	8.45426	5.1425	-12.0821	-1.36639	0.317127
0.0233	89.4502	-9.31564	-14.2355	1.00226	-1.20425	8.75931	6.06531	-10.2491	-1.67265	0
0.0240	65.6713	-8.11362	-14.2355	0.705293	-0.278879	8.45426	6.36502	-5.35565	-1.36639	0
0.0247	50.1113	-6.58105	-13.929	0.111362	-0.900019	6.3189	4.53518	2.2634	-2.59143	0.317127
0.0253	41.254	-3.81641	-10.898	1.33634	-2.11695	6.3189	5.7577	6.23232	-4.12273	0
0.0260	37.2643	1.35227	-3.23535	4.97417	-0.595787	9.67446	-0.954359	9.89839	-2.28517	-0.317127
0.0267	29.6438	5.01843	1.3282	4.38024	-1.20425	9.06436	-26.8956	12.0343	-2.89769	0.317127
0.0273	0.0398975	1.98333	-1.12386	1.00226	-6.08463	4.4886	-47.9546	8.36821	-8.08056	0.317127
0.0280	-43.608	1.05177	-3.54185	1.63331	-5.7804	5.40375	-56.4965	8.67106	-8.08056	0
0.0287	-94.2379	5.61944	0.715182	2.85829	-3.33387	7.23405	-65.0463	12.0343	-4.73525	0
0.0293	-135.452	6.8515	4.08676	-0.222724	-5.17194	4.18355	-74.5031	13.2616	-5.04151	0
0.0300	-167.49	4.41742	1.94121	-1.41059	-5.47617	3.57345	-73.2806	16.3061	-3.81647	-0.317127
0.0307	-230.647	2.28383	-2.9629	-1.74467	-4.5508	6.3189	-57.1117	18.4419	0.164909	0
0.0313	-285.586	-0.480807	-9.05897	-4.78857	-6.99733	5.40375	-46.4323	15.0787	1.06013	0.317127
0.0320	-263.922	-2.61439	-11.1705	-7.83246	-8.83539	2.96335	-39.7124	9.59555	1.67265	0
0.0327	-199.527	-1.08182	-6.91343	-7.53549	-5.47617	5.7088	-17.1311	1.35485	8.69308	0
0.0333	-159.231	-0.480807	-3.84836	-8.46351	-3.6381	5.0987	24.979	-11.4605	13.287	0.317127
0.0340	-137.567	-3.5159	-4.46137	-12.1013	-6.38887	0.827994	62.8221	-25.806	10.2244	0.317127
0.0347	-100.342	-4.14696	-2.65639	-11.2104	-5.7804	2.96335	73.2017	-36.4854	9.3056	0
0.0353	-50.3107	-1.98333	0.102169	-8.46351	-2.72541	7.84416	69.2344	-38.0156	11.4494	0
0.0360	-19.47	-1.68283	0.715182	-11.8044	-3.33387	6.62395	71.0642	-29.472	10.2244	0
0.0367	17.4352	-1.68283	0.408676	-14.5513	-4.5508	2.35325	68.9268	-17.2624	6.87907	-1.58563
0.0373	113.269	-1.08182	0.408676	-11.5074	-2.11695	2.6583	57.9398	-8.71888	6.57281	-1.26851
0.0380	189.274	-1.68283	-0.510844	-10.8764	-1.50848	4.79365	51.2278	-5.35565	8.08056	0.634253
0.0387	183.449	-3.81641	-2.9629	-11.8044	-3.33387	4.18355	52.75	-5.6585	7.16178	0.317127
0.0393	125.478	-2.61439	-1.12386	-7.53549	0.0253526	8.45426	58.555	-4.14426	8.08056	0
0.0400	36.985	1.65278	4.97222	-4.78857	2.76344	10.8947	58.555	-1.38673	8.99934	0
0.0407	-6.98206	3.48585	8.6503	-7.53549	0.329584	5.40375	47.2605	2.88504	5.04151	0
0.0413	38.8203	5.01843	10.1828	-6.90444	0.938048	2.6583	33.5288	10.2012	3.20395	0.317127
0.0420	80.9121	5.94999	10.4893	-3.56358	4.29727	4.4886	25.9018	13.2616	4.73525	0.317127
0.0427	73.2917	2.58434	7.11777	-2.96965	3.3719	2.96335	21.9345	6.83802	3.20395	0
0.0433	71.4564	0.751261	5.89174	-3.56358	2.45921	1.13304	18.2669	0.127516	1.97891	0.634253
0.0440	63.5168	2.58434	10.1828	-3.26662	4.29727	2.0482	13.3847	-5.0528	4.12273	-0.317127
0.0447	33.9129	1.35227	10.7958	-3.86055	5.20997	0.522944	4.84278	-16.0351	4.42899	-2.53701
0.0453	18.9912	-1.68283	7.42427	-3.26662	5.5142	1.13304	-1.56957	-22.4587	4.12273	-1.58563
0.0460	-1.15703	-2.31389	5.89174	-1.41059	6.42689	6.01385	-0.954359	-18.171	6.87907	0.634253
0.0467	-31.9978	-2.91489	3.47374	-1.41059	6.42689	6.62395	0.26028	-11.4605	8.08056	0.634253
0.0473	-43.2888	-6.88155	-1.12386	-2.3386	3.68881	1.74315	-2.17688	-5.97729	4.42899	0.317127
0.0480	-46.9594	-8.41413	-1.73687	-0.222724	3.06767	1.4381	-2.48449	-1.70552	2.28517	0.317127
0.0487	-45.1241	-5.94999	1.02169	4.97417	4.90574	3.57345	-0.34704	1.96055	4.42899	0.317127
0.0493	-42.9696	-5.94999	-0.510844	7.7211	4.29727	1.13304	-1.26196	2.2634	3.81647	0.634253
0.0500	-39.299	-8.11362	-3.84836	8.64911	3.3719	-2.54209	-1.86928	-0.781033	1.06013	0.317127
0.0507	3.71047	-9.9467	-5.6874	9.54001	2.15497	-3.76229	-1.26196	-2.31122	0.164909	0
0.0513	86.0988	-9.9467	-5.38089	9.24304	0.633816	-5.28754	-2.17688	-0.781033	-0.141351	0.317127
0.0520	144.708	-9.9467	-4.46137	6.8302	-0.900019	-7.42289	-5.22926	0.749154	-1.67265	0.634253
