MR32 ASCII
Name	CYRE30_fast
Frequency	1500
Date	05-09-2015 14:45:47
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	148.001	-98.7913	5.87122	13.3097	15.8887	4.71487	1.66882	1.04914	-3.25137	-8499.87
0.0007	133.966	-61.2805	7.7026	14.2329	17.0955	5.01906	2.88835	4.11151	-24.3146	-10486.3
0.0013	82.0978	-43.5585	6.49066	12.0973	16.1703	4.41069	1.98058	4.42342	-19.7344	-9555.59
0.0020	19.8086	-30.4297	2.82788	13.6129	14.9636	4.1065	0.751888	3.20414	22.9858	-9812.27
0.0027	-13.1432	26.6021	1.91218	29.7885	16.1703	5.01906	1.06365	2.58033	62.6525	-9869.6
0.0033	-22.5781	23.8845	0.377051	41.3897	16.8139	6.2358	1.98058	2.26842	91.0383	-9785.86
0.0040	-34.7825	-63.4239	-4.49767	8.12914	14.9636	5.93161	1.98058	-2.29678	110.886	-9815.49
0.0047	-44.2643	-86.007	-7.54101	-60.2383	13.1534	6.84417	1.66882	-8.70506	111.48	-9816.13
0.0053	-51.5869	-45.0896	-5.11711	-96.5577	11.3031	8.36509	1.66882	-7.48579	107.521	-9813.88
0.0060	-54.3094	6.77492	-0.215457	-74.2783	9.49301	7.75672	0.14671	-5.04723	38.8468	-9785.54
0.0067	-41.2132	59.9025	0.996491	-29.7196	9.17121	4.71487	-1.68716	-5.9546	-99.6898	-9887.31
0.0073	-37.5519	28.7456	-1.45434	-3.77523	10.378	1.67302	-2.6041	-7.79769	-162.257	-9768.79
0.0080	-50.0379	-0.229658	-1.75059	-0.730245	11.9065	0.760463	-2.90669	-8.70506	-117.7	-9604.54
0.0087	-54.638	50.7162	-1.13115	-5.60773	10.0964	-0.152093	-4.4288	-6.57842	-47.4983	-10553
0.0093	-55.8585	56.5342	0.0807965	-15.0734	8.84942	-1.9772	-5.64833	-4.73533	1.92255	-7890.52
0.0100	-50.9767	-12.4398	1.61593	-19.0415	9.77458	-2.33209	-5.96008	-5.64269	26.6612	-1310.47
0.0107	-31.7314	-76.5145	-0.538644	-12.3177	8.24605	-2.94046	-7.78479	-6.57842	42.8333	109.501
0.0113	-18.3066	-58.8308	-2.66629	-1.63961	7.96447	-4.46138	-8.70172	-4.13987	19.0276	-259.26
0.0120	-10.0921	22.6596	-0.215457	20.6398	10.0964	-4.76557	-7.17961	-2.92059	-76.5061	-1.93237
0.0127	-1.22044	67.8257	2.20844	50.2353	8.56784	-4.46138	-6.56526	-6.57842	-148.206	55.0726
0.0133	0.281639	91.3274	2.20844	65.5016	7.96447	-4.76557	-6.87702	-10.8317	-95.7316	-28.6635
0.0140	-1.83066	101.394	-1.45434	68.8497	7.96447	-5.67812	-7.4822	-12.3629	5.90901	0.644124
0.0147	-3.98989	59.9025	-5.70962	65.1985	7.03931	-6.59068	-7.4822	-10.5482	41.9002	-0.322062
0.0153	-0.610218	26.6021	-5.11711	40.4666	9.17121	-4.76557	-4.4288	-7.17388	-7.52056	-0.322062
0.0160	3.66131	19.5975	-2.66629	20.0197	10.378	-1.67302	-2.29234	-5.64269	-67.3457	-0.322062
0.0167	-0.328579	15.6168	-2.66629	34.0597	10.0964	-0.760463	-2.6041	-5.9546	-46.9045	-0.322062
0.0173	1.22044	16.5354	-3.28573	35.8922	9.49301	-1.06465	-3.20928	-7.17388	21.77	-0.322062
0.0180	17.0861	13.8178	-2.96254	13.3097	8.24605	-1.9772	-4.12621	-7.48579	34.8886	-0.322062
0.0187	29.5721	7.38734	-1.75059	9.34163	7.03931	-1.06465	-3.82362	-6.86197	80.0685	-0.322062
0.0193	30.7926	2.22003	-1.75059	4.16102	5.83257	0.152093	-3.20928	-6.86197	163.36	-0.322062
0.0200	30.1823	1.91382	-2.37003	-34.9002	3.98224	-0.456278	-2.90669	-5.9546	55.0188	0
0.0207	32.9518	9.83703	-3.58198	-78.8527	0.643594	-1.06465	-2.90669	-4.13987	-137.83	-0.322062
0.0213	31.1211	20.5161	-2.37003	-74.2783	-1.20674	-3.54883	-2.6041	-1.0775	-198.56	0
0.0220	14.3167	20.8223	-0.215457	-9.57585	-0.603369	-9.63253	-3.20928	0.453684	-182.388	-0.322062
0.0227	-7.32262	0.0765527	-0.215457	57.8685	1.85033	-14.1953	-4.74056	-1.98487	-136.925	-2.5765
0.0233	-12.5329	-29.8556	0.996491	66.1078	6.11414	-14.1953	-4.4288	-1.98487	-58.8074	-1.93237
0.0240	-19.527	-44.4771	1.91218	45.9641	9.77458	-15.412	-4.4288	1.36105	39.7798	0.322062
0.0247	-47.9256	-22.5065	0.377051	62.746	9.49301	-20.6339	-9.01348	0.141776	124.004	-0.322062
0.0253	-70.7853	19.5975	-0.538644	72.2116	7.03931	-23.3716	-13.8916	-3.20414	159.402	-2.5765
0.0260	-72.616	25.4155	1.29274	26.7435	8.24605	-18.5046	-13.2864	-2.29678	187.166	-1.93237
0.0267	-69.2833	4.93765	1.91218	-31.5521	10.378	-8.71997	-7.17961	1.04914	169.156	0
0.0273	-70.5037	-2.37314	0.700237	-102.661	8.84942	3.80231	-0.155879	1.04914	60.843	0
0.0280	-67.124	-3.59798	-0.538644	-152.704	4.9074	15.7162	3.80528	-0.765592	-54.2272	0
0.0287	-57.9708	-4.51661	-1.45434	-143.238	1.24696	18.7581	4.41963	-1.38941	-176.592	0.322062
0.0293	-52.4788	-4.2104	-1.13115	-125.244	0.925166	12.6237	1.36623	-1.98487	-286.149	0
0.0300	-48.2073	-5.12903	-0.538644	-73.3552	3.05707	3.80231	-3.20928	-2.29678	-258.074	0
0.0307	-39.054	-6.9663	-0.538644	13.916	5.83257	-3.85301	-6.56526	-1.38941	-132.967	0.322062
0.0313	-29.6191	-9.0715	-0.834898	61.8366	7.32088	-8.1116	-8.39914	-0.765592	-25.8413	0.322062
0.0320	-22.5781	-11.5212	-0.538644	68.8497	7.03931	-9.32835	-9.31607	-0.765592	41.9002	0.322062
0.0327	-14.6452	-11.5212	1.61593	63.9722	7.64268	-9.02416	-9.61866	-0.170131	87.0801	0
0.0333	-9.76349	-10.9088	3.44732	54.2035	9.77458	-9.93672	-8.70172	1.04914	105.373	0
0.0340	-12.8146	-11.8274	3.44732	35.5891	9.77458	-10.5451	-7.4822	0.765592	84.6204	0
0.0347	-16.1943	-13.3585	1.61593	12.0973	7.32088	-10.5451	-8.70172	-1.38941	57.7896	0.322062
0.0353	-15.584	-13.9709	0.377051	-16.9059	5.51077	-11.4576	-10.233	-2.60868	48.6292	0.322062
0.0360	-13.7534	-13.3585	1.29274	-37.0358	5.51077	-11.7618	-9.92125	-1.0775	47.6962	0.322062
0.0367	-11.3125	-11.8274	2.82788	-24.2221	7.96447	-12.066	-9.31607	0.765592	-5.7111	0
0.0373	-9.76349	-9.37771	3.44732	2.93476	11.3031	-12.6744	-8.70172	0.141776	-74.3574	0
0.0380	-9.76349	-8.45908	0.996491	20.9429	10.378	-13.2828	-7.78479	-1.70131	-26.746	0.322062
0.0387	-8.87164	-4.82282	-0.834898	28.576	7.64268	-10.5451	-4.4288	-2.92059	83.4047	0.322062
0.0393	-6.43076	1.3014	0.377051	6.59976	9.49301	-5.67812	0.751888	-1.38941	163.982	0
0.0400	-4.60011	-29.5494	2.53163	-55.3471	12.2283	-1.67302	5.02481	2.26842	196.948	0.322062
0.0407	-3.37967	-101.241	4.03983	-95.9377	13.435	0.760463	8.38997	4.11151	123.693	0
0.0413	-1.54902	-146.101	4.36301	-69.0839	11.3031	1.9772	10.2147	2.89224	-53.2942	0
0.0420	-0.938798	-160.148	3.74357	-27.2809	9.17121	1.9772	8.99514	1.98487	-193.98	0.322062
