MR32 ASCII
Name	CORE15_fast
Frequency	1500
Date	27-08-2015 12:28:18
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	13.5094	354.294	-6.60475	-1.01724	9.74544	4.26714	-2.70193	440.135	-5.10327	-6110.3
0.0007	-59.1429	-11.3198	-173.56	3.57675	12.1914	6.0916	-1.47842	287.542	-2.0732	-10449.2
0.0013	-92.1309	-49.5032	-193.374	2.95328	12.8077	7.31294	-0.866657	210.328	-0.212636	-9818.7
0.0020	-40.5282	418.384	-42.3349	-0.393771	12.8077	7.01137	-2.39605	210.929	-1.11634	-9645.54
0.0027	28.4326	908.178	139.86	-1.01724	12.4996	5.79004	-3.00781	177.075	-0.531591	-9913.41
0.0033	57.7291	1091.89	230.812	0.820356	11.267	3.95049	-3.00781	64.1391	-0.212636	-9794.47
0.0040	89.1463	825.448	159.384	3.87208	10.6699	2.42759	-1.17254	133.415	0.372114	-9806.9
0.0047	119.385	380.2	-11.212	5.08621	5.77793	-1.23641	0.331369	437.067	-0.850545	-9816.47
0.0053	143.498	77.1552	-136.928	1.73915	-1.84894	-5.80511	-1.47842	426.093	-5.10327	-9817.43
0.0060	150.253	-264.017	-146.078	0.2297	-3.98677	-4.58378	-2.39605	39.7242	-6.00698	-9794.15
0.0067	106.897	-426.663	-197.047	0.820356	-3.0623	-2.14111	-1.78429	-214.464	-4.51852	-9829.86
0.0073	48.3039	21.626	-261.452	-0.393771	-1.54078	-0.919771	-2.09017	-234.61	-4.19957	-9892.05
0.0080	9.81787	594.433	-178.135	-1.93604	1.1941	1.20626	-1.47842	-95.4582	-3.29586	-9536.16
0.0087	2.51338	668.603	-121.076	-3.15017	4.25641	3.0458	-1.17254	17.1438	-2.0732	-10221.8
0.0093	14.4519	526.683	-151.587	-4.65962	9.43728	5.79004	-1.17254	-81.4163	0.0531591	-9702.94
0.0100	33.0666	832.488	-163.186	-5.28309	12.4996	7.31294	-2.09017	-99.1271	1.59477	-3703.3
0.0107	46.7331	1392.79	-171.724	-2.82202	14.6374	8.53427	-2.09017	-3.90238	1.91373	109.061
0.0113	-4.24132	1249.97	-57.8963	1.44383	18.6049	11.8967	0.637248	-173.873	4.35905	4.4645
0.0120	-100.064	633.799	307.717	1.73915	17.6805	10.6754	0.943127	-397.576	3.72114	-169.332
0.0127	-133.916	399.743	803.911	0.525028	13.0966	5.79004	-1.17254	-383.834	0.0531591	97.9
0.0133	-82.6272	194.972	1055.7	1.73915	9.12912	1.20626	-1.47842	-220.568	-2.65795	-21.0469
0.0140	-1.49232	-144.398	660.797	2.95328	4.25641	-3.67909	-2.09017	10.7399	-4.51852	-8.29121
0.0147	60.4781	-283.221	-5.70264	4.79088	-0.0192598	-5.50355	-1.17254	196.587	-4.78432	1.27557
