MR32 ASCII
Name	TBAS30_fast
Frequency	1500
Date	31-08-2015 11:15:18
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	-7.65067	464.829	-286.099	-1.69072	-13.0267	5.78277	-9.72574	141.457	6.17418	-7729.4
0.0007	-34.4741	398.019	-225.684	-3.52233	-11.4961	-2.44545	-6.07426	184.778	5.90574	-10550.7
0.0013	-20.1867	195.664	36.4547	-3.85108	-10.5811	-21.6926	3.08039	280.015	4.65301	-9618.52
0.0020	24.7034	-249.277	259.241	0.140893	-11.1967	-29.9208	17.1325	201.254	7.15847	-9758.27
0.0027	22.8598	-488.199	252.542	2.86483	-13.6257	-31.7621	25.37	61.5017	8.32173	-9890.61
0.0033	-18.6197	-423.222	130.747	1.03322	-13.0267	-30.525	21.3897	51.4391	5.01093	-9786.6
0.0040	-26.9156	-72.5837	-3.22038	0.140893	-10.2816	-15.881	12.5465	124.061	4.65301	-9814.29
0.0047	-34.4741	464.554	-186.589	0.422679	-9.36661	-4.8909	7.06068	320.3	6.17418	-9816.55
0.0053	-83.3278	791.089	-360.232	2.86483	-8.75104	-9.7818	7.97787	394.73	6.17418	-9817.19
0.0060	-103.514	739.218	-394.11	5.30697	-7.83601	-18.643	8.58357	77.3633	5.01093	-9787.89
0.0067	-67.7499	581.403	-225.684	2.86483	-9.66607	-27.4753	3.08039	-197.604	0.98429	-9868.39
0.0073	-22.3068	435.502	12.3663	1.36197	-10.5811	-35.4159	0.0346112	-78.2842	-1.07377	-9823.95
0.0080	-15.5779	178.527	112.134	3.80411	-7.83601	-34.4952	1.869	36.4644	-0.178962	-9549.94
0.0087	-67.4734	-11.2725	64.5364	4.41465	-3.85977	-28.1083	1.26331	-45.9131	0.0894809	-10477.6
0.0093	-115.037	-63.1442	-12.6883	3.80411	-1.43078	-27.1876	3.99759	-9.92624	1.61066	-8643.86
0.0100	-100.749	-85.1392	-53.2651	4.0859	-2.34581	-29.3166	11.3352	163.732	3.13183	-2082.32
0.0107	-40.0047	-31.068	-55.7126	3.19358	-5.39037	-25.3464	10.7122	180.821	1.34221	108.189
0.0113	19.5415	41.2408	-72.4586	2.86483	-6.62151	-18.01	4.30909	-1.97843	1.34221	-197.703
0.0120	46.0884	69.0095	-83.1502	1.9725	-11.1967	-21.3761	-2.40548	-250.1	3.13183	-57.3144
0.0127	44.5214	-129.038	-38.9022	-1.40893	-13.3262	-31.4456	-6.07426	-348.339	4.65301	75.346
0.0133	25.2564	-488.199	-19.0647	-1.08018	-2.02971	-28.7125	-1.48828	-258.321	8.32173	-29.3012
0.0140	-19.9102	-538.329	-32.7835	0.140893	9.86572	-18.9307	11.3352	-146.642	10.8272	-1.60996
0.0147	-83.973	-361.269	-12.3663	-3.24054	11.6958	-10.386	17.7382	25.7878	10.4693	-0.321991
0.0153	-108.953	-58.2869	25.7631	-6.29322	4.67499	7.30758	5.22629	130.474	8.94809	-1.28797
0.0160	-76.0458	491.04	56.6143	-9.62769	-8.75104	26.2382	-9.72574	178.672	5.27938	-0.643983
0.0167	-19.2649	751.681	116.449	-8.40662	-18.5169	35.6748	-12.4773	292.193	3.13183	0
0.0173	36.8707	573.43	179.568	-4.13286	-19.7314	40.8822	-11.5601	213.465	3.48976	-0.321991
0.0180	37.5159	410.85	110.008	-3.52233	-19.432	31.1004	-2.71698	74.3274	1.96858	-0.321991
0.0187	-33.921	188.333	-19.0647	-4.13286	-19.1325	7.62405	18.9496	135.045	1.34221	-0.321991
0.0193	-75.1241	-182.192	-146.656	-6.57501	-9.66607	-8.25699	29.6445	177.751	2.23702	0
0.0200	-39.3595	-468.128	-297.112	-9.01716	8.03565	-7.33635	16.821	110.621	2.23702	0
0.0207	6.63673	-781.192	-231.803	-2.01947	26.3363	19.2184	3.99759	103.287	1.34221	0
0.0213	10.6925	-1107.45	15.7155	8.07787	39.779	51.5558	2.7862	173.794	-0.178962	0
0.0220	-24.4268	-1142.83	96.6114	7.74912	39.4629	46.9814	-5.45126	253.136	-2.3265	0
0.0227	-53.739	-935.89	-64.2144	3.19358	31.8431	23.4763	-22.2377	337.97	-4.2056	-0.321991
0.0233	-50.4207	-726.295	-235.152	3.80411	26.9519	24.0805	-33.5382	350.795	-5.36886	-0.321991
0.0240	-25.0721	-515.693	-164.046	5.91751	18.101	37.5161	-38.7299	224.142	-5.36886	-0.321991
0.0247	-6.45237	-85.1392	-36.1327	7.74912	3.75995	31.7333	-35.0611	65.4586	-2.59495	-0.321991
