MR32 ASCII
Name	KneeFJC1
Frequency	1500
Date	04-09-2015 09:15:32
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	-110.323	-9.60133	10.333	0.476981	-283.277	-186.443	-67.1532	4.23055	-10.8696	-5735.68
0.0007	-178.366	-5.93706	10.9409	6.27414	-249.712	-77.2076	-56.1744	10.0249	-2.32023	-10386.4
0.0013	-181.085	-3.80343	11.5487	7.19141	-204.555	60.7462	-7.02861	13.3898	7.75133	-9876.98
0.0020	-183.532	-3.19382	10.9409	5.35686	-116.66	69.9013	40.864	14.9116	15.377	-9624.67
0.0027	-156.41	-2.58421	7.88532	-8.67739	10.2758	36.6505	53.0688	16.1263	23.9264	-9916.6
0.0033	-19.9846	-2.27941	7.27749	-24.2435	196.128	-115.021	30.4846	17.0479	20.8747	-9800.27
0.0040	107.604	-1.05356	9.1174	-14.4791	364.914	-430.591	-18.0347	20.706	5.30549	-9807.56
0.0047	161.576	0.470459	8.80527	12.0713	484.845	-599.648	-35.7152	23.7637	-5.06903	-9818.97
0.0053	191.825	0.470459	6.66966	20.313	602.928	-476.367	27.4334	23.1493	0.731537	-9819.61
0.0060	192.709	-3.80343	5.45401	3.83419	622.484	-364.059	146.457	17.9694	15.68	-9799
0.0067	173.812	-8.99172	7.27749	-6.54473	546.784	-350.014	241.37	10.332	26.3649	-9824.99
0.0073	138.125	-7.77251	9.1174	-2.27025	481.787	-202.934	223.063	11.8539	28.1974	-9902.97
0.0080	88.0276	-2.27941	5.14188	5.35686	404.559	53.4101	109.843	22.2418	18.1259	-9547.01
0.0087	44.3876	2.29928	1.4785	9.93405	243.134	202.338	23.4832	28.9437	3.16999	-10159.4
0.0093	-26.1024	2.60409	3.00628	-2.27025	15.787	252.08	-24.7364	29.8652	-3.8498	-9880.15
0.0100	-26.9861	-0.13915	10.333	-10.2046	-158.794	273.76	-52.5239	33.8304	-8.7341	-4078.53
0.0107	85.3086	-4.10823	22.851	5.05417	-271.081	260.013	-13.7576	41.1606	-15.1406	107.138
0.0113	160.353	-10.5157	35.0568	16.6485	-379.421	231.652	38.4394	46.0474	-13.0051	60.5425
0.0120	162.528	-16.3137	40.248	6.88412	-358.052	170.31	52.1698	43.2968	-2.63058	-192.405
0.0127	91.0864	-22.1116	40.248	-13.5619	-212.804	65.0106	64.9738	34.1376	6.22176	99.8475
0.0133	-10.5361	-24.5566	39.6237	-26.6834	-138.029	20.1593	62.2223	27.1146	4.08626	-17.4337
0.0140	-69.7423	-19.3683	39.0159	-22.4135	-146.883	-15.5369	19.8054	25.8999	-5.9853	-9.82626
0.0147	-52.0008	-12.9542	38.4081	-1.96755	-202.102	-230.102	-41.2182	23.4565	-18.1924	1.58488
0.0153	161.305	-13.8752	38.1124	19.703	-254.298	-479.409	-89.4378	16.7407	-31.0053	-0.316976
0.0160	474.737	-15.704	32.6091	26.7201	-264.965	-590.493	-111.423	17.0479	-41.9932	-0.316976
0.0167	520.484	-11.1254	24.9866	28.8574	-247.578	-605.762	-125.153	28.9437	-47.4908	-0.316976
0.0173	330.358	-2.88901	19.7954	29.1601	-205.16	-465.989	-137.358	46.0474	-43.5227	-0.316976
0.0180	257.149	2.60409	11.253	21.2257	-205.764	-225.509	-137.657	62.8299	-31.9216	0
0.0187	293.108	4.13473	3.6141	15.1258	-227.133	-111.979	-118.124	68.3171	-21.5471	-0.316976
0.0193	308.402	1.38487	2.71058	11.7686	-217.995	-113.202	-86.9859	62.2156	-15.7465	-0.316976
0.0200	219.287	3.52513	-1.87276	8.10409	-200.893	-81.7702	-60.7512	55.1926	-8.7341	0
0.0207	-61.7892	12.3711	-9.49523	9.63135	-123.06	-31.4317	-35.1158	46.0474	-0.487691	0.316976
0.0213	-375.494	16.645	-11.943	10.8513	-1.31558	8.85695	0.599339	32.0014	0.731537	0.316976
0.0220	-456.656	15.7305	-12.5508	1.99965	58.2056	87.2872	42.09	17.0479	0.731537	0.316976
0.0227	-156.41	13.2855	-15.2942	-12.3419	68.268	183.133	78.7041	8.81015	9.57648	0
0.0233	261.704	12.6759	-18.9576	-12.6492	72.5348	227.686	83.6078	8.19582	19.0421	0.316976
0.0240	438.71	12.6759	-17.742	-1.35756	4.19564	262.16	44.8415	6.0596	20.5643	0.316976
0.0247	493.634	8.09719	-10.7273	-5.93475	-141.372	283.512	12.1775	6.0596	17.8229	0
0.0253	554.948	5.65876	-6.4561	-26.3807	-225	237.14	7.90038	10.332	12.6282	0
0.0260	524.427	-1.96797	-1.87276	-35.2278	-248.183	196.255	6.07512	1.47999	1.33746	0
0.0267	459.443	-12.3446	7.88532	-22.1062	-305.891	180.061	3.32361	-16.5173	-9.95333	-0.950929
0.0273	482.01	-15.3992	21.0111	-5.32476	-336.078	185.877	6.07512	-26.8912	-13.0051	-1.2679
0.0280	378.281	-16.0088	26.5144	-0.133004	-271.685	157.487	10.6519	-30.8704	-11.1726	0.316976
0.0287	-22.7036	-12.0398	13.0765	-0.133004	-158.794	-217.279	-4.30435	-25.3693	-13.0051	-0.316976
0.0293	-293.72	-10.5157	-1.26494	3.52691	-76.3749	-702.502	-49.7724	-22.6188	-20.0249	-1.58488
