MR32 ASCII
Name	NA_slow
Frequency	1500
Date	04-09-2015 09:35:30
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	-22.083	-10.3818	-22.7322	77.7691	38.9129	-10.9999	12.9325	-6.31566	-19.49	-9862.79
0.0007	-26.9617	-10.3818	-21.2022	135.161	2.89908	-10.3828	10.1847	-4.1913	-16.135	-10150.5
0.0013	-37.9747	-7.02722	-15.4098	215.727	-22.1252	-2.75906	10.4998	-2.06694	7.65571	-9544.6
0.0020	-46.5054	-5.81264	-11.7304	277.077	-34.3283	0.290428	12.025	-0.22966	40.0171	-9898.64
0.0027	-46.5054	-9.45638	-11.7304	285.904	11.1356	-5.19139	4.38647	-2.35402	43.9822	-9822.19
0.0033	-31.8691	-8.2418	-8.70674	286.522	89.2648	-3.35807	-0.189072	-0.803812	78.7532	-9797.44
0.0040	-36.1202	-0.607291	-4.73588	274.317	100.558	7.62372	1.95375	3.73198	143.781	-9817.11
0.0047	-69.1019	1.53269	-7.17669	203.812	59.0492	13.4141	1.33611	4.07647	131.855	-9816.16
0.0053	-88.6171	0	-11.1475	1.48927	24.2602	14.6303	1.03359	5.91376	76.0081	-9805.37
0.0060	-106.934	0.289186	-11.1475	-281.727	-5.95548	17.3894	0.731079	10.794	78.7532	-9798.08
0.0067	-125.536	-1.21458	-8.99818	-458.115	-35.5531	20.1303	-2.01677	11.6553	115.69	-9916.09
0.0073	-116.092	-2.45808	-5.93807	-448.344	-49.2844	22.8712	0.428564	7.69363	118.74	-9622.32
0.0080	-83.1392	-2.45808	-0.765027	-334.505	-55.6894	21.3464	6.83181	2.52627	88.544	-9878.97
0.0087	-26.6764	-8.55991	7.79599	-248.127	-79.5	13.7227	8.35699	2.81334	52.8275	-10395.1
0.0093	3.224	-16.8017	16.3206	-209.697	-112.457	7.00657	6.83181	10.4496	29.3113	-5742.11
