MR32 ASCII
Name	SORD30_slow
Frequency	1500
Date	04-09-2015 12:47:58
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	-97.1544	63.0648	-34.4297	22.889	51.9594	-17.8303	-10.1034	-182.411	-4.31641	-6606.83
0.0007	-171.026	55.7667	-26.8004	27.1716	31.5277	29.4698	5.76266	-116.162	-1.89393	-10515.2
0.0013	-202.136	39.8774	-11.5418	21.066	-2.66732	71.5967	30.7965	-45.6926	2.37843	-9748.51
0.0020	-140.488	25.8356	-3.32559	-1.82302	-40.81	99.6672	52.4626	1.93004	7.57573	-9677.91
0.0027	-28.4933	20.0465	-11.8548	-21.037	-56.3694	103.632	58.2627	9.87464	7.57573	-9908.32
0.0033	18.1821	20.6623	-17.3322	-22.5707	-45.6823	94.1761	46.0451	-6.59805	9.42562	-9789.91
0.0040	-27.5919	23.7109	-13.0676	-6.39503	-31.3499	131.109	12.1802	-25.8536	12.773	-9808.52
0.0047	-78.5546	25.2505	-7.90317	5.81629	-26.1575	193.059	-28.7197	-42.3263	10.9232	-9815.58
0.0053	-74.883	19.7385	-4.22546	-10.07	-34.7107	196.112	-48.5523	-49.9567	6.95911	-9816.54
0.0060	-40.6954	16.9979	-2.3866	-22.5707	-43.5485	153.985	-49.1697	-53.0088	-0.35236	-9790.87
0.0067	-25.1515	16.69	-3.32559	-15.568	-16.6974	86.5436	-46.4193	-49.6425	-7.04719	-9839.65
0.0073	-21.4799	8.16024	-5.43832	-12.819	26.9399	-19.3568	-47.6355	-32.8556	-11.3196	-9875.91
0.0080	-10.1793	3.26409	-1.79973	0.925977	27.5445	-119.745	-52.8181	-5.70036	-15.2836	-9528.37
0.0087	4.46308	5.38884	4.02984	23.2073	9.54901	-202.769	-57.1027	12.9268	-15.5919	-10306.6
0.0093	14.2247	2.03236	4.30371	24.7409	34.2662	-291.263	-58.3189	18.4027	-12.2445	-9436.91
0.0100	25.8331	-2.21712	4.61671	11.6036	76.3743	-317.807	-41.8354	24.8212	-4.62472	-3202.01
0.0107	46.5655	-0.708247	8.29442	1.53365	83.096	-200.013	-9.804	33.0351	5.76989	109.108
0.0113	51.7541	-3.14092	13.4589	3.96434	84.6252	-33.6888	6.99751	38.556	9.42562	-66.7486
0.0120	37.1117	-9.54594	12.872	9.17296	98.0507	77.0879	8.51302	36.4015	8.50068	-136.385
0.0127	35.2869	-3.14092	-1.48674	-2.11238	89.4975	161.617	8.51302	30.9256	6.07821	94.3466
0.0133	46.5655	4.80376	-15.5325	-11.2853	66.0073	213.2	6.67944	25.4047	3.30337	-25.0307
0.0140	45.0485	-0.09238	-10.6419	-1.82302	48.2963	244.62	25.6139	10.1439	8.80899	-6.09723
0.0147	33.1543	-8.03706	2.77785	3.96434	25.713	299.553	56.1298	-16.3829	15.5038	0.641814
0.0153	36.4961	-10.1618	9.50728	4.89032	1.92047	351.136	60.695	-38.0622	17.0454	-0.641814
0.0160	53.6009	0.215553	15.2977	7.63931	0.9958	363.644	37.1953	-29.8034	26.2068	-0.641814
0.0167	56.3491	6.9285	13.7719	5.81629	11.6829	323.065	1.49679	0.718155	31.7124	-0.641814
0.0173	49.0059	1.13935	4.9297	8.85465	54.1111	227.85	-16.2028	14.4529	20.3928	-0.641814
0.0180	49.9293	0.215553	4.9297	2.45963	118.802	104.862	-1.25357	8.03436	13.3897	-0.641814
0.0187	52.6775	2.64823	9.19429	-21.963	131.623	-11.4063	12.7789	1.30166	15.8121	-0.320907
0.0193	49.9293	-2.52505	6.14257	-35.3897	88.5906	-151.801	14.6125	-4.48847	17.9703	-0.320907
0.0200	49.9293	-8.03706	3.40384	-37.531	33.0392	-336.125	40.2451	-10.2786	25.8984	-1.60453
0.0207	55.4257	-3.44885	7.35543	-32.959	-7.53963	-379.757	70.4616	-4.48847	33.2099	-1.92544
0.0213	57.5583	0.523487	8.29442	-29.6023	-46.9093	-249.136	51.5459	9.24625	28.3209	-0.320907
0.0220	55.4257	-2.52505	3.71684	-32.959	-86.5813	-196.663	18.579	11.4007	19.1596	0.320907
0.0227	55.4257	-3.14092	2.50398	-21.037	-94.5121	-196.663	5.76266	8.61786	11.2315	0
0.0233	54.8101	-1.32411	3.71684	2.14132	-63.3933	-115.483	-6.43622	5.8799	0.26427	-0.320907
0.0240	53.6009	0.83142	4.9297	11.922	-31.0476	-60.5509	-17.737	1.03235	-7.35551	-0.320907
0.0247	52.9853	6.31264	3.40384	8.85465	-24.6283	-77.0243	-25.9694	-4.17428	-9.51371	0
0.0253	53.2931	6.31264	2.77785	8.85465	-13.6389	-86.798	-31.152	-5.07197	-12.5528	0
0.0260	53.6009	-2.83299	6.14257	16.1757	5.2813	-85.2716	-22.9197	-2.6482	-15.5919	0
0.0267	52.3697	-5.88153	5.82957	21.3843	7.71745	-74.5861	-8.26979	-4.80266	-14.711	0
0.0273	51.1605	-2.83299	2.77785	18.317	5.88589	-48.0421	0.280649	-4.48847	-11.0112	0
0.0280	50.2371	-8.345	4.02984	9.78063	-2.34724	-43.7594	9.72916	7.40598	-6.73888	-0.320907
0.0287	48.7201	-14.75	8.88129	5.49799	-31.6522	-30.9539	11.2634	25.7189	-3.69978	-0.320907
0.0293	45.3563	-11.3935	10.7201	9.46233	-62.771	35.5757	-4.30328	27.5592	-5.54967	0
0.0300	45.6641	-1.01618	6.45556	14.6709	-74.0626	98.7556	-14.9867	2.24424	-7.66382	0
0.0307	52.6775	7.8523	0.0391246	14.9603	-71.9288	102.423	-4.30328	-23.6991	-4.31641	0
0.0313	57.8661	15.7662	-1.48674	9.78063	-67.3588	73.7381	16.1467	-35.5936	-5.54967	0
0.0320	58.7895	20.9703	1.25199	11.6036	-61.5618	70.9819	25.2958	-36.5362	-11.3196	-0.320907
0.0327	55.1179	7.23644	-10.9549	28.0976	-61.5618	89.9146	13.3963	-26.4371	-10.1303	0
0.0333	46.5655	-25.7432	-13.6936	44.8809	-67.661	75.2645	-5.51943	-16.3829	-7.66382	0
0.0340	43.2237	-51.3633	28.1306	54.9509	-75.8942	34.0493	-8.88722	-22.8014	-9.51371	0
0.0347	44.1251	-44.0345	44.6021	70.2006	-89.0174	-5.0035	7.29687	-47.2187	-9.51371	0
0.0353	37.1117	-20.5392	5.82957	92.4819	-84.1451	-41.3213	28.3455	-79.2664	-6.1663	-0.320907
0.0360	27.0423	-15.0579	-12.7546	112.622	-60.0325	-60.8477	33.5469	-94.213	-3.39146	0
0.0367	23.6785	-23.2798	3.71684	129.724	-47.834	-85.2716	14.6125	-79.2664	-4.62472	0
0.0373	24.2941	-26.6362	12.246	142.514	-44.1708	-119.151	-7.97043	-46.5903	-10.1303	0
0.0380	25.8331	-15.0579	6.14257	107.442	-37.7515	-118.218	-17.4189	-18.5374	-15.5919	-0.320907
0.0387	30.9997	-1.63205	4.61671	39.383	-30.1229	-91.3775	-13.1531	8.61786	-12.5528	-0.320907
0.0393	38.9365	-21.155	-1.48674	20.14	-25.2506	-63.9007	-7.97043	39.4537	-8.28045	-0.320907
0.0400	46.2797	-59.6159	3.40384	19.243	-22.7967	-39.18	-5.51943	59.2927	-7.97214	-0.320907
0.0407	51.1605	-69.6853	51.6054	-45.4597	-19.1336	-22.0917	6.38009	83.71	-2.46652	-0.320907
0.0413	52.9853	-70.5783	80.9097	-121.448	-26.1575	-15.6889	15.2299	68.7634	-2.77483	-0.320907
0.0420	43.8173	-75.7824	46.7539	-95.5203	-38.3739	-11.4063	9.72916	-9.38091	-15.5919	0
0.0427	9.95948	-39.7542	-10.3289	-9.14402	-33.7861	2.31094	6.99751	-49.6425	-19.556	0
0.0433	-22.7111	14.8732	-43.2718	36.3157	-20.0583	13.6112	9.72916	-46.0068	-13.7861	0
0.0440	-22.7111	26.7594	-35.0557	58.9153	-13.959	7.80207	5.4633	-27.3797	-12.2445	0
0.0447	-10.1793	21.2782	-23.1618	80.2706	-14.5636	-1.33568	-4.30328	-6.01455	-11.0112	0
0.0453	-9.89352	42.9259	-20.6969	55.2403	-16.6974	1.10247	-9.804	-24.911	-2.77483	0
0.0460	-16.5991	66.1441	-9.42904	7.63931	-15.7905	4.15545	-12.8537	-26.7513	2.99506	0
0.0467	-18.1161	44.7735	-8.17705	-22.5707	-10.9005	0.487629	-17.4189	-10.907	0.26427	0
0.0473	-14.7743	12.4097	-15.5325	-96.128	-3.57421	4.77029	-18.6538	-21.8589	2.99506	0.320907
0.0480	-10.4871	11.7939	-6.37731	-187.684	3.44974	18.4875	-13.4524	-28.9058	11.8481	0
0.0487	-6.83752	18.5068	4.9297	-175.154	6.79278	32.8408	-8.88722	-27.3797	8.80899	0
0.0493	-4.39712	15.7662	-3.59947	-103.131	9.24671	49.3142	-11.0201	-9.38091	-0.35236	0
0.0500	-4.70492	3.87996	-34.7427	-65.5997	12.9098	60.9113	-15.9034	44.9745	-3.08315	-0.962721
0.0507	-4.08932	-5.5736	-62.2082	-47.2827	16.573	56.6498	-12.8537	86.448	0.26427	-1.60453
0.0513	1.09928	-0.09238	-65.2599	-40.5694	16.573	43.2082	-6.73557	89.5001	5.15326	-0.320907
0.0520	4.15528	11.2088	-62.2082	-41.177	17.4798	40.7701	-3.08714	90.4427	8.19236	0.320907
0.0527	1.40708	4.49583	-15.2195	-33.856	19.0091	45.6464	5.16394	97.1305	7.26742	0
0.0533	1.40708	-17.1827	66.864	-27.1427	18.4045	37.1022	13.6957	93.1807	5.15326	0
0.0540	4.15528	-24.5115	98.0072	-25.0014	18.4045	20.332	14.9305	66.0254	3.30337	0
0.0547	0.19787	-14.75	82.7486	-26.2457	19.0091	9.9434	6.99751	31.8233	1.80584	-0.320907
0.0553	-5.91413	-2.52505	52.2314	-25.9274	18.0844	11.1731	-1.85228	16.8767	1.18921	-0.320907
0.0560	-6.22193	-0.09238	11.6591	-22.5707	19.0091	21.5405	-7.353	31.8233	1.49753	0
0.0567	-4.39712	6.31264	-15.5325	-17.391	24.5038	24.9115	-12.8537	76.9773	0.26427	0
0.0573	-2.26452	17.3059	-17.0583	-9.46233	32.1323	27.3497	-15.5854	129.492	-2.77483	-0.320907
0.0580	1.71488	-2.21712	0.978116	-5.46905	37.3247	50.5439	-14.0699	160.912	-2.46652	0
0.0587	1.40708	-22.9718	24.4529	-4.57201	39.4586	74.9465	-11.3195	145.651	0.572585	0
0.0593	-2.55033	-4.37265	22.927	-3.03836	39.4586	81.3493	-7.97043	95.0209	0.572585	-0.320907
0.0600	-0.109928	7.8523	-6.65119	-1.50471	39.1563	77.7027	-0.0374199	16.2483	-0.044045	0.320907
0.0607	8.72829	-8.93007	-29.5391	-1.50471	38.8362	69.1586	4.84587	-89.949	2.07011	0.320907
0.0613	10.8609	-14.1341	-28.0132	-5.78736	35.4932	55.717	-2.76907	-145.786	1.18921	0
0.0620	5.67229	-0.400313	-25.2745	-7.92868	30.3008	34.0493	-4.30328	-132.634	-0.044045	0
0.0627	5.07868	14.8732	-50.6273	-8.21804	26.3354	7.80207	7.89559	-107.948	3.92	0
0.0633	6.28788	17.3059	-75.3149	-20.4294	24.2015	-20.2684	22.2461	-77.7403	8.80899	0
0.0640	4.77088	3.26409	-32.3169	-40.5694	19.3114	-45.2859	31.7133	-29.2199	9.42562	0
0.0647	5.98009	15.7662	8.88129	-45.778	13.5144	-50.1622	30.1791	38.2418	6.95911	0
0.0653	9.95948	52.6874	-41.746	-35.708	11.6829	-53.2152	21.9467	59.6069	1.18921	0
0.0660	11.1687	48.13	-104.306	-28.358	13.2121	-59.3212	16.446	13.8245	-2.20225	0
0.0667	11.7843	36.5209	-167.806	-16.7833	16.8753	-48.0421	15.2299	12.6126	3.30337	0
0.0673	16.3573	33.7803	-193.745	-3.64603	18.7068	-38.8831	10.964	54.131	9.11731	0.320907
0.0680	22.7771	-15.643	-39.9462	4.28264	18.4045	-37.6535	1.49679	40.082	6.65079	0
0.0687	22.1615	-47.083	181.93	21.6736	19.916	-28.4945	-4.30328	8.03436	0.880899	0
0.0693	12.7077	-22.6639	254.545	41.8136	25.4107	-11.7243	-4.60264	-0.493732	0.880899	0
