MR32 ASCII
Name	USMC30_slow
Frequency	1500
Date	04-09-2015 14:18:22
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	-102.526	0.598507	3.51641	-1.06829	-3.29136	-1.00205	-3.03845	14.5871	7.86995	-9592.92
0.0007	-53.6973	-1.22422	5.37804	-1.68677	-3.29136	0.232618	-2.43076	13.9835	8.46316	-10246.8
0.0013	-34.7953	0	2.62007	-4.1326	-4.51039	-1.30624	-3.3423	14.8889	7.86995	-9530.19
0.0020	-71.405	3.97191	-0.723967	-4.41373	-4.19344	-1.30624	-3.03845	16.7501	8.46316	-9882.88
0.0027	-86.0581	7.3181	2.62007	-0.449806	-0.219424	2.66616	0.0159919	20.6735	12.1411	-9831.35
0.0033	-82.0848	4.57041	5.65384	-0.449806	-0.536371	2.36196	0.0159919	22.5346	12.7343	-9791.67
0.0040	-47.9096	0	6.89493	-2.58639	-2.07234	1.44939	-0.591699	21.6292	12.4179	-9815.35
0.0047	9.46249	-2.14918	6.89493	-3.20487	-2.36491	1.75358	-1.19939	17.6555	12.1411	-9814.71
0.0053	18.6264	-3.67265	5.06777	-4.1326	-3.90088	0.232618	-3.03845	13.0781	10.0055	-9806.71
0.0060	-3.65178	0	4.44723	-1.68677	-1.75539	1.75358	-1.19939	15.1908	12.1411	-9791.35
0.0067	-32.9579	7.01885	1.10319	1.37753	0.9996	4.7955	1.23137	20.9753	15.1862	-9911.68
0.0073	-70.1878	10.365	-3.79221	0.140565	0.390088	3.88293	0.623683	20.6735	13.3671	-9656.61
0.0080	-81.1661	11.29	-7.44652	-1.06829	-0.536371	1.44939	-1.19939	17.0519	10.2823	-9793.27
0.0087	-74.4597	9.76654	-8.68761	-0.759048	-1.75539	0.232618	-1.80708	13.0781	8.46316	-10486.8
0.0093	-85.1394	3.97191	-5.92964	-1.06829	-3.58393	-1.91462	-2.43076	8.50078	6.64398	-6307.06
0.0100	-106.499	1.52347	-1.03424	0.759048	-2.36491	-0.697853	-1.80708	7.59538	7.23719	-215.388
