MR32 ASCII
Name	TYR30_fast
Frequency	1500
Date	07-09-2015 13:18:09
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	-128.453	-6.87601	1.76099	-19.9598	1.18856	4.69081	9.88576	5.04059	-164.008	-9769.59
0.0007	-156.516	-37.0843	4.20481	-18.4545	-0.627295	3.15671	11.4136	6.89223	-257.697	-10189.8
0.0013	-165.382	-48.0826	4.81576	-33.0857	-1.84887	1.94713	9.88576	3.54898	-202.145	-9540.24
0.0020	-73.2196	18.7647	10.3144	-65.7498	-2.7733	2.53717	8.04341	2.00595	-218.933	-9896.06
0.0027	41.5208	-19.6881	15.1661	-77.6414	-4.91931	-0.206513	3.77456	5.6578	-270.514	-9827.25
0.0033	120.289	-43.8119	8.769	-59.3374	-5.21645	-5.07433	-0.494288	13.5787	-232.69	-9796.35
0.0040	206.966	-7.79941	-3.73761	-34.0189	-3.69774	-7.22797	-0.808835	22.4769	-126.776	-9818.65
0.0047	197.463	-40.1348	-11.0691	-11.4099	-3.99488	-4.77931	0.426885	24.5857	-1.04486	-9818.33
0.0053	42.4775	-56.3107	-11.68	20.321	-7.6596	-4.15977	0.112338	17.282	109.118	-9808.14
0.0060	-67.4156	-19.6881	-11.3566	45.0374	-11.9186	-6.60843	-1.10091	6.89223	221.44	-9797.94
0.0067	-56.4454	9.59673	-13.5129	41.9968	-12.2488	-8.14253	-1.70754	6.27501	255.015	-9917.4
0.0073	-15.4986	-5.9691	-14.1238	32.2126	-9.47546	-9.05709	-1.10091	13.5787	163.451	-9637.39
0.0080	-0.574021	28.5264	-7.40334	34.3501	-3.99488	-8.73257	0.426885	16.3562	92.3306	-9847.32
0.0087	-30.8058	75.8175	-0.071877	37.7219	-0.330155	-8.73257	1.64014	16.3562	115.213	-10437.9
0.0093	-136.043	20.595	-0.682832	39.2271	-3.07044	-14.8395	-0.494288	15.4304	155.823	-5960.7
0.0100	-236.752	-12.977	-3.73761	63.0404	-4.91931	-20.0318	-3.54989	9.92687	211.375	-42.6856
0.0107	-146.439	21.2051	-5.24702	113.075	-3.4006	-18.8222	-3.54989	3.54898	297.715	107.67
0.0113	61.9943	9.59673	-5.57047	162.538	-3.07044	-16.3736	-2.33663	0.154304	334.041	-276.501
0.0120	154.475	-9.31641	-4.02511	186.321	-1.55173	-14.2494	-0.202209	0.462911	349.609	79.3188
0.0127	109	29.1365	-7.07989	201.284	0.264124	-13.9249	0.112338	-0.720084	371.586	10.1936
0.0133	56.1903	31.8737	-11.3566	224.796	0.891419	-13.3349	-2.62871	-5.91497	318.786	-20.3872
0.0140	74.4952	24.5525	-4.63607	267.515	1.18856	-10.5617	-5.07769	-9.87543	320.597	1.9113
0.0147	125.137	62.0984	8.15804	343.2	0.594279	-10.5617	-6.89756	-10.4926	434.73	-0.955648
0.0153	154.794	79.7914	16.9989	397.811	-1.25459	-13.0103	-5.36977	-9.00105	396.001	-0.955648
0.0160	135.533	55.3708	18.2208	408.799	-3.69774	-12.7153	-2.33663	-8.38383	121.621	-0.955648
0.0167	117.547	19.0615	18.5443	323.962	-5.81073	-8.73257	0.718964	-7.76662	-205.802	-0.637099
0.0173	89.4835	9.91003	16.7114	49.9145	-8.58404	-7.22797	4.08911	-5.29776	-365.108	-0.637099
0.0180	-20.4096	48.6597	-0.395324	-213.446	-10.3999	-8.14253	4.08911	-8.38383	-204.583	-0.955648
0.0187	-103.132	82.2318	-26.0195	-287.595	-7.95674	-1.71111	4.38119	-12.0357	-12.3293	-0.955648
0.0193	-107.98	64.8356	-34.8604	-290.666	-2.47616	6.22491	4.08911	-11.4185	-154.534	-0.637099
0.0200	-87.8252	34.0173	-25.696	-211.309	6.372	8.34904	0.112338	-14.4531	-294.929	-0.318549
0.0207	-52.4272	56.9043	-13.5129	-78.8757	18.5877	8.96858	-3.86443	-20.8824	-168.884	-0.318549
0.0213	-22.8333	78.5712	-4.95952	-113.045	21.0309	8.96858	-7.52666	-27.0031	-83.1358	-0.637099
0.0220	-3.31657	38.288	-2.83914	-223.531	28.3603	8.96858	-9.03199	-28.1861	-107.551	-0.637099
0.0227	12.8836	40.7284	3.59385	-189.964	63.1587	10.7977	-9.03199	-23.0427	-109.083	-0.637099
0.0233	16.519	80.4015	30.7634	-74.2997	89.0759	6.81494	-11.7955	-19.0308	-133.185	-0.637099
0.0240	27.8081	61.7851	64.6175	20.9231	104.956	2.53717	-12.0876	-15.9961	-163.694	-0.637099
0.0247	47.3248	38.6013	78.0585	67.0143	151.343	11.0927	-9.95316	-11.4185	-163.694	-0.318549
0.0253	42.7327	43.7789	48.7686	35.8854	187.957	17.1996	-7.52666	-6.84079	-232.968	-0.318549
0.0260	30.2318	30.6535	-10.7456	-26.9743	177.59	10.1782	-7.52666	-5.91497	-250.383	-1.59275
0.0267	27.4892	19.0615	-51.9671	-69.7237	148.9	9.55862	-7.21211	-6.53219	-91.0768	-1.59275
0.0273	20.4734	31.2636	-58.6517	-88.9309	104.329	15.99	0.426885	-4.98915	-39.8091	-0.637099
0.0280	9.50323	69.7165	-51.0327	-53.2261	100.367	8.64406	7.43679	-6.84079	-132.279	-0.318549
0.0287	2.80632	71.5468	-40.9699	31.6105	182.477	-1.71111	16.6036	-7.45801	-76.4139	-0.318549
0.0293	0.0637801	5.02921	-34.8604	135.052	225.793	-3.54023	27.8823	-4.42337	19.3995	-0.318549
0.0300	-2.10474	4.41911	-25.0851	239.427	181.552	1.62261	32.7578	-2.88033	-40.4012	-0.318549
0.0307	-5.74021	47.7528	-4.02511	281.544	117.172	16.9046	32.4657	-2.57173	-52.3125	-0.318549
0.0313	-6.95203	24.2557	9.7034	305.658	43.6135	29.7084	23.928	-3.18894	24.2755	0
0.0320	-6.37801	40.1183	9.37995	396.305	-33.2796	34.9008	8.35796	-6.84079	77.0757	0
0.0327	-7.58983	95.9673	2.9829	461.604	-99.5088	39.1786	-2.33663	-9.30965	222.659	0
0.0333	-10.6513	66.0558	8.48149	458.232	-153.225	38.854	-3.23534	-8.38383	296.496	0
0.0340	-14.9245	31.5769	42.0481	428.036	-190.467	38.559	1.32559	-4.98915	102.117	0
0.0347	-17.0293	40.1183	74.3927	290.696	-203.574	36.7299	4.98782	-2.26312	-94.4203	-0.318549
0.0353	-15.4986	63.0053	91.176	93.266	-187.726	20.5628	4.38119	-0.411476	-105.113	-0.637099
0.0360	-14.6056	71.8601	113.134	-54.4604	-151.409	3.77625	0.718964	0.771518	-23.0217	-0.637099
0.0367	-14.2867	34.3141	147.312	-220.16	-115.092	-8.14253	-3.86443	1.38873	59.6962	-0.637099
0.0373	-12.5009	28.8232	199.207	-303.792	-93.4009	-32.8651	-8.42536	-0.154304	134.16	-0.637099
0.0380	-10.3324	25.1626	240.716	-160.34	-76.629	-59.7119	-12.4021	0.154304	139.628	-0.637099
0.0387	-10.9702	-12.6802	191.876	2.01705	-57.0838	-74.3448	-16.671	2.93177	2.9256	-0.318549
0.0393	-11.8631	6.85952	68.2832	-14.1796	-45.7925	-85.0245	-20.3332	3.54898	-114.586	-0.318549
0.0400	-12.182	61.4883	8.15804	-59.3374	-45.1982	-94.4947	-19.7266	1.38873	-152.096	-0.318549
0.0407	-14.9245	71.5468	14.2676	23.3617	-44.9011	-91.751	-17.2776	-2.57173	-190.547	-0.318549
0.0413	-17.0293	45.3124	-18.0771	135.684	-38.7932	-70.6866	-13.9299	-4.11476	-173.481	-0.318549
0.0420	-15.2434	47.4395	-49.5233	173.195	-31.7609	-50.8613	-8.13328	-2.26312	-181.701	-0.318549
0.0427	-12.5009	59.0479	-63.5393	146.342	-29.9451	-40.4766	-3.86443	-1.3373	-283.958	-0.637099
0.0433	-11.5442	11.7403	-94.9855	46.5728	-28.0962	-31.9506	-3.54989	-0.154304	-317.497	-0.318549
0.0440	-11.2253	-12.0701	-94.9855	-139.598	-17.4322	-26.4337	-6.60549	-0.411476	-231.157	-0.318549
0.0447	-9.75836	28.5264	-109.936	-390.465	-0.0330155	-24.6046	-9.34654	-2.57173	-106.924	-0.637099
0.0453	-5.48509	29.4333	-156.333	-533.886	15.2202	-25.8437	-9.95316	-2.88033	49.6307	-0.637099
0.0460	-4.20949	24.2557	-141.67	-455.161	22.2525	-29.7969	-13.9299	-2.88033	171.391	-0.318549
0.0467	-13.3938	65.4457	-88.876	-339.166	21.0309	-35.2843	-23.3888	-3.49755	201.274	-0.318549
0.0473	-20.7285	63.6154	-60.4845	-281.514	16.4417	-36.8184	-30.3987	-3.49755	230.6	-0.318549
0.0480	-14.6056	10.2068	-54.4109	-257.701	11.5554	-33.7797	-31.3199	-1.02869	290.087	-0.637099
0.0487	-1.46694	23.3323	-54.6984	-254.028	6.66914	-31.6261	-29.5	2.93177	290.993	-0.318549
0.0493	4.91107	73.9872	-45.5341	-203.692	0.264124	-32.5406	-27.3431	5.34919	186.333	-0.318549
0.0500	1.84962	42.872	-33.6385	-122.197	-7.36246	-34.0747	-26.1299	5.04059	68.2292	0
0.0507	14.6694	26.6961	-35.4713	-26.0711	-16.5078	-37.733	-25.2087	1.08013	-15.0808	-0.318549
0.0513	59.8257	65.4457	-38.8495	70.657	-23.8372	-41.3912	-21.861	-3.18894	-130.12	-0.318549
0.0520	85.4653	27.3062	-33.9619	143.301	-19.2481	-38.028	-16.3564	-0.411476	-303.462	-0.318549
0.0527	61.1013	-12.6802	-27.2414	262.006	-4.29202	-33.7797	-12.6942	4.42337	-452.702	-0.318549
0.0533	0.956702	35.2375	-22.9647	373.395	24.3985	-35.2843	-12.4021	5.96641	-464.927	0
0.0540	-60.3998	12.6472	-25.696	359.968	59.7911	-32.2456	-9.34654	6.89223	-372.457	0
0.0547	-81.4472	-50.8198	-28.4633	295.272	78.709	-23.1	-2.33663	9.00105	-268.981	-0.318549
0.0553	-89.6748	-20.9083	-12.9019	251.951	80.2277	-14.8395	8.04341	12.3957	-188.423	-1.59275
0.0560	-99.4332	-10.5366	1.76099	150.617	79.0061	-12.7153	21.1645	16.9734	-150.285	-1.9113
0.0567	-105.875	-33.737	-3.73761	-37.0595	68.3421	-15.459	30.3313	15.739	-133.498	-0.637099
0.0573	-142.804	1.66541	-11.0691	-225.037	42.9862	-9.05709	29.0956	9.00105	-113.054	-0.318549
0.0580	-141.847	50.49	-19.6224	-369.09	23.474	7.7295	22.4002	3.24038	-97.4852	-0.318549
