MR32 ASCII
Name	TYR15_slow
Frequency	1500
Date	11-09-2015 09:36:02
"Time,s"	"RT TIB.ANT.,uV"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.0000	2.50999	3.19908	6.08637	3.69675	-420.622	4.54997	3.05797	2.18719	4.45817	-8082.05
0.0007	2.2147	2.89917	5.45773	3.37422	-400.163	3.93177	3.36523	2.79673	4.7632	-10531.5
0.0013	1.9194	2.59925	5.45773	3.07649	-380.652	3.93177	3.36523	2.47403	4.7632	-9585.26
0.0020	1.9194	2.59925	5.45773	3.37422	-362.348	3.93177	3.05797	2.47403	4.7632	-9782.93
0.0027	1.9194	2.59925	5.17199	3.37422	-344.647	3.93177	3.05797	2.18719	4.45817	-9881.6
0.0033	1.9194	2.59925	4.85767	3.07649	-326.314	3.93177	3.05797	2.18719	4.15313	-9785.5
0.0040	1.9194	2.59925	4.85767	3.07649	-309.849	3.63503	3.05797	2.18719	4.15313	-9814.75
0.0047	1.9194	2.59925	4.85767	2.77877	-293.671	3.63503	3.05797	2.18719	4.15313	-9815.39
0.0053	1.9194	2.29934	4.54335	2.77877	-276.574	3.3383	3.05797	2.18719	4.15313	-9815.39
0.0060	1.5872	2.29934	4.54335	2.77877	-260.396	3.3383	3.05797	2.47403	3.8481	-9785.82
0.0067	1.5872	1.97443	4.2576	2.77877	-246.977	3.01683	2.75071	1.86449	3.8481	-9876.46
0.0073	1.5872	2.29934	4.2576	2.77877	-234.161	3.01683	2.75071	1.25494	3.8481	-9800.6
0.0080	1.9194	2.29934	4.54335	2.77877	-220.11	3.3383	2.75071	1.86449	3.8481	-9568.23
0.0087	1.29191	1.3746	3.0289	1.56306	-206.403	2.10189	1.82893	1.25494	2.32294	-10519.3
0.0093	1.29191	2.59925	5.17199	3.37422	-193.271	3.93177	3.67249	3.08358	5.06823	-8328.25
0.0100	2.50999	2.89917	5.77205	3.69675	-179.536	3.63503	5.50142	3.40628	6.61686	-1728.84
0.0107	-2.36234	-4.42373	-7.94371	-7.59199	-166.72	-6.13257	-7.62297	-4.8405	-10.1834	109.278
