SESSION,Subject 1,EMG1,Subject 2,EMG2,Subject 3,EMG3,Subject 4,EMG4,Subject 5,EMG5,Subject 6,EMG6,Subject 7,EMG7,Subject 8,EMG8,Subject 9,EMG9,Subject 10,EMG10,Subject 11,EMG11,Subject 12,EMG12,Subject 13,EMG13,Subject 14,EMG14,Subject 15,EMG15,Subject 16,EMG16,Subject 17,EMG17,Subject 18,EMG18,Subject 19,EMG19,Subject 20,EMG20,Subject 21,EMG21
1,NA,0,NA,0,NA,1,NA,0,NA,1,NA,0,NA,0,NA,1,NA,1,NA,0,NA,1,NA,0,NA,0,NA,1,NA,1,NA,0,NA,0,NA,1,NA,1,NA,1,NA,0
1,CRYE15,0,TBAS15,0,TBAS30,1,CRYE15,0,TYR15,1,TBAS15,0,USMC15,0,CRYE30,1,CORE15,1,TYR15,0,TBAS15,1,CRYE15,0,CRYE15,0,TYR15,1,TBAS15,1,CRYE15,0,USMC15,0,TBAS15,1,TBAS15,1,USMC15,1,CORE15,0
1,TYR15,0,USMC15,0,CORE30,1,USMC15,0,TBAS15,1,TYR30,0,TYR30,0,USMC30,1,CRYE30,1,USMC15,0,CORE15,1,TBAS15,0,TYR15,0,SORD15,1,CORE15,1,CRYE30,0,SORD15,0,CRYE15,1,CRYE15,1,CORE15,1,TBAS15,0
1,TBAS30,0,CRYE15,0,SORD30,1,SORD15,0,CRYE30,0,SORD30,0,CORE30,0,SORD30,1,TBAS15,1,CORE15,0,SORD15,1,USMC15,0,CRYE30,0,TYR30,1,CORE30,1,TYR30,0,SORD30,0,TBAS30,1,CORE30,1,USMC30,1,CORE15,0
2,TBAS15,0,TYR15,1,CORE15,1,TYR15,0,CRYE15,1,TYR15,0,TBAS15,1,TBAS15,1,CRYE15,1,,,CRYE15,1,TBAS15,1,CORE15,0,TBAS15,1,TYR15,1,USMC15,0,CORE15,0,TYR15,1,SORD15,0,TBAS15,1,CRYE15,1
2,CRYE,0,CORE15,1,CRYE30,1,CORE30,0,TYR30,1,USMC15,0,USMC30,1,CORE15,1,SORD15,1,,,USMC15,1,TYR15,1,SORD15,0,USMC15,1,CRYE30,1,CORE30,0,TBAS30,0,USMC15,1,USMC15,0,CRYE15,1,SORD15,1
2,SORD,0,TBAS30,1,USMC30,1,SORD30,0,USMC30,1,CRYE30,0,SORD30,1,TYR30,1,TYR30,1,,,CORE30,1,CORE15,1,USMC30,0,CORE30,1,SORD30,1,SORD30,0,CRYE30,0,TYR30,1,SORD30,0,TYR30,1,TYR30,1
3,USMC15,0,CRYE15,1,TBAS15,1,TBAS15,1,CORE15,0,CORE15,1,CRYE15,1,USMC15,1,TYR15,1,,,,,SORD15,0,TBAS15,0,CRYE15,1,USMC15,1,TBAS15,1,CRYE15,1,,,TYR15,1,TYR15,0,USMC15,1
3,USMC30,0,SORD15,1,TYR15,1,TBAS30,1,CORE30,0,SORD15,1,CORE15,1,SORD15,1,USMC15,1,,,,,CRYE30,0,TBAS30,0,TBAS30,1,SORD15,1,CORE15,1,TYR15,1,,,USMC15,1,SORD15,0,SORD30,1
3,TYR30,0,SORD30,1,TYR30,1,USMC30,1,SORD30,0,CORE30,1,CRYE30,1,TBAS30,1,USMC30,1,,,,,SORD30,0,CORE30,1,CRYE30,1,USMC30,1,TBAS30,1,TYR30,1,,,CORE15,1,SORD30,0,USMC30,1
4,CORE15,1,TYR30,1,CRYE15,0,CORE15,1,TBAS15,0,CRYE15,1,TYR15,0,CRYE15,1,TBAS30,1,,,,,TYR15,0,USMC15,1,CORE30,1,CRYE15,1,TYR15,1,TBAS15,1,,,TBAS30,1,TBAS30,0,TBAS15,1
4,SORD15,1,USMC30,1,USMC15,0,CRYE30,1,USMC15,0,TBAS30,1,SORD15,0,TYR15,1,CORE30,1,,,,,USMC15,0,TYR30,1,USMC30,1,TBAS30,1,SORD15,1,USMC30,1,,,CRYE30,1,CRYE30,0,USMC15,1
4,CORE30,1,CORE30,1,SORD15,0,TYR30,1,SORD15,0,USMC30,1,TBAS30,0,CORE30,1,SORD30,1,,,,,CORE15,0,SORD30,1,SORD30,1,TYR30,1,USMC30,1,SORD30,1,,,TYR30,1,CORE30,0,CRYE30,1
